gate,n,trades_per_mo,wr,payoff,be_payoff,clears_be,exp_r,mean_pct,sharpe_pt,sharpe_ann,LONG_sharpe_pt,LONG_sharpe_ann,LONG_mean_pct,beats_ungated,beats_long,TIMING_ALPHA
UNGATED (all OOF),4552,72.6,0.3425,2.041,1.92,True,0.0414,0.1491,0.0222,0.6563,0.0487,1.4384,0.3358,False,False,False
TREND100 up,2483,39.6,0.3649,2.046,1.741,True,0.1114,0.3847,0.0599,1.3052,0.0703,1.5331,0.4706,True,False,False
TREND100 down,2069,33.0,0.3156,2.056,2.168,False,-0.0356,-0.1337,-0.0191,-0.3793,0.0244,0.4863,0.174,False,False,False
TREND50 up,2365,37.7,0.3526,2.09,1.836,True,0.0896,0.3119,0.0485,1.0326,0.0541,1.151,0.3551,True,False,False
TREND200 up (slow),2541,40.5,0.3495,2.126,1.861,True,0.0925,0.3256,0.048,1.059,0.0839,1.8498,0.6009,True,False,False
VOL high (natr>p67),1478,23.6,0.4039,1.526,1.476,True,0.0201,0.0928,0.0126,0.2114,0.026,0.4366,0.1913,False,False,False
VOL mid,1317,21.0,0.3212,2.331,2.113,True,0.0698,0.2428,0.0356,0.5655,0.1164,1.8469,0.8698,False,False,False
VOL low (natr<p33),1757,28.0,0.3068,2.399,2.26,True,0.0427,0.1262,0.0211,0.3866,0.0096,0.1765,0.0571,False,True,False
ADX>=25 (trend),2352,37.5,0.3622,2.098,1.761,True,0.1223,0.4644,0.0637,1.3506,0.0815,1.7292,0.6008,True,False,False
ADX<20 (chop),1296,20.7,0.3387,1.904,1.952,False,-0.0163,-0.0544,-0.0094,-0.1478,0.0334,0.5253,0.2053,False,False,False
funding z>=0,2461,39.2,0.3312,2.137,2.02,True,0.039,0.1327,0.0204,0.4423,0.0265,0.5742,0.1752,False,False,False
funding z<0,2091,33.3,0.3558,1.934,1.81,True,0.0438,0.1683,0.0243,0.4863,0.073,1.46,0.5248,False,False,False
TREND100up & VOLhigh,799,12.7,0.4255,1.542,1.35,True,0.0817,0.332,0.052,0.6429,0.0556,0.6872,0.3701,False,False,False
TREND100up & ADX>=25,1244,19.8,0.3633,2.24,1.752,True,0.1772,0.6211,0.0907,1.3997,0.1312,2.0246,0.9084,True,False,False
VOLhigh & ADX>=25,1032,16.5,0.4215,1.496,1.372,True,0.052,0.2438,0.0326,0.4583,0.0753,1.0588,0.5778,False,False,False
TREND100up & fund z<0,1156,18.4,0.3668,1.868,1.726,True,0.0521,0.1944,0.0308,0.4576,0.0727,1.0816,0.4712,False,False,False
ADX>=25 & fund z<0,1049,16.7,0.3823,2.01,1.616,True,0.1506,0.6351,0.0794,1.1242,0.1052,1.4907,0.8506,True,False,False
