period,config,n,win_rate,sharpe,net,top2_share,hhi
2022,ANCHOR,657,0.4414,-0.6727,-15.5659,,0.00251
2022,AGREE_GATE_4of5,460,0.4848,-0.1123,-1.8634,,0.0035
2022,AGREE_SCALE,657,0.4444,-0.6397,-14.9481,,0.00246
2022,ENSEMBLE_DIR,657,0.4612,-0.1622,-3.7798,,0.00251
2022,ENSEMBLE_DIR_AGREE,460,0.4848,-0.1123,-1.8634,,0.0035
2023,ANCHOR,657,0.5616,0.1222,1.348,0.3442,0.00284
2023,AGREE_GATE_4of5,463,0.5529,0.2091,1.5042,0.2751,0.00422
2023,AGREE_SCALE,657,0.5525,0.1288,1.4524,0.3195,0.00284
2023,ENSEMBLE_DIR,657,0.5388,-0.0635,-0.7015,,0.00284
2023,ENSEMBLE_DIR_AGREE,463,0.5529,0.2091,1.5042,0.2751,0.00422
2024H1,ANCHOR,328,0.3567,-0.6059,-5.936,,0.00481
2024H1,AGREE_GATE_4of5,217,0.3364,-0.5594,-4.1096,,0.00657
2024H1,AGREE_SCALE,328,0.3811,-0.4545,-4.4822,,0.00479
2024H1,ENSEMBLE_DIR,328,0.4207,-0.2444,-2.4056,,0.00482
2024H1,ENSEMBLE_DIR_AGREE,217,0.3364,-0.5594,-4.1096,,0.00657
RECENT,ANCHOR,454,0.6079,1.3123,13.8488,0.0387,0.0029
RECENT,AGREE_GATE_4of5,317,0.6215,1.019,7.3921,0.0682,0.00411
RECENT,AGREE_SCALE,454,0.6013,1.2091,12.6058,0.04,0.0029
RECENT,ENSEMBLE_DIR,454,0.5551,0.5432,5.9018,0.0854,0.0029
RECENT,ENSEMBLE_DIR_AGREE,317,0.6215,1.019,7.3921,0.0682,0.00411
FULL_IS,ANCHOR,3291,0.5242,0.4363,49.3522,0.0433,0.00057
FULL_IS,AGREE_GATE_4of5,2258,0.5275,0.4623,34.9211,0.0501,0.00081
FULL_IS,AGREE_SCALE,3291,0.5321,0.5457,62.4604,0.0342,0.00057
FULL_IS,ENSEMBLE_DIR,3291,0.5305,0.5616,63.3541,0.0337,0.00057
FULL_IS,ENSEMBLE_DIR_AGREE,2258,0.5275,0.4623,34.9211,0.0501,0.00081
