name,n_events,win_rate,per_trade_sharpe_ann,net_sum_pct,top1_share_net,top2_share_net,top1_share_gross,top2_share_gross,hhi_abs
TREND_sma200_gated_q40,116.0,0.5517,0.3837,152.875,0.362,0.7221,0.0366,0.0729,0.01552
TREND_sma200_ungated,254.0,0.4961,0.1444,117.097,0.4478,0.8381,0.0166,0.0311,0.00674
DON55,393.0,0.4962,0.0622,88.837,1.0918,1.9089,0.021,0.0405,0.00545
TSMOM42,401.0,0.4988,0.1669,221.566,0.2706,0.5339,0.0125,0.0243,0.00439
TSMOM21,585.0,0.494,0.0116,24.248,3.4289,6.2754,0.014,0.0249,0.00333
,,,,,,,,,
TREND-alone (gated q40),116.0,0.5517,0.3837,152.875,0.362,0.7221,0.0366,0.0729,0.01552
COMBINED equal-union (TREND+DON55+TSMOM42+TSMOM21),125.0,0.416,-0.2909,-121.87,,,0.0324,0.0628,0.01535
COMBINED-ALL equal-union,125.0,0.416,-0.2909,-121.87,,,0.0324,0.0628,0.01535
VarA conviction-priority union,116.0,0.5345,0.5095,201.466,0.2747,0.548,0.0374,0.0746,0.01606
VarB trend-cadence + 3of4 agree FILTER,107.0,0.5327,0.7082,254.577,0.2174,0.4336,0.0395,0.0787,0.01618
VarC trend-cadence + majority-vote DIR,116.0,0.5431,0.4451,177.157,0.3124,0.6232,0.0365,0.0729,0.01551
