name,events,trades_per_month,win_rate,per_trade_sharpe,net_sum_pct,mean_pnl_pct,top2_share_pos,top2_share_gross,n_hold
B.trendSMA100_N6,818,13.015911872705018,0.4902200488997555,0.6299094993799005,239.92123278890634,0.2933022405732351,0.034032189365114346,0.019638129033426266,6
B.trendSMA50_N9,572,9.115936952714536,0.4755244755244755,0.2560900919810393,104.47247412863551,0.1826441855395726,0.04884767390407651,0.0252713316429443,9
B.trendSMA100_N9,572,9.115936952714536,0.47202797202797203,0.242478073544562,98.92663712051724,0.17294866629461056,0.0489206301184877,0.025263779578983604,9
A4.mrz10_k1.5_N3,651,10.396805896805898,0.5161290322580645,0.21698382980882447,55.23668716247114,0.08484898181639192,0.046360280030289996,0.027178735448769985,3
B.trendSMA50_N6,818,13.015911872705018,0.4682151589242054,0.10938533089082403,41.78571718506316,0.05108278384482049,0.03595714451189242,0.019594207617253244,6
A1.cumretZ_w3_k2.5_N9,81,1.3490117130307466,0.4567901234567901,0.06139512602918744,11.857598848176794,0.14639010923675055,0.23830063396628184,0.12194360771200675,9
B.trendSMA100_N21,260,4.152334152334152,0.49230769230769234,-0.016581614929654542,-7.204047357582555,-0.027707874452240596,0.0922666460686846,0.05112746281020778,21
A1.cumretZ_w3_k2.5_N3,95,1.5818847209515094,0.5052631578947369,-0.01821003435180316,-2.18518776596449,-0.02300197648383674,0.21675361972718044,0.11012673532761828,3
B.trendSMA50_N21,260,4.152334152334152,0.49615384615384617,-0.09573401202331683,-41.59839425228957,-0.15999382404726759,0.08554366390944135,0.05113860507015892,21
C.fz30_k1.0_N3,691,11.078400281888655,0.4732272069464544,-0.15628045827802065,-42.21217830389753,-0.06108853589565489,0.05122375748170995,0.028410547845422726,3
C.fz30_k1.5_N3,411,6.585842577918648,0.48661800486618007,-0.18351778571795693,-41.16139974810563,-0.10014939111461225,0.06372930843833456,0.04473198394439529,3
A1.cumretZ_w5_k1.5_N9,210,3.468869123252859,0.5047619047619047,-0.19775751014207205,-56.57251449103535,-0.26939292614778737,0.1051275394914323,0.05688822441734697,9
A1.cumretZ_w10_k2.5_N3,72,1.2030848329048842,0.4583333333333333,-0.21573347783243793,-29.502832072659352,-0.40976155656471325,0.30491210456221757,0.14022664074582594,3
