symbol,cv_ic_14_ohlcv,cv_ic_23_augmented,delta_ic,n_folds
LDOUSDT,0.17793,0.25278,0.07485,5
LTCUSDT,0.0613,0.06947,0.00818,5
SOLUSDT,0.06266,0.05358,-0.00908,5
NEARUSDT,0.03822,0.04759,0.00937,5
XRPUSDT,0.02225,0.04312,0.02087,5
DOGEUSDT,0.00568,0.03575,0.03007,5
TRXUSDT,0.02907,0.02929,0.00022,5
LINKUSDT,0.02879,0.02548,-0.00331,5
BCHUSDT,0.02542,0.01861,-0.00681,5
ETHUSDT,-0.00309,-0.01421,-0.01113,5
BNBUSDT,-0.03052,-0.05311,-0.0226,5
BTCUSDT,-0.06857,-0.06271,0.00586,5
DOTUSDT,-0.05571,-0.08959,-0.03388,5
