symbol,tp1.0_sl1.0,tp1.5_sl1.0,tp2.0_sl1.0_/059,tp3.0_sl1.5,tp2.0_sl2.0
BTCUSDT,-0.04267,-0.02483,-0.06857,-0.00869,-0.04751
ETHUSDT,-0.00825,0.01301,-0.00309,0.00316,-0.00247
LINKUSDT,0.02467,0.04087,0.02879,-0.03901,-0.00146
LTCUSDT,0.02524,0.01783,0.0613,0.07074,0.10239
DOTUSDT,0.01278,0.00524,-0.05571,0.09035,0.00807
BNBUSDT,-0.03466,-0.04832,-0.03052,-0.06802,-0.02372
SOLUSDT,-0.01637,-0.00618,0.06266,-0.00563,0.03594
XRPUSDT,0.04124,-0.00947,0.02225,0.09591,0.04395
DOGEUSDT,-0.0075,0.02869,0.00568,-0.00256,0.03563
NEARUSDT,0.01723,0.03263,0.03822,0.08496,0.06309
BCHUSDT,-0.03232,-0.05641,0.02542,0.05696,0.00814
LDOUSDT,0.03108,0.12858,0.17793,0.04918,0.13084
TRXUSDT,0.01957,0.02796,0.02907,0.01898,0.03544
