symbol,timeout_6,timeout_12,timeout_21,timeout_30,timeout_45
BTCUSDT,-0.01999,-0.01466,-0.06857,-0.08092,-0.07987
ETHUSDT,0.03118,0.00637,-0.00309,-0.02608,-0.05225
LINKUSDT,0.06685,0.08338,0.02879,0.00974,0.04033
LTCUSDT,0.05305,0.08354,0.0613,0.0657,0.0301
DOTUSDT,0.03906,-0.03179,-0.05571,-0.02425,-0.00431
BNBUSDT,0.00421,0.01493,-0.03052,0.01488,0.0354
SOLUSDT,0.03197,0.04438,0.06266,0.05622,0.08084
XRPUSDT,0.08612,0.04977,0.02225,-0.01708,0.02538
DOGEUSDT,-0.00745,0.04178,0.00568,0.03337,0.05773
NEARUSDT,-0.03098,0.0167,0.03822,0.02742,0.02539
BCHUSDT,-0.06326,-0.01453,0.02542,0.04266,0.04342
LDOUSDT,0.06243,0.02099,0.17793,0.18335,0.17038
TRXUSDT,-0.02643,0.01693,0.02907,0.02837,0.03058
