symbol,feature,univariate_ic_full,ic_third_1,ic_third_2,ic_third_3,sign_consistent_across_thirds
SOLUSDT,max_dd_window_50,-0.01288,-0.13696,0.07488,-0.04177,False
SOLUSDT,ema_spread_atr_20,0.04208,0.00751,0.06445,-0.0227,False
SOLUSDT,ret_kurt_50,0.0425,-0.00333,0.03462,0.13179,False
SOLUSDT,ret_skew_200,0.02627,-0.12313,0.13559,0.06433,False
SOLUSDT,range_realized_vol_50,0.0423,0.10737,-0.06544,0.01791,False
SOLUSDT,hurst_diff_100_50,-0.08586,-0.04235,-0.10101,-0.10873,True
SOLUSDT,ret_kurt_200,-0.01739,0.07797,-0.09666,0.05325,False
SOLUSDT,hurst_100,-0.02359,0.14176,-0.08623,-0.14714,False
SOLUSDT,btc_ret_14d,0.04229,0.00024,0.17259,-0.05837,False
SOLUSDT,ret_skew_50,0.05128,0.07396,-0.04393,0.04294,False
SOLUSDT,vwap_dev_20,0.08991,0.11969,0.01292,0.11393,True
SOLUSDT,ret_autocorr_lag1_50,-0.00672,-0.05516,-0.06048,0.10415,False
SOLUSDT,sym_vs_btc_ret_7d,0.03626,0.09374,-0.11555,0.09026,False
SOLUSDT,regime_momentum_signed_5d,0.07402,0.07775,-0.00204,0.10403,False
LTCUSDT,max_dd_window_50,-0.02386,-0.02496,-0.01254,-0.05888,True
LTCUSDT,ema_spread_atr_20,-0.08589,-0.02787,-0.09801,-0.15254,True
LTCUSDT,ret_kurt_50,0.02531,0.13061,0.01481,-0.05155,False
LTCUSDT,ret_skew_200,0.00616,0.11383,-0.05399,-0.03899,False
LTCUSDT,range_realized_vol_50,0.03813,0.08373,0.01682,0.04372,True
LTCUSDT,hurst_diff_100_50,-0.03519,-0.03754,0.02536,-0.09514,False
LTCUSDT,ret_kurt_200,0.07023,0.10004,-0.00042,0.10255,False
LTCUSDT,hurst_100,-0.01442,-0.04578,0.01192,-0.008,False
LTCUSDT,btc_ret_14d,-0.0362,-0.0814,0.02342,-0.06283,False
LTCUSDT,ret_skew_50,-0.0265,0.00874,-0.0608,-0.06381,False
LTCUSDT,vwap_dev_20,-0.04948,0.00087,-0.06882,-0.08245,False
LTCUSDT,ret_autocorr_lag1_50,-0.07766,-0.06821,-0.02642,-0.13591,True
LTCUSDT,sym_vs_btc_ret_7d,-0.06094,0.03416,-0.10949,-0.09606,False
LTCUSDT,regime_momentum_signed_5d,-0.08083,-0.02977,-0.11801,-0.09802,True
