roster,half,natr_bucket,conf_bucket,n_trades,wr,mean_net_pnl_pct,sum_weighted_pnl
baseline,IS,<3,0.55-0.65,14,0.21428571428571427,-1.045785714285714,-8.366900000000001
baseline,IS,<3,0.65-0.75,68,0.39705882352941174,0.4151382352941177,27.86109999999999
baseline,IS,<3,>0.75,238,0.36134453781512604,-0.2944936974789916,-38.283199999999994
baseline,IS,3-5,0.55-0.65,6,0.3333333333333333,-2.6454666666666666,-6.1943
baseline,IS,3-5,0.65-0.75,46,0.3695652173913043,-0.43465217391304345,-12.361099999999999
baseline,IS,3-5,>0.75,185,0.41621621621621624,-0.009957837837837958,14.246200000000005
baseline,IS,>5,0.55-0.65,3,1.0,8.544133333333333,11.5831
baseline,IS,>5,0.65-0.75,10,0.3,-2.5143100000000005,-25.481700000000004
baseline,IS,>5,>0.75,50,0.58,2.7365459999999997,88.4498
baseline,OOS,<3,0.55-0.65,8,0.125,-2.0118625000000003,-10.107500000000002
baseline,OOS,<3,0.65-0.75,24,0.3333333333333333,-0.34417499999999995,-11.2719
baseline,OOS,<3,>0.75,72,0.3333333333333333,-0.25848611111111114,25.509299999999996
baseline,OOS,3-5,0.55-0.65,1,1.0,9.9747,9.9747
baseline,OOS,3-5,0.65-0.75,9,0.3333333333333333,-1.3893666666666666,-8.058999999999997
baseline,OOS,3-5,>0.75,65,0.47692307692307695,0.3660876923076923,12.280199999999995
baseline,OOS,>5,0.65-0.75,2,0.5,2.7755,1.7487
baseline,OOS,>5,>0.75,8,0.875,5.127375,18.0599
v1-010,IS,<3,<0.55,1,0.0,-4.2811,-1.4128
v1-010,IS,<3,0.55-0.65,19,0.3157894736842105,-0.9736736842105264,-5.977799999999999
v1-010,IS,<3,0.65-0.75,87,0.42528735632183906,0.17155402298850558,-0.3049999999999984
v1-010,IS,<3,>0.75,244,0.4262295081967213,0.37944877049180326,61.2076
v1-010,IS,3-5,0.55-0.65,17,0.47058823529411764,1.7124529411764706,8.7921
v1-010,IS,3-5,0.65-0.75,49,0.4489795918367347,0.2868285714285715,6.897899999999999
v1-010,IS,3-5,>0.75,183,0.3770491803278688,0.01457431693989062,63.76350000000001
v1-010,IS,>5,0.55-0.65,3,0.6666666666666666,4.895066666666667,3.5766
v1-010,IS,>5,0.65-0.75,18,0.16666666666666666,-4.308244444444444,-20.243599999999994
v1-010,IS,>5,>0.75,42,0.42857142857142855,-0.02283095238095221,16.4234
v1-010,OOS,<3,0.55-0.65,5,0.6,2.18968,4.0495
v1-010,OOS,<3,0.65-0.75,32,0.4375,0.9774687499999999,11.554900000000004
v1-010,OOS,<3,>0.75,83,0.39759036144578314,0.448689156626506,28.384999999999994
v1-010,OOS,3-5,0.55-0.65,1,1.0,7.9845,2.6349
v1-010,OOS,3-5,0.65-0.75,20,0.55,2.2299700000000002,18.617900000000002
v1-010,OOS,3-5,>0.75,56,0.42857142857142855,-0.7139785714285712,-22.8379
v1-010,OOS,>5,0.55-0.65,2,0.5,-1.8198500000000002,-2.5514
v1-010,OOS,>5,0.65-0.75,3,0.3333333333333333,-1.6920666666666666,-0.22439999999999993
v1-010,OOS,>5,>0.75,8,0.75,2.0871625,-4.646700000000001
