roster,half,threshold_pct,n_trades_baseline,n_trades_kept,n_skipped,skip_rate,sharpe_baseline,sharpe_oracle,sharpe_delta,wpnl_total_baseline,wpnl_total_oracle
baseline,IS,5.5,620,579,41,0.06612903225806452,0.09101175205933931,-0.05147365064381698,-0.1424854027031563,51.452999999999975,-23.260500000000018
baseline,IS,6.0,620,594,26,0.041935483870967745,0.09101175205933931,0.025283824110676617,-0.0657279279486627,51.452999999999975,12.952900000000005
baseline,IS,6.5,620,598,22,0.035483870967741936,0.09101175205933931,0.019623551090640727,-0.07138820096869858,51.452999999999975,9.959899999999992
baseline,IS,7.0,620,603,17,0.027419354838709678,0.09101175205933931,0.026725072561975236,-0.06428667949736408,51.452999999999975,13.36869999999999
baseline,IS,7.5,620,611,9,0.014516129032258065,0.09101175205933931,0.01721655733367322,-0.07379519472566609,51.452999999999975,8.558900000000008
baseline,IS,8.0,620,612,8,0.012903225806451613,0.09101175205933931,0.016922073822823545,-0.07408967823651577,51.452999999999975,8.413200000000002
baseline,IS,9.0,620,615,5,0.008064516129032258,0.09101175205933931,0.044080389590009324,-0.04693136246932999,51.452999999999975,23.065299999999986
baseline,OOS,5.5,189,182,7,0.037037037037037035,0.17098306338308142,0.14447305048378015,-0.026510012899301272,38.13439999999999,32.3732
baseline,OOS,6.0,189,186,3,0.015873015873015872,0.17098306338308142,0.17125693646614817,0.00027387308306675573,38.13439999999999,38.239700000000006
baseline,OOS,6.5,189,187,2,0.010582010582010581,0.17098306338308142,0.17178904344735585,0.0008059800642744308,38.13439999999999,38.4019
baseline,OOS,7.0,189,188,1,0.005291005291005291,0.17098306338308142,0.16964606869703094,-0.0013369946860504744,38.13439999999999,37.8607
baseline,OOS,7.5,189,189,0,0.0,0.17098306338308142,0.17098306338308142,0.0,38.13439999999999,38.13439999999999
baseline,OOS,8.0,189,189,0,0.0,0.17098306338308142,0.17098306338308142,0.0,38.13439999999999,38.13439999999999
baseline,OOS,9.0,189,189,0,0.0,0.17098306338308142,0.17098306338308142,0.0,38.13439999999999,38.13439999999999
v1-010,IS,5.5,663,627,36,0.05429864253393665,0.19921090246921475,0.2436441704083614,0.04443326793914665,132.7219,167.1025
v1-010,IS,6.0,663,640,23,0.03469079939668175,0.19921090246921475,0.23673051271274356,0.03751961024352882,132.7219,163.07529999999997
v1-010,IS,6.5,663,643,20,0.030165912518853696,0.19921090246921475,0.22677186201975105,0.027560959550536307,132.7219,155.49130000000002
v1-010,IS,7.0,663,652,11,0.016591251885369532,0.19921090246921475,0.22600512315236473,0.02679422068314999,132.7219,153.6932
v1-010,IS,7.5,663,654,9,0.013574660633484163,0.19921090246921475,0.21903526527080866,0.019824362801593914,132.7219,147.57870000000003
v1-010,IS,8.0,663,657,6,0.00904977375565611,0.19921090246921475,0.22009828940911255,0.020887386939897806,132.7219,147.9826
v1-010,IS,9.0,663,660,3,0.004524886877828055,0.19921090246921475,0.2083121904996143,0.009101288030399557,132.7219,139.2709
v1-010,OOS,5.5,210,203,7,0.03333333333333333,0.18756324668927374,0.19006699309184258,0.0025037464025688405,34.9818,35.355000000000004
v1-010,OOS,6.0,210,209,1,0.004761904761904762,0.18756324668927374,0.1873648103621212,-0.00019843632715255133,34.9818,34.9262
v1-010,OOS,6.5,210,209,1,0.004761904761904762,0.18756324668927374,0.1873648103621212,-0.00019843632715255133,34.9818,34.9262
v1-010,OOS,7.0,210,209,1,0.004761904761904762,0.18756324668927374,0.1873648103621212,-0.00019843632715255133,34.9818,34.9262
v1-010,OOS,7.5,210,210,0,0.0,0.18756324668927374,0.18756324668927374,0.0,34.9818,34.9818
v1-010,OOS,8.0,210,210,0,0.0,0.18756324668927374,0.18756324668927374,0.0,34.9818,34.9818
v1-010,OOS,9.0,210,210,0,0.0,0.18756324668927374,0.18756324668927374,0.0,34.9818,34.9818
