model,month,symbol,n,share_baseline_weight,share_uniform_weight,delta_baseline_vs_uniform
A,2020-01,BTCUSDT,80,0.4507666666828662,0.5,-0.04923333331713381
A,2020-01,ETHUSDT,80,0.5492333333171338,0.5,0.049233333317133754
A,2020-02,BTCUSDT,87,0.4016065716409735,0.5,-0.09839342835902648
A,2020-02,ETHUSDT,87,0.5983934283590264,0.5,0.09839342835902642
A,2020-03,BTCUSDT,93,0.5165267726541314,0.5,0.016526772654131383
A,2020-03,ETHUSDT,93,0.4834732273458684,0.5,-0.016526772654131605
A,2020-04,BTCUSDT,90,0.41074096389426046,0.5,-0.08925903610573954
A,2020-04,ETHUSDT,90,0.5892590361057396,0.5,0.0892590361057396
A,2020-05,BTCUSDT,93,0.5087055170032999,0.5,0.008705517003299912
A,2020-05,ETHUSDT,93,0.49129448299670003,0.5,-0.008705517003299967
A,2020-06,BTCUSDT,90,0.4131414698589466,0.5,-0.08685853014105338
A,2020-06,ETHUSDT,90,0.5868585301410535,0.5,0.08685853014105349
A,2020-07,BTCUSDT,93,0.3795127750964555,0.5,-0.12048722490354452
A,2020-07,ETHUSDT,93,0.6204872249035447,0.5,0.12048722490354469
A,2020-08,BTCUSDT,93,0.37262319816425593,0.5,-0.12737680183574407
A,2020-08,ETHUSDT,93,0.6273768018357438,0.5,0.12737680183574385
A,2020-09,BTCUSDT,90,0.39304232780745957,0.5,-0.10695767219254043
A,2020-09,ETHUSDT,90,0.6069576721925404,0.5,0.10695767219254038
A,2020-10,BTCUSDT,93,0.4537994277055829,0.5,-0.0462005722944171
A,2020-10,ETHUSDT,93,0.5462005722944172,0.5,0.04620057229441721
A,2020-11,BTCUSDT,90,0.4712441421871047,0.5,-0.028755857812895302
A,2020-11,ETHUSDT,90,0.5287558578128954,0.5,0.028755857812895358
A,2020-12,BTCUSDT,93,0.44848920762441474,0.5,-0.05151079237558526
A,2020-12,ETHUSDT,93,0.5515107923755852,0.5,0.0515107923755852
A,2021-01,BTCUSDT,93,0.4654704452711828,0.5,-0.03452955472881719
A,2021-01,ETHUSDT,93,0.5345295547288172,0.5,0.03452955472881725
A,2021-02,BTCUSDT,84,0.5129208861893866,0.5,0.012920886189386582
A,2021-02,ETHUSDT,84,0.4870791138106136,0.5,-0.012920886189386416
A,2021-03,BTCUSDT,93,0.47803944265993265,0.5,-0.021960557340067355
A,2021-03,ETHUSDT,93,0.5219605573400674,0.5,0.02196055734006741
A,2021-04,BTCUSDT,90,0.4140947341530456,0.5,-0.0859052658469544
A,2021-04,ETHUSDT,90,0.5859052658469542,0.5,0.08590526584695424
A,2021-05,BTCUSDT,93,0.41832738641712486,0.5,-0.08167261358287514
A,2021-05,ETHUSDT,93,0.5816726135828751,0.5,0.08167261358287514
A,2021-06,BTCUSDT,90,0.4753512809165253,0.5,-0.024648719083474713
A,2021-06,ETHUSDT,90,0.5246487190834745,0.5,0.024648719083474546
A,2021-07,BTCUSDT,93,0.3989278214243289,0.5,-0.10107217857567108
A,2021-07,ETHUSDT,93,0.6010721785756713,0.5,0.1010721785756713
A,2021-08,BTCUSDT,93,0.4746451661202603,0.5,-0.02535483387973969
A,2021-08,ETHUSDT,93,0.5253548338797397,0.5,0.02535483387973969
A,2021-09,BTCUSDT,90,0.4418926361031883,0.5,-0.0581073638968117
A,2021-09,ETHUSDT,90,0.5581073638968118,0.5,0.058107363896811814
A,2021-10,BTCUSDT,93,0.4800349754094913,0.5,-0.019965024590508695
A,2021-10,ETHUSDT,93,0.5199650245905088,0.5,0.01996502459050875
A,2021-11,BTCUSDT,90,0.4856860415308915,0.5,-0.01431395846910849
A,2021-11,ETHUSDT,90,0.5143139584691087,0.5,0.014313958469108656
A,2021-12,BTCUSDT,93,0.4705300822689305,0.5,-0.029469917731069495
A,2021-12,ETHUSDT,93,0.5294699177310693,0.5,0.02946991773106933
A,2022-01,BTCUSDT,93,0.4179565484394412,0.5,-0.08204345156055881
A,2022-01,ETHUSDT,93,0.582043451560559,0.5,0.08204345156055903
A,2022-02,BTCUSDT,84,0.4433391833672751,0.5,-0.056660816632724875
A,2022-02,ETHUSDT,84,0.5566608166327247,0.5,0.05666081663272471
A,2022-03,BTCUSDT,93,0.4812311850390821,0.5,-0.018768814960917923
A,2022-03,ETHUSDT,93,0.5187688149609179,0.5,0.018768814960917868
A,2022-04,BTCUSDT,90,0.4811370554656995,0.5,-0.018862944534300485
A,2022-04,ETHUSDT,90,0.5188629445343005,0.5,0.018862944534300485
A,2022-05,BTCUSDT,93,0.42140698676735616,0.5,-0.07859301323264384
A,2022-05,ETHUSDT,93,0.578593013232644,0.5,0.078593013232644
A,2022-06,BTCUSDT,90,0.41591777405378494,0.5,-0.08408222594621506
A,2022-06,ETHUSDT,90,0.5840822259462152,0.5,0.08408222594621517
A,2022-07,BTCUSDT,93,0.43807559840325105,0.5,-0.061924401596748946
A,2022-07,ETHUSDT,93,0.5619244015967491,0.5,0.06192440159674906
A,2022-08,BTCUSDT,93,0.39798528434986774,0.5,-0.10201471565013226
A,2022-08,ETHUSDT,93,0.6020147156501321,0.5,0.10201471565013209
A,2022-09,BTCUSDT,90,0.42961911685163306,0.5,-0.07038088314836694
A,2022-09,ETHUSDT,90,0.570380883148367,0.5,0.07038088314836699
A,2022-10,BTCUSDT,93,0.4466069228923523,0.5,-0.05339307710764768
A,2022-10,ETHUSDT,93,0.5533930771076476,0.5,0.053393077107647624
A,2022-11,BTCUSDT,90,0.3884083676037749,0.5,-0.1115916323962251
A,2022-11,ETHUSDT,90,0.6115916323962249,0.5,0.11159163239622494
A,2022-12,BTCUSDT,93,0.4025501541798446,0.5,-0.09744984582015542
A,2022-12,ETHUSDT,93,0.5974498458201554,0.5,0.09744984582015537
