feature,link_mean,link_std,portfolio_med_mean,portfolio_med_std,link_std_ratio
interact_ret1_x_ret3,7.061972,26.928243,4.06506,16.313025,1.6507
interact_ret1_x_natr,0.044687,13.512047,-0.08047,8.682549,1.5562
mr_pct_from_low_20,0.114132,0.095921,0.083228,0.06856,1.3991
mom_roc_10,0.639508,8.340451,0.217397,6.262723,1.3318
stat_return_5,0.003224,0.057994,0.001079,0.043701,1.3271
interact_natr_x_adx,111.77865,67.284078,81.074747,50.775766,1.3251
trend_ema_cross_5_12,-7.9e-05,0.02182,-0.000588,0.01666,1.3097
stat_log_return_1,0.00032,0.025984,2e-05,0.019901,1.3056
interact_rsi_x_natr,-0.005957,0.51111,-0.017144,0.402335,1.2704
vol_bb_bandwidth_20,16.58557,9.847128,12.258822,8.006926,1.2298
mr_pct_from_high_20,-0.079764,0.058928,-0.062393,0.050565,1.1654
vol_natr_14,3.923807,1.530945,2.97559,1.31893,1.1607
vol_cmf_14,0.036138,0.153708,0.03715,0.135001,1.1386
trend_plus_di_14,20.140632,7.562398,19.62622,7.122385,1.0618
mom_stoch_d_14,51.722973,24.842627,53.393249,23.507519,1.0568
mom_stoch_k_14,51.730332,25.614909,53.394299,24.241345,1.0567
mom_willr_14,-48.263456,27.453564,-46.609904,26.073965,1.0529
trend_aroon_osc_14,1.600529,62.41205,4.604828,59.97913,1.0406
stat_autocorr_lag5,0.010597,0.145915,0.016308,0.140461,1.0388
interact_stoch_x_adx,0.845315,7.510068,0.999396,7.257784,1.0348
trend_aroon_osc_50,3.683333,58.926633,4.811111,57.087388,1.0322
trend_supertrend_14_3,-0.077778,0.997202,-0.119444,0.9887,1.0086
trend_minus_di_14,20.958948,8.165492,22.189506,8.097444,1.0084
cal_hour_norm,0.333333,0.272229,0.333333,0.272229,1.0
cal_dow_norm,0.500694,0.33312,0.500694,0.33312,1.0
vol_volume_rel_20,1.013298,0.601451,1.013768,0.609388,0.987
interact_rsi_x_adx,0.192621,4.14904,-0.054604,4.238866,0.9788
stat_kurtosis_20,1.242714,2.318789,1.78898,2.387779,0.9711
mom_rsi_14,50.304401,11.960877,50.204045,12.33431,0.9697
trend_adx_14,27.604025,10.483829,26.983721,10.83648,0.9675
vol_mfi_14,50.836487,16.427052,49.403772,16.996454,0.9665
mr_rsi_extreme_14,-0.030556,0.301289,-0.020833,0.315142,0.956
vol_range_spike_72,1.01584,0.661196,1.012455,0.702652,0.941
stat_skew_20,0.112679,0.929318,-0.025651,0.989436,0.9392
vol_range_spike_24,1.0069,0.582016,1.007083,0.628908,0.9254
vol_volume_pctchg_5,0.2691,1.129272,0.342413,1.276258,0.8848
vol_taker_buy_ratio,0.490634,0.015286,0.491522,0.01786,0.8558
vol_atr_14,0.565268,0.384703,36.467762,18.714137,0.0206
mom_macd_hist_12_26_9,-3.2e-05,0.139678,-0.013139,8.755369,0.016
mom_macd_line_12_26_9,0.022125,0.44471,0.308029,29.144617,0.0153
