month,btc_monthly_net_pnl_pct,eth_monthly_net_pnl_pct
2022-01,0.1570,-22.9745
2022-02,21.5732,-3.9721
2022-03,-5.4670,-15.3253
2022-04,8.4361,12.7137
2022-05,3.9546,4.1370
2022-06,-7.0661,-4.2222
2022-07,5.4086,28.8118
2022-08,-13.8024,4.1357
2022-09,-11.6783,26.1275
2022-10,-0.8218,-0.3528
2022-11,-2.6876,15.6929
2022-12,-1.5200,-2.6634
2023-02,-3.3052,-0.1165
2023-03,-10.3085,-10.7308
2023-04,-3.2520,6.3817
2023-05,1.6656,6.0620
2023-06,-1.3813,-1.8156
2023-08,-1.9949,4.9082
2023-09,-3.5740,2.1851
2023-11,-5.6036,5.5633
2024-01,4.9654,0.3122
2024-02,9.5926,-12.5169
2024-04,-3.1614,-8.4384
2024-05,7.7652,10.0700
2024-06,0.0682,-16.2142
2024-07,0.0642,-7.3344
2024-10,-1.6278,7.3149
2024-12,-5.8922,-8.3043
2025-01,0.9532,-30.4014
