month,sample,n_trades,n_wins,win_rate_pct,net_pnl_pct
2022-01,IS,4,1,25.0,-10.0957
2022-02,IS,4,0,0.0,-20.9294
2022-03,IS,4,1,25.0,-10.4849
2022-04,IS,6,2,33.333,-4.3071
2022-05,IS,1,0,0.0,-2.5678
2022-06,IS,4,3,75.0,34.3834
2022-08,IS,5,1,20.0,-14.4964
2022-09,IS,1,1,100.0,12.1419
2022-10,IS,5,1,20.0,-3.2454
2022-11,IS,1,1,100.0,7.7493
2022-12,IS,4,3,75.0,6.3694
2023-01,IS,5,1,20.0,-9.9628
2023-02,IS,4,0,0.0,-21.4132
2023-03,IS,2,1,50.0,6.4278
2023-04,IS,5,1,20.0,-8.0796
2023-05,IS,5,3,60.0,20.0016
2023-06,IS,4,3,75.0,20.169
2023-07,IS,5,3,60.0,13.0987
2023-08,IS,4,2,50.0,8.0437
2023-09,IS,1,0,0.0,-1.1571
2023-10,IS,1,1,100.0,6.7556
2023-11,IS,1,1,100.0,0.5046
2023-12,IS,2,1,50.0,5.4015
2024-01,IS,6,3,50.0,4.4439
2024-02,IS,3,2,66.667,-0.8891
2024-03,IS,4,1,25.0,-1.2629
2024-04,IS,3,1,33.333,-3.1837
2024-05,IS,4,2,50.0,-1.2853
2024-06,IS,4,1,25.0,-8.3802
2024-07,IS,4,1,25.0,-6.4814
2024-08,IS,4,0,0.0,-18.7178
2024-09,IS,1,1,100.0,5.6776
2024-10,IS,5,3,60.0,7.854
2024-11,IS,2,1,50.0,4.9159
2025-01,IS,3,0,0.0,-18.9794
2025-02,IS,1,1,100.0,3.1482
2025-03,IS,2,1,50.0,2.1062
2025-03,OOS,1,0,0.0,-5.2961
2025-04,OOS,3,1,33.333,-1.0779
2025-05,OOS,2,1,50.0,-6.3884
2025-07,OOS,1,0,0.0,-4.8075
2025-08,OOS,1,1,100.0,10.5535
2025-09,OOS,1,1,100.0,6.7444
2025-10,OOS,2,1,50.0,1.179
2025-11,OOS,2,1,50.0,-8.4281
2025-12,OOS,4,0,0.0,-13.2939
2026-01,OOS,6,1,16.667,-17.0084
2026-03,OOS,5,3,60.0,5.9153
2026-04,OOS,4,0,0.0,-9.4503
2026-05,OOS,2,0,0.0,-5.89
