z30_band,direction,n_trades,win_rate,mean_pnl_pct,sum_pnl_pct
extreme_negative_z<-2,longs,20,0.25,-1.6428199999999997,-32.856399999999994
extreme_negative_z<-2,shorts,16,0.5625,2.431075,38.8972
negative_-2_to_-1,longs,43,0.4418604651162791,0.9853162790697678,42.368600000000015
negative_-2_to_-1,shorts,25,0.52,1.447176,36.1794
neutral_-1_to_1,longs,231,0.4199134199134199,0.28215367965367955,65.17749999999998
neutral_-1_to_1,shorts,207,0.36231884057971014,-0.5431241545893719,-112.42669999999998
positive_1_to_2,longs,35,0.4,1.200842857142857,42.0295
positive_1_to_2,shorts,27,0.3333333333333333,-1.3523,-36.512100000000004
extreme_positive_z>2,longs,2,0.5,0.74045,1.4809
extreme_positive_z>2,shorts,9,0.4444444444444444,1.307677777777778,11.769100000000002
