cohort,regime,direction,n_trades,win_rate,mean_pnl_pct,sum_pnl_pct,sum_weighted_pnl
Pool_A_BTCETH,EXTREME (|z30|>1.5),longs,18,0.2778,-0.0313,-0.5643,-18.1415
Pool_A_BTCETH,EXTREME (|z30|>1.5),shorts,22,0.5,0.3889,8.5554,-4.1972
Pool_A_BTCETH,NORMAL,longs,101,0.4059,0.1135,11.4605,28.3671
Pool_A_BTCETH,NORMAL,shorts,111,0.3153,-0.5883,-65.3027,-31.903
Model_C_LINK,EXTREME (|z30|>1.5),longs,10,0.1,-4.7034,-47.0339,-16.7218
Model_C_LINK,EXTREME (|z30|>1.5),shorts,7,0.8571,7.4202,51.9414,39.7662
Model_C_LINK,NORMAL,longs,72,0.5278,1.9413,139.7735,87.2024
Model_C_LINK,NORMAL,shorts,57,0.3684,-1.274,-72.6202,-13.8462
Model_D_LTC,EXTREME (|z30|>1.5),longs,10,0.2,-2.6665,-26.6647,-18.9778
Model_D_LTC,EXTREME (|z30|>1.5),shorts,7,0.5714,2.5859,18.1015,14.7671
Model_D_LTC,NORMAL,longs,64,0.3906,0.2475,15.8424,32.0699
Model_D_LTC,NORMAL,shorts,43,0.4186,-0.0932,-4.0061,-23.0204
Model_E_DOT,EXTREME (|z30|>1.5),longs,5,0.6,0.6394,3.1971,0.217
Model_E_DOT,EXTREME (|z30|>1.5),shorts,3,0.3333,-1.6962,-5.0885,-0.0643
Model_E_DOT,NORMAL,longs,51,0.4118,0.4351,22.1895,-8.3676
Model_E_DOT,NORMAL,shorts,34,0.4118,0.1861,6.3261,-7.9734
