month,pool_pnl_pct,link_pnl_pct,pool_trades,link_trades,z_pool,z_link,co_extreme_same_sign
2025-03,+5.4762,-5.2529,2,1,+0.191,-0.940,NO
2025-04,-5.1750,+15.9661,12,4,-0.501,+1.591,NO
2025-05,-22.9155,+0.8145,22,5,-1.654,-0.216,NO
2025-06,+8.6801,-0.1541,11,3,+0.399,-0.332,NO
2025-07,-14.3564,+1.6029,15,2,-1.098,-0.122,NO
2025-08,+22.3901,+13.4157,13,4,+1.290,+1.287,YES
2025-09,+8.7412,+7.8613,9,5,+0.403,+0.624,NO
2025-10,+12.3524,+2.2814,7,1,+0.637,-0.041,NO
2025-11,+29.6082,+16.1270,11,4,+1.759,+1.610,YES
2025-12,-6.9117,+0.3849,10,4,-0.614,-0.268,NO
2026-01,-3.3399,-8.4196,16,3,-0.382,-1.318,NO
2026-02,-12.2382,-13.5302,13,3,-0.960,-1.927,NO
2026-03,+25.8272,+6.0417,17,3,+1.513,+0.407,NO
2026-04,-2.0860,+0.1941,17,5,-0.301,-0.290,NO
2026-05,-7.9185,+2.0873,14,1,-0.680,-0.064,NO
