month,n_trades,net_pnl_pct,n_longs,n_shorts,long_pnl_pct,short_pnl_pct,win_rate_pct,max_drawdown_in_month
2026-01,5,-24.092,5,0,-24.092,0.0,0.0,-6.5918
2026-04,5,-12.4596,0,5,0.0,-12.4596,0.0,-3.0093
2025-11,2,-8.4281,2,0,-8.4281,0.0,50.0,-8.5312
2025-05,2,-6.3884,2,0,-6.3884,0.0,50.0,-7.1121
2025-12,5,-6.2103,5,0,-6.2103,0.0,20.0,-5.0107
2025-03,1,-5.2961,1,0,-5.2961,0.0,0.0,-5.2961
2025-07,1,-4.8075,0,1,0.0,-4.8075,0.0,-4.8075
2026-05,1,-2.8807,0,1,0.0,-2.8807,0.0,-2.8807
2025-04,3,-1.0779,3,0,-1.0779,0.0,33.33,-6.8643
2025-10,2,1.179,1,1,6.0496,-4.8706,50.0,-4.8706
2026-03,5,5.9153,0,5,0.0,5.9153,60.0,-4.5212
2025-09,1,6.7444,0,1,0.0,6.7444,100.0,6.7444
2025-08,1,10.5535,0,1,0.0,10.5535,100.0,10.5535
