channel,trade_share_pct,loss_count,loss_share_pct,net_pnl_pct,share_of_total_loss_pct,win_rate_pct
exit_reason=stop_loss,61.76,21,87.5,-97.8996,207.2,0.0
"pnl_bucket=moderate_loss[-7,-4)",29.41,10,41.67,-53.0427,112.26,0.0
direction=long,55.88,14,58.33,-45.4432,96.18,26.32
"pnl_bucket=small_loss[-4,0)",35.29,12,50.0,-34.6984,73.44,0.0
"conf=[0.85,1.00)",38.24,10,41.67,-31.6925,67.08,23.08
"weight_factor=[0.30,0.40)",41.18,12,50.0,-28.416,60.14,14.29
"weight_factor=[0.99,1.01)",58.82,12,50.0,-18.8324,39.86,40.0
pnl_bucket=catastrophic(<-7),5.88,2,8.33,-15.6433,33.11,0.0
"conf=[0.60,0.75)",14.71,3,12.5,-7.9353,16.79,40.0
"conf=[0.75,0.85)",44.12,10,41.67,-3.976,8.42,33.33
direction=short,44.12,10,41.67,-1.8052,3.82,33.33
"pnl_bucket=small_win[0,4)",8.82,0,0.0,3.4934,-7.39,100.0
exit_reason=timeout,26.47,3,12.5,19.0117,-40.24,66.67
exit_reason=take_profit,11.76,0,0.0,31.6395,-66.96,100.0
pnl_bucket=big_win(>=4),20.59,0,0.0,52.6426,-111.42,100.0
