sample,n_trades,n_wins,win_rate_pct,net_pnl_pct,avg_pnl_pct,median_pnl_pct,std_pnl_pct,sharpe_per_trade,direction,bucket
IS_long_strong_down_lt_-8,11,5,45.455,23.4221,2.1293,-0.4779,8.6801,0.2453,long,strong_down_lt_-8
IS_long_weak_down_-8_to_0,22,11,50.0,8.4605,0.3846,-0.1389,5.9504,0.0646,long,weak_down_-8_to_0
IS_long_weak_up_0_to_+8,16,5,31.25,-7.8816,-0.4926,-3.6613,7.7013,-0.064,long,weak_up_0_to_+8
IS_long_strong_up_ge_+8,7,3,42.857,1.3856,0.1979,-4.7577,7.7301,0.0256,long,strong_up_ge_+8
IS_short_strong_down_lt_-8,2,0,0.0,-7.9511,-3.9756,-3.9756,3.7912,-1.0486,short,strong_down_lt_-8
IS_short_weak_down_-8_to_0,7,4,57.143,22.206,3.1723,3.7697,8.1822,0.3877,short,weak_down_-8_to_0
IS_short_weak_up_0_to_+8,19,9,47.368,24.9833,1.3149,-0.7091,7.0774,0.1858,short,weak_up_0_to_+8
IS_short_strong_up_ge_+8,9,2,22.222,-38.0006,-4.2223,-5.195,6.6602,-0.634,short,strong_up_ge_+8
OOS_long_strong_down_lt_-8,5,2,40.0,-5.8026,-1.1605,-6.5164,9.4692,-0.1226,long,strong_down_lt_-8
OOS_long_weak_down_-8_to_0,6,2,33.333,14.0746,2.3458,-3.1243,11.2004,0.2094,long,weak_down_-8_to_0
OOS_long_weak_up_0_to_+8,7,2,28.571,-8.4687,-1.2098,-5.5495,7.462,-0.1621,long,weak_up_0_to_+8
OOS_long_strong_up_ge_+8,2,1,50.0,-1.4068,-0.7034,-0.7034,5.7607,-0.1221,long,strong_up_ge_+8
OOS_short_strong_down_lt_-8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,short,strong_down_lt_-8
OOS_short_weak_down_-8_to_0,11,5,45.455,0.8758,0.0796,-4.867,7.0096,0.0114,short,weak_down_-8_to_0
OOS_short_weak_up_0_to_+8,8,3,37.5,-2.9052,-0.3632,-4.5182,7.111,-0.0511,short,weak_up_0_to_+8
OOS_short_strong_up_ge_+8,7,3,42.857,5.5918,0.7988,-6.586,10.0233,0.0797,short,strong_up_ge_+8
