sample,cells_vetoed,vetoed_cell_symbol,vetoed_cell_direction,vetoed_avg_pnl_per_trade,cumulative_vetoed_trades,cumulative_vetoed_pnl_pct,remaining_trades,remaining_pnl_pct,veto_rate,headline_pnl_lift_pct
IS-full,1,BTCUSDT,short,-0.5534457627118644,59,-32.6533,562,83.63589999999999,0.09500805152979067,32.6533
IS-full,2,ETHUSDT,short,-0.32717733333333354,134,-57.191600000000015,487,108.17420000000001,0.21578099838969403,57.19160000000002
IS-full,3,LINKUSDT,short,-0.32310625,198,-77.87040000000002,423,128.853,0.3188405797101449,77.87040000000002
IS-full,4,LTCUSDT,long,-0.1462472972972971,272,-88.6927,349,139.6753,0.43800322061191627,88.6927
IS-full,5,BTCUSDT,long,-0.08560000000000006,326,-93.3151,295,144.2977,0.5249597423510467,93.3151
IS-full,6,DOTUSDT,short,0.033448648648648854,363,-92.07749999999999,258,143.06009999999998,0.5845410628019324,92.07749999999999
IS-full,7,ETHUSDT,long,0.15483571428571424,433,-81.23899999999999,188,132.22159999999997,0.6972624798711755,81.23899999999998
IS-full,8,LTCUSDT,short,0.28190800000000016,483,-67.14359999999998,138,118.12619999999997,0.7777777777777778,67.14359999999998
IS-full,9,DOTUSDT,long,0.4533321428571429,539,-41.75699999999998,82,92.73959999999997,0.8679549114331723,41.75699999999998
IS-full,10,LINKUSDT,long,1.1309707317073172,621,50.98260000000003,0,-4.263256414560601e-14,1.0,-50.98260000000003
OOS-full,1,LTCUSDT,long,-2.3917473684210524,19,-45.4432,170,70.31320000000001,0.10052910052910052,45.443200000000004
OOS-full,2,ETHUSDT,short,-0.5135272727272727,41,-56.7408,148,81.61080000000001,0.21693121693121692,56.74080000000001
OOS-full,3,LTCUSDT,short,-0.1203466666666667,56,-58.546,133,83.41600000000001,0.2962962962962963,58.54600000000001
OOS-full,4,DOTUSDT,long,-0.08017500000000004,76,-60.1495,113,85.01950000000001,0.4021164021164021,60.1495
OOS-full,5,DOTUSDT,short,0.1370153846153843,102,-56.587100000000014,87,81.45710000000003,0.5396825396825397,56.58710000000002
OOS-full,6,LINKUSDT,long,0.36183000000000004,112,-52.968800000000016,77,77.83880000000002,0.5925925925925926,52.968800000000016
OOS-full,7,ETHUSDT,long,0.5855291666666667,136,-38.916100000000014,53,63.78610000000002,0.7195767195767195,38.916100000000014
OOS-full,8,BTCUSDT,long,0.8131499999999999,154,-24.279400000000017,35,49.14940000000003,0.8148148148148148,24.27940000000002
OOS-full,9,BTCUSDT,short,1.090188235294118,171,-5.746200000000012,18,30.61620000000002,0.9047619047619048,5.746200000000012
OOS-full,10,LINKUSDT,short,1.7008999999999999,189,24.869999999999987,0,2.1316282072803006e-14,1.0,-24.869999999999987
