symbol,month,mode,n_actual,kish_n_eff,kish_ratio
BTCUSDT,2020-01,baseline_abs_pnl,79,75.61843907942844,0.9571954313851702
BTCUSDT,2020-01,uniform,79,79.0,1.0
BTCUSDT,2020-01,uniqueness_only,79,69.86692807592974,0.8843914946320219
BTCUSDT,2020-01,composite,79,11.605421126141067,0.14690406488786162
BTCUSDT,2020-02,baseline_abs_pnl,87,84.12889013429978,0.9669987371758595
BTCUSDT,2020-02,uniform,87,87.0,1.0
BTCUSDT,2020-02,uniqueness_only,87,87.00000000000004,1.0000000000000004
BTCUSDT,2020-02,composite,87,87.00000000000004,1.0000000000000004
BTCUSDT,2020-03,baseline_abs_pnl,93,69.85789750222264,0.7511601881959424
BTCUSDT,2020-03,uniform,93,93.0,1.0
BTCUSDT,2020-03,uniqueness_only,93,93.00000000000003,1.0000000000000002
BTCUSDT,2020-03,composite,93,93.00000000000011,1.0000000000000013
BTCUSDT,2020-04,baseline_abs_pnl,90,84.59762909479406,0.9399736566088228
BTCUSDT,2020-04,uniform,90,90.0,1.0
BTCUSDT,2020-04,uniqueness_only,90,90.00000000000001,1.0000000000000002
BTCUSDT,2020-04,composite,90,90.00000000000006,1.0000000000000007
BTCUSDT,2020-05,baseline_abs_pnl,93,88.36676889382514,0.9501803106862918
BTCUSDT,2020-05,uniform,93,93.0,1.0
BTCUSDT,2020-05,uniqueness_only,93,93.00000000000003,1.0000000000000002
BTCUSDT,2020-05,composite,93,93.00000000000011,1.0000000000000013
BTCUSDT,2020-06,baseline_abs_pnl,90,84.26558497581098,0.9362842775090109
BTCUSDT,2020-06,uniform,90,90.0,1.0
BTCUSDT,2020-06,uniqueness_only,90,90.00000000000001,1.0000000000000002
BTCUSDT,2020-06,composite,90,90.00000000000006,1.0000000000000007
BTCUSDT,2020-07,baseline_abs_pnl,93,88.55305441427534,0.9521833807986595
BTCUSDT,2020-07,uniform,93,93.0,1.0
BTCUSDT,2020-07,uniqueness_only,93,93.00000000000003,1.0000000000000002
BTCUSDT,2020-07,composite,93,93.00000000000011,1.0000000000000013
BTCUSDT,2020-08,baseline_abs_pnl,93,87.48132371103189,0.9406593947422784
BTCUSDT,2020-08,uniform,93,93.0,1.0
BTCUSDT,2020-08,uniqueness_only,93,93.00000000000003,1.0000000000000002
BTCUSDT,2020-08,composite,93,93.00000000000011,1.0000000000000013
BTCUSDT,2020-09,baseline_abs_pnl,90,84.92629001647076,0.9436254446274529
BTCUSDT,2020-09,uniform,90,90.0,1.0
BTCUSDT,2020-09,uniqueness_only,90,90.00000000000001,1.0000000000000002
BTCUSDT,2020-09,composite,90,90.00000000000006,1.0000000000000007
BTCUSDT,2020-10,baseline_abs_pnl,93,89.91093767808248,0.9667842761084138
BTCUSDT,2020-10,uniform,93,93.0,1.0
BTCUSDT,2020-10,uniqueness_only,93,93.00000000000003,1.0000000000000002
BTCUSDT,2020-10,composite,93,93.00000000000011,1.0000000000000013
BTCUSDT,2020-11,baseline_abs_pnl,90,85.25946381431146,0.9473273757145718
BTCUSDT,2020-11,uniform,90,90.0,1.0
BTCUSDT,2020-11,uniqueness_only,90,90.00000000000001,1.0000000000000002
BTCUSDT,2020-11,composite,90,90.00000000000006,1.0000000000000007
BTCUSDT,2020-12,baseline_abs_pnl,93,87.71009149516352,0.9431192633888551
BTCUSDT,2020-12,uniform,93,93.0,1.0
BTCUSDT,2020-12,uniqueness_only,93,93.00000000000003,1.0000000000000002
BTCUSDT,2020-12,composite,93,93.00000000000013,1.0000000000000013
BTCUSDT,2021-01,baseline_abs_pnl,93,85.49606208328572,0.9193124955192014
BTCUSDT,2021-01,uniform,93,93.0,1.0
BTCUSDT,2021-01,uniqueness_only,93,93.00000000000003,1.0000000000000002
BTCUSDT,2021-01,composite,93,93.00000000000011,1.0000000000000013
BTCUSDT,2021-02,baseline_abs_pnl,84,77.22854596552006,0.9193874519704769
BTCUSDT,2021-02,uniform,84,84.0,1.0
BTCUSDT,2021-02,uniqueness_only,84,84.00000000000001,1.0000000000000002
BTCUSDT,2021-02,composite,84,84.00000000000001,1.0000000000000002
BTCUSDT,2021-03,baseline_abs_pnl,93,83.89492248119538,0.9020959406580148
BTCUSDT,2021-03,uniform,93,93.0,1.0
BTCUSDT,2021-03,uniqueness_only,93,93.00000000000003,1.0000000000000002
BTCUSDT,2021-03,composite,93,93.00000000000011,1.0000000000000013
BTCUSDT,2021-04,baseline_abs_pnl,90,81.61818904645486,0.9068687671828317
BTCUSDT,2021-04,uniform,90,90.0,1.0
BTCUSDT,2021-04,uniqueness_only,90,90.00000000000001,1.0000000000000002
BTCUSDT,2021-04,composite,90,90.00000000000006,1.0000000000000007
BTCUSDT,2021-05,baseline_abs_pnl,93,78.8129161402969,0.8474507111859882
BTCUSDT,2021-05,uniform,93,93.0,1.0
BTCUSDT,2021-05,uniqueness_only,93,93.00000000000003,1.0000000000000002
BTCUSDT,2021-05,composite,93,93.00000000000011,1.0000000000000013
BTCUSDT,2021-06,baseline_abs_pnl,90,82.19888777628073,0.9133209752920081
BTCUSDT,2021-06,uniform,90,90.0,1.0
BTCUSDT,2021-06,uniqueness_only,90,90.00000000000001,1.0000000000000002
BTCUSDT,2021-06,composite,90,90.00000000000006,1.0000000000000007
BTCUSDT,2021-07,baseline_abs_pnl,93,88.09542602722904,0.9472626454540757
BTCUSDT,2021-07,uniform,93,93.0,1.0
BTCUSDT,2021-07,uniqueness_only,93,93.00000000000003,1.0000000000000002
BTCUSDT,2021-07,composite,93,93.00000000000011,1.0000000000000013
BTCUSDT,2021-08,baseline_abs_pnl,93,83.41879918281457,0.8969763352990814
BTCUSDT,2021-08,uniform,93,93.0,1.0
BTCUSDT,2021-08,uniqueness_only,93,93.00000000000003,1.0000000000000002
BTCUSDT,2021-08,composite,93,93.00000000000011,1.0000000000000013
