specialist,sample,symbol,trades,wins,win_rate,net_weighted_pnl,avg_net_pnl_pct
/018,in_sample,LINKUSDT,154,64,0.416,36.9865,0.34139675324675317
/018,out_of_sample,LINKUSDT,48,24,0.5,39.4202,1.1207395833333333
/019,in_sample,ETHUSDT,159,61,0.384,-1.7688999999999995,-0.01999622641509437
/019,out_of_sample,ETHUSDT,42,20,0.476,16.906499999999998,0.7773547619047618
/028,in_sample,LTCUSDT,119,34,0.286,0.2848000000000006,-0.08012773109243695
/028,out_of_sample,LTCUSDT,39,16,0.41,9.3815,0.27075128205128207
/031,in_sample,BTCUSDT,121,44,0.364,-45.525999999999996,-0.38549586776859507
/031,in_sample,DOTUSDT,117,56,0.479,51.7528,1.090159829059829
/031,in_sample,ETHUSDT,138,46,0.333,1.0234000000000025,-0.35417971014492755
/031,in_sample,LINKUSDT,146,52,0.356,3.7552000000000003,-0.6112650684931508
/031,in_sample,LTCUSDT,99,45,0.455,83.5709,0.8322555555555556
/031,out_of_sample,BTCUSDT,42,17,0.405,23.5885,0.5741904761904761
/031,out_of_sample,DOTUSDT,37,19,0.514,19.9182,1.079354054054054
/031,out_of_sample,ETHUSDT,45,21,0.467,17.9373,0.15699777777777782
/031,out_of_sample,LINKUSDT,42,24,0.571,53.003,1.9661833333333334
/031,out_of_sample,LTCUSDT,37,17,0.459,-7.6676,-0.06922972972972971
