year_month,regime,v040_pnl_pct,baseline_pnl_pct,delta_pnl_pct,v040_trades,baseline_trades
2022-01,2022-bear,8.7406,-13.0301,21.7707,15,15
2022-02,2022-bear,22.5127,6.57,15.9427,20,23
2022-03,2022-bear,13.214,-13.1814,26.3954,19,18
2022-04,2022-bear,-19.554,-12.4802,-7.0738,25,22
2022-05,2022-bear,2.1115,8.9146,-6.8031,15,7
2022-06,2022-bear,21.7248,41.4605,-19.7357,16,18
2022-07,2022-bear,2.7783,33.2646,-30.4863,23,14
2022-08,2022-bear,-12.6468,-24.532,11.8852,23,23
2022-09,2022-bear,14.327,8.7222,5.6048,24,21
2022-10,2022-bear,-5.1849,-5.3186,0.1337,23,22
2022-11,2022-bear,-3.0263,13.9162,-16.9425,19,16
2022-12,2022-bear,-4.0552,-9.4454,5.3902,24,23
2023-01,2023-Q1Q2-chop,-17.2429,-4.6025,-12.6404,24,19
2023-02,2023-Q1Q2-chop,-1.7195,-0.4883,-1.2312,9,16
2023-03,2023-Q1Q2-chop,6.3083,13.9649,-7.6566,17,21
2023-04,2023-Q1Q2-chop,11.8723,-11.2768,23.1491,18,24
2023-05,2023-Q1Q2-chop,5.1039,7.226,-2.1221,23,17
2023-06,2023-Q1Q2-chop,31.8078,11.6336,20.1742,20,27
2023-07,2023-Q3Q4-recovery,-7.7635,7.9718,-15.7353,17,12
2023-08,2023-Q3Q4-recovery,5.4109,6.6734,-1.2625,19,13
2023-09,2023-Q3Q4-recovery,3.6224,0.6168,3.0056,21,16
2023-10,2023-Q3Q4-recovery,-2.1708,18.6268,-20.7976,20,9
2023-11,2023-Q3Q4-recovery,-21.1622,1.4062,-22.5684,17,6
2023-12,2023-Q3Q4-recovery,-21.6558,10.2067,-31.8625,23,9
2024-01,2024-Q1Q2-bull,3.1912,1.1788,2.0124,15,20
2024-02,2024-Q1Q2-bull,13.9951,4.8705,9.1246,18,18
2024-03,2024-Q1Q2-bull,0.5376,-3.4101,3.9477,9,11
2024-04,2024-Q1Q2-bull,-0.0499,-9.2474,9.1975,19,16
2024-05,2024-Q1Q2-bull,8.3974,13.4123,-5.0149,23,16
2024-06,2024-Q1Q2-bull,-15.9115,-17.7326,1.8211,16,18
2024-07,2024-Q3Q4-transition,5.7996,-6.1849,11.9845,23,21
2024-08,2024-Q3Q4-transition,33.9662,0.6517,33.3145,19,15
2024-09,2024-Q3Q4-transition,-6.497,-8.0797,1.5827,19,7
2024-10,2024-Q3Q4-transition,-2.3327,16.0279,-18.3606,20,17
2024-11,2024-Q3Q4-transition,-5.7787,-10.4281,4.6494,16,10
2024-12,2024-Q3Q4-transition,6.8501,6.5874,0.2627,9,8
2025-01,2025-Q1-IS-tail,18.6045,-38.6838,57.2883,22,19
2025-02,2025-Q1-IS-tail,3.7927,3.1233,0.6694,12,10
2025-03,2025-Q1-IS-tail,8.3453,5.149,3.1963,10,4
