window,pair,pearson_corr,common_days
IS,XRP_vs_DOT,0.0141,51
IS_zerofill,XRP_vs_DOT,0.0014,550
IS,XRP_vs_ETH,0.1311,67
IS_zerofill,XRP_vs_ETH,0.0793,550
IS,XRP_vs_BTC,0.3795,65
IS_zerofill,XRP_vs_BTC,0.1345,550
IS,XRP_vs_AAVE,0.6716,57
IS_zerofill,XRP_vs_AAVE,0.2223,550
IS,AVG_PAIRWISE,0.299,
IS_zerofill,AVG_PAIRWISE,0.1094,550
IS,XRP_vs_EW_COHORT,0.2785,125
IS_zerofill,XRP_vs_EW_COHORT,0.1009,550
OOS,XRP_vs_DOT,0.3142,16
OOS_zerofill,XRP_vs_DOT,0.0476,245
OOS,XRP_vs_ETH,0.2017,27
OOS_zerofill,XRP_vs_ETH,0.0748,245
OOS,XRP_vs_BTC,0.2968,25
OOS_zerofill,XRP_vs_BTC,0.0849,245
OOS,XRP_vs_AAVE,0.0833,26
OOS_zerofill,XRP_vs_AAVE,0.0231,245
OOS,AVG_PAIRWISE,0.224,
OOS_zerofill,AVG_PAIRWISE,0.0576,245
OOS,XRP_vs_EW_COHORT,0.198,53
OOS_zerofill,XRP_vs_EW_COHORT,0.0642,245
