metric,n,mean,std,frac_positive,p10,p90,self_autocorr_lag1,lag,autocorr
ac_lag1_dist,5646.0,-0.04,0.1478,0.387,-0.2188,0.1544,0.9535,,
ac_lag5_dist,5646.0,-0.0027,0.1309,0.493,-0.1683,0.1686,0.9526,,
ac_lag10_dist,5646.0,-0.0427,0.1573,0.392,-0.2435,0.1573,0.9652,,
full_is_return_autocorr,,,,,,,,1.0,0.0397
full_is_return_autocorr,,,,,,,,2.0,0.066
full_is_return_autocorr,,,,,,,,3.0,-0.0754
full_is_return_autocorr,,,,,,,,4.0,-0.0043
full_is_return_autocorr,,,,,,,,5.0,0.0027
full_is_return_autocorr,,,,,,,,6.0,-0.0045
full_is_return_autocorr,,,,,,,,7.0,0.0193
full_is_return_autocorr,,,,,,,,8.0,0.023
full_is_return_autocorr,,,,,,,,9.0,0.0106
full_is_return_autocorr,,,,,,,,10.0,-0.0233
full_is_return_autocorr,,,,,,,,11.0,0.0361
full_is_return_autocorr,,,,,,,,12.0,-0.0087
full_is_return_autocorr,,,,,,,,13.0,0.0001
full_is_return_autocorr,,,,,,,,14.0,0.0086
full_is_return_autocorr,,,,,,,,15.0,0.0298
persistence_half_life_lags,,4.0,,,,,,,
