mechanism,thr,state,trades,net_pnl_pct,win_rate,avg_pnl,sharpe_proxy
ii_dir_disagree,0.05,DISAGREE,84,-20.419,36.9,-0.2431,-0.3426
ii_dir_disagree,0.05,AGREE,40,30.434,45.0,0.7609,0.6505
ii_dir_disagree,0.05,BTC_FLAT_kept,95,28.727,46.3,0.3024,0.4823
ii_dir_disagree,0.06,DISAGREE,74,-29.589,36.5,-0.3999,-0.5341
ii_dir_disagree,0.06,AGREE,38,42.245,47.4,1.1117,0.925
ii_dir_disagree,0.06,BTC_FLAT_kept,107,26.087,44.9,0.2438,0.4071
ii_dir_disagree,0.067,DISAGREE,68,-39.072,35.3,-0.5746,-0.7335
ii_dir_disagree,0.067,AGREE,33,43.497,48.5,1.3181,1.0151
ii_dir_disagree,0.067,BTC_FLAT_kept,118,34.317,44.9,0.2908,0.508
ii_dir_disagree,0.08,DISAGREE,62,-32.802,35.5,-0.5291,-0.6329
ii_dir_disagree,0.08,AGREE,29,30.219,44.8,1.042,0.7277
ii_dir_disagree,0.08,BTC_FLAT_kept,128,41.326,45.3,0.3229,0.5929
ii_dir_disagree,0.1,DISAGREE,51,-29.475,37.3,-0.5779,-0.6258
ii_dir_disagree,0.1,AGREE,23,-11.249,34.8,-0.4891,-0.305
ii_dir_disagree,0.1,BTC_FLAT_kept,145,79.466,45.5,0.548,1.0536
ii_dir_disagree,0.12,DISAGREE,42,-39.057,35.7,-0.9299,-0.9292
ii_dir_disagree,0.12,AGREE,13,23.795,46.2,1.8304,0.7062
ii_dir_disagree,0.12,BTC_FLAT_kept,164,54.004,43.9,0.3293,0.6772
ii_dir_disagree,0.15,DISAGREE,28,-42.019,28.6,-1.5007,-1.2312
ii_dir_disagree,0.15,AGREE,11,38.111,54.5,3.4646,1.2455
ii_dir_disagree,0.15,BTC_FLAT_kept,180,42.65,43.9,0.2369,0.5079
