candidate,anchor,pearson_corr,abs_corr,n
ac_persist_score,stat_autocorr_lag5,0.4999,0.4999,5646
ac_persist_score,vol_atr_14,0.0776,0.0776,5646
ac_persist_score,trend_adx_14,0.1813,0.1813,5646
ac_persist_score,trend_aroon_osc_50,-0.0478,0.0478,5646
ac_persist_score,mom_macd_line_12_26_9,0.0312,0.0312,5646
ac_persist_score,interact_natr_x_adx,0.1556,0.1556,5646
ac_persist_score,oi_delta_30_z90,0.1282,0.1282,3279
ac5_signed_mom,stat_autocorr_lag5,-0.0019,0.0019,5646
ac5_signed_mom,vol_atr_14,-0.0001,0.0001,5646
ac5_signed_mom,trend_adx_14,-0.022,0.022,5646
ac5_signed_mom,trend_aroon_osc_50,0.0383,0.0383,5646
ac5_signed_mom,mom_macd_line_12_26_9,0.0381,0.0381,5646
ac5_signed_mom,interact_natr_x_adx,0.0008,0.0008,5646
ac5_signed_mom,oi_delta_30_z90,-0.0018,0.0018,3279
ac5_z_90,stat_autocorr_lag5,0.7847,0.7847,5557
ac5_z_90,vol_atr_14,-0.0621,0.0621,5557
ac5_z_90,trend_adx_14,-0.0444,0.0444,5557
ac5_z_90,trend_aroon_osc_50,-0.1032,0.1032,5557
ac5_z_90,mom_macd_line_12_26_9,-0.0964,0.0964,5557
ac5_z_90,interact_natr_x_adx,-0.0787,0.0787,5557
ac5_z_90,oi_delta_30_z90,-0.0528,0.0528,3279
ac_decay_ratio_1_5,stat_autocorr_lag5,0.0021,0.0021,5646
ac_decay_ratio_1_5,vol_atr_14,-0.0022,0.0022,5646
ac_decay_ratio_1_5,trend_adx_14,-0.0305,0.0305,5646
ac_decay_ratio_1_5,trend_aroon_osc_50,-0.0106,0.0106,5646
ac_decay_ratio_1_5,mom_macd_line_12_26_9,-0.0046,0.0046,5646
ac_decay_ratio_1_5,interact_natr_x_adx,-0.0281,0.0281,5646
ac_decay_ratio_1_5,oi_delta_30_z90,-0.0093,0.0093,3279
