regime_axis,regime_value,trades,net_pnl_pct,win_rate,avg_pnl,pnl_std,sharpe_proxy
adx_state,CHOP,115,-64.554,36.5,-0.5613,5.8997,-1.0203
adx_state,TREND,104,103.296,49.0,0.9932,7.0262,1.4416
vol_state,HIVOL,75,27.546,46.7,0.3673,8.2408,0.386
vol_state,LOVOL,144,11.197,40.3,0.0778,5.3905,0.1731
dir_state,DOWN,112,32.29,43.8,0.2883,6.6734,0.4572
dir_state,UP,107,6.453,41.1,0.0603,6.3235,0.0986
btc_state,BTC_DOWN,44,41.132,45.5,0.9348,7.6142,0.8144
btc_state,BTC_FLAT,118,34.317,44.9,0.2908,6.2192,0.508
btc_state,BTC_UP,57,-36.707,35.1,-0.644,6.1254,-0.7937
era,IS_EARLY_22_23,149,14.993,42.3,0.1006,6.3881,0.1923
era,IS_LATE_24_25,70,23.749,42.9,0.3393,6.7486,0.4206
year,2022,75,-3.703,41.3,-0.0494,7.0879,-0.0603
year,2023,74,18.696,43.2,0.2526,5.6355,0.3857
year,2024,59,17.418,44.1,0.2952,6.1783,0.367
year,2025,11,6.331,36.4,0.5755,9.6326,0.1982
