close_dt,direction,entry_price,exit_price,exit_reason,weight_factor,net_pnl_pct,weighted_pnl,pct_of_mkr_oos,cum_pct
2025-06-22 15:59:59.999,-1,2007.7000,1703.2793,take_profit,0.9700,15.0627,14.6108,71.2732,71.2732
2025-06-13 07:59:59.999,-1,2059.7000,1809.1307,take_profit,1.0000,12.0653,12.0653,58.8560,130.1292
2025-05-19 07:59:59.999,-1,1856.6000,1635.1104,take_profit,0.9300,11.8298,11.0018,53.6681,183.7973
2025-08-08 23:59:59.999,1,1813.0000,2037.9172,take_profit,0.3700,12.3058,4.5531,22.2106,206.0079
2025-07-01 08:00:00.000,-1,1967.7000,1913.8000,timeout,0.9500,2.6392,2.5073,12.2309,218.2388
2025-05-28 00:00:00.000,-1,1724.8000,1679.5000,timeout,0.9800,2.5264,2.4759,12.0777,230.3165
2025-09-01 16:00:00.000,1,1488.5000,1571.8000,timeout,0.4100,5.4962,2.2535,10.9928,241.3094
2025-03-29 15:59:59.999,1,1414.2000,1339.2997,stop_loss,0.3700,-5.3963,-1.9966,-9.7397,231.5697
2025-09-12 16:00:00.000,1,1713.3000,1650.1000,timeout,0.5500,-3.7888,-2.0838,-10.1650,221.4047
2025-08-18 15:59:59.999,1,1842.9000,1736.6106,stop_loss,0.3600,-5.8675,-2.1123,-10.3041,211.1007
2025-04-06 23:59:59.999,1,1262.0000,1180.5463,stop_loss,0.5400,-6.5543,-3.5393,-17.2651,193.8355
2025-05-10 23:59:59.999,-1,1771.2000,1859.9177,stop_loss,0.7300,-5.1089,-3.7295,-18.1929,175.6426
2025-06-10 07:59:59.999,-1,1869.1000,1970.3542,stop_loss,0.7400,-5.5173,-4.0828,-19.9164,155.7262
2025-05-13 23:59:59.999,-1,1791.5000,1891.2921,stop_loss,0.8200,-5.6703,-4.6497,-22.6818,133.0444
2025-06-16 07:59:59.999,-1,2079.0000,2220.6269,stop_loss,0.9800,-6.9123,-6.7740,-33.0444,100.0000
