regime,n_strategies,n_paths,pbo,n_splits_evaluated,frac_positive_paths,note
iter_v3_002_actual_replicated,1,45,NaN,0,0.6,S=1 → PBO undefined per CSCV spec
iter_v3_002_actual_replicated,5,45,0.7808,5000,0.6,"CSCV on (N=45, S=5)"
iter_v3_002_actual_replicated,25,45,0.7808,5000,0.6,"CSCV on (N=45, S=25)"
iter_v3_002_actual_replicated,50,45,0.7808,5000,0.6,"CSCV on (N=45, S=50)"
iter_v3_002_actual_replicated,100,45,0.7808,5000,0.6,"CSCV on (N=45, S=100)"
near_overfit_synthetic,1,45,NaN,0,0.4889,S=1 → PBO undefined per CSCV spec
near_overfit_synthetic,5,45,1.0,5000,0.4756,"CSCV on (N=45, S=5)"
near_overfit_synthetic,25,45,1.0,5000,0.5102,"CSCV on (N=45, S=25)"
near_overfit_synthetic,50,45,1.0,5000,0.504,"CSCV on (N=45, S=50)"
near_overfit_synthetic,100,45,1.0,5000,0.4907,"CSCV on (N=45, S=100)"
near_clean_synthetic_iid,1,45,NaN,0,0.6222,S=1 → PBO undefined per CSCV spec
near_clean_synthetic_iid,5,45,0.163,5000,0.6267,"CSCV on (N=45, S=5)"
near_clean_synthetic_iid,25,45,0.5598,5000,0.568,"CSCV on (N=45, S=25)"
near_clean_synthetic_iid,50,45,0.7948,5000,0.5693,"CSCV on (N=45, S=50)"
near_clean_synthetic_iid,100,45,0.677,5000,0.5809,"CSCV on (N=45, S=100)"
