symbol,train_month,n_trials,n_candles,n_paths,rank,pbo,n_eff,frac_pos,path_q50,error
BCHUSDT,2022-01,50,1825,45,50,0.0004,24,0.6097777777777778,0.04878859910424538,
BCHUSDT,2022-02,50,1825,45,50,0.0052,24,0.5373333333333333,0.01019858931655777,
BCHUSDT,2022-03,50,1825,45,47,0.0,23,0.49066666666666664,-0.002860115031078388,
BCHUSDT,2022-04,50,1825,45,48,0.0,27,0.5528888888888889,0.021957769712959076,
BCHUSDT,2022-05,50,1825,45,50,0.0,27,0.6195555555555555,0.04680951736180146,
BCHUSDT,2022-06,50,1825,45,38,0.0106,20,0.40755555555555556,-0.01749067511109988,
BCHUSDT,2022-07,50,1825,45,44,0.0,22,0.5395555555555556,0.02737260755138588,
BCHUSDT,2022-08,50,1825,45,45,0.011,25,0.48444444444444446,0.0,
BCHUSDT,2022-09,50,1825,45,42,0.0,21,0.5128888888888888,0.007995565773739314,
BCHUSDT,2022-10,50,1825,45,48,0.0,23,0.6413333333333333,0.0400460772935472,
BCHUSDT,2022-11,50,1825,45,49,0.7488,23,0.5422222222222223,0.017545144045728586,
BCHUSDT,2022-12,50,1825,45,49,0.0412,25,0.4146666666666667,-0.021338248660708985,
BCHUSDT,2023-01,50,1825,45,46,0.0,23,0.5297777777777778,0.012954649352536183,
BCHUSDT,2023-02,50,1825,45,50,0.0,28,0.6911111111111111,0.06945837240326,
BCHUSDT,2023-03,50,1825,45,50,0.0,26,0.5,1.3975751675623091e-05,
BCHUSDT,2023-04,50,1825,45,50,0.0008,29,0.4186666666666667,-0.025582014768858276,
BCHUSDT,2023-05,50,1825,45,50,0.4434,29,0.42177777777777775,-0.018891854137740652,
BCHUSDT,2023-06,50,1825,45,50,0.0,24,0.8111111111111111,0.09095806449129523,
BCHUSDT,2023-07,50,1825,45,50,0.0,25,0.4902222222222222,-0.0027084955086738626,
BCHUSDT,2023-08,50,1825,45,47,0.4966,24,0.436,0.0,
BCHUSDT,2023-09,50,1825,45,49,0.0,26,0.5924444444444444,0.041789093572992445,
BCHUSDT,2023-10,50,1825,45,50,0.0,29,0.7288888888888889,0.08178684782321807,
BCHUSDT,2023-11,50,1825,45,44,0.6562,22,0.5333333333333333,0.01453315767289022,
BCHUSDT,2023-12,50,1825,45,50,0.0,26,0.6626666666666666,0.05107500990243276,
BCHUSDT,2024-01,50,1825,45,46,0.0052,24,0.412,-0.03250445267096577,
BCHUSDT,2024-02,50,1825,45,50,0.1068,29,0.6635555555555556,0.04713290214044745,
BCHUSDT,2024-03,50,1825,45,50,0.002,26,0.4955555555555556,-0.0006979578155641927,
BCHUSDT,2024-04,50,1825,45,50,0.0,26,0.49777777777777776,-0.0002728946635617617,
BCHUSDT,2024-05,50,1825,45,48,0.0474,27,0.43822222222222224,-0.010395014656139028,
BCHUSDT,2024-06,50,1825,45,50,0.0,29,0.5746666666666667,0.02866292340273767,
BCHUSDT,2024-07,50,1825,45,50,0.0,26,0.5048888888888889,0.0016215147747215396,
BCHUSDT,2024-08,50,1825,45,49,0.0136,27,0.5582222222222222,0.026252084121146775,
BCHUSDT,2024-09,50,1825,45,50,0.0,27,0.5751111111111111,0.01636978722996895,
BCHUSDT,2024-10,50,1825,45,50,0.0,28,0.5017777777777778,0.0007790928764115007,
BCHUSDT,2024-11,50,1825,45,49,0.0,27,0.5168888888888888,0.002913546877244046,
BCHUSDT,2024-12,50,1825,45,50,0.0,27,0.43022222222222223,-0.030349495089303367,
BCHUSDT,2025-01,50,1825,45,50,0.0006,28,0.58,0.0213848744947409,
BCHUSDT,2025-02,50,1825,45,50,0.4374,25,0.49866666666666665,0.0,
BCHUSDT,2025-03,50,1825,45,50,0.1018,29,0.48088888888888887,-0.004292476196736382,
BCHUSDT,2025-04,50,1801,45,49,0.0,28,0.3622222222222222,-0.04302764524169099,
BCHUSDT,2025-05,50,1711,45,49,0.0,24,0.4106666666666667,-0.02797919826946571,
BCHUSDT,2025-06,50,1618,45,49,0.0,27,0.4888888888888889,0.0,
BCHUSDT,2025-07,50,1528,45,50,0.0244,21,0.5364444444444444,0.013946683401045434,
BCHUSDT,2025-08,50,1435,45,50,0.0316,23,0.4235555555555556,-0.027379245067965234,
BCHUSDT,2025-09,50,1342,45,50,0.0,21,0.5284444444444445,0.01384211931619538,
BCHUSDT,2025-10,50,1252,45,48,0.0,22,0.4488888888888889,-0.006902040496834433,
BCHUSDT,2025-11,50,1159,45,50,0.0008,20,0.4911111111111111,0.0,
BCHUSDT,2025-12,50,1069,45,48,0.0,24,0.4186666666666667,-0.02549518378705037,
BCHUSDT,2026-01,50,976,45,49,0.4248,20,0.5008888888888889,0.0003589745140504944,
BCHUSDT,2026-02,50,883,45,50,0.0,16,0.3582222222222222,-0.07378159345480811,
BCHUSDT,2026-03,50,799,45,50,0.0528,19,0.4186666666666667,-0.04268955004610621,
BCHUSDT,2026-04,50,706,45,50,0.9058,17,0.2702222222222222,-0.14142737642260567,
BCHUSDT,2026-05,50,616,45,50,0.0,19,0.1768888888888889,-0.15970308602937655,
LDOUSDT,2024-09,50,1770,45,48,0.84,21,0.37866666666666665,-0.04190603052341692,
LDOUSDT,2024-10,50,1825,45,50,0.0,26,0.49466666666666664,-0.002260633153478674,
LDOUSDT,2024-11,50,1825,45,50,0.0,26,0.5137777777777778,0.003899676117079573,
LDOUSDT,2024-12,50,1825,45,50,0.0,27,0.528,0.007637741411749338,
LDOUSDT,2025-01,50,1825,45,49,0.0,27,0.33555555555555555,-0.04656174065128682,
LDOUSDT,2025-02,50,1825,45,49,0.0,26,0.46266666666666667,-0.006082035166567951,
LDOUSDT,2025-03,50,1825,45,50,0.3744,21,0.4497777777777778,-0.011517070903845274,
LDOUSDT,2025-04,50,1801,45,50,0.0,28,0.444,-0.010978225228528142,
LDOUSDT,2025-05,50,1711,45,50,0.0,24,0.49244444444444446,-0.0013197958830523636,
LDOUSDT,2025-06,50,1618,45,50,0.0,25,0.48977777777777776,-0.002897581734382298,
LDOUSDT,2025-07,50,1528,45,49,0.0538,23,0.3937777777777778,-0.01239430437533899,
LDOUSDT,2025-08,50,1435,45,49,0.0168,27,0.4888888888888889,0.0,
LDOUSDT,2025-09,50,1342,45,50,0.0852,23,0.7053333333333334,0.043896276665467936,
LDOUSDT,2025-10,50,1252,45,48,0.0,24,0.31777777777777777,-0.04807170351197315,
LDOUSDT,2025-11,50,1159,45,50,0.5234,22,0.36133333333333334,-0.035404315383831306,
LDOUSDT,2025-12,50,1069,45,49,0.0,19,0.5271111111111111,0.010651447676150842,
LDOUSDT,2026-01,50,976,45,50,1.0,21,0.6475555555555556,0.06865769025882941,
LDOUSDT,2026-02,50,883,45,47,0.0,22,0.5808888888888889,0.03419127240843454,
LDOUSDT,2026-03,50,799,45,49,0.0,18,0.5822222222222222,0.0492148503682141,
LDOUSDT,2026-04,50,706,45,50,0.1248,15,0.5142222222222222,0.005077108935730731,
LDOUSDT,2026-05,50,616,45,48,0.0002,15,0.40755555555555556,-0.03785532201610906,
MKRUSDT,2022-08,50,1780,45,47,0.0,25,0.336,-0.03719669213595149,
MKRUSDT,2022-09,50,1810,45,49,0.0,23,0.24533333333333332,-0.09405302966671358,
MKRUSDT,2022-10,50,1810,45,47,0.0,27,0.39022222222222225,-0.02976154532485238,
MKRUSDT,2022-11,50,1810,45,50,0.0,25,0.5302222222222223,0.007968362434206518,
MKRUSDT,2022-12,50,1810,45,49,0.6066,23,0.4666666666666667,-0.0037169987143524314,
MKRUSDT,2023-01,50,1810,45,50,0.0,27,0.5071111111111111,0.001218973335144195,
MKRUSDT,2023-02,50,1810,45,47,0.008,27,0.5688888888888889,0.02435420520495299,
