feature,rank_006,imp_006,rank_003,imp_003,mean_rank,near_zero_006,near_zero_003,near_zero_count,in_top_10,in_top_15,in_top_20
max_dd_window_50,4,128.4,1,113.2,2.5,0,0,0,1,1,1
vwap_dev_50,2,136.2,3,101.8,2.5,0,0,0,1,1,1
ema_spread_atr_20,1,151.0,5,84.0,3.0,0,0,0,1,1,1
ret_kurt_50,6,126.2,4,86.8,5.0,0,0,0,1,1,1
ret_skew_200,8,117.4,2,105.8,5.0,0,0,0,1,1,1
range_realized_vol_50,7,124.0,6,82.2,6.5,0,0,0,1,1,1
hurst_diff_100_50,3,134.0,20,41.2,11.5,0,0,0,1,1,1
ret_kurt_200,14,107.0,9,69.8,11.5,0,0,0,1,1,1
hurst_100,12,108.8,11,64.6,11.5,0,0,0,1,1,1
btc_ret_14d,13,107.4,12,63.4,12.5,0,0,0,1,1,1
ret_skew_50,10,112.8,15,50.2,12.5,0,0,0,0,1,1
vwap_dev_20,5,127.8,21,40.4,13.0,0,0,0,0,1,1
ret_autocorr_lag1_50,20,98.2,7,80.0,13.5,0,0,0,0,1,1
sym_vs_btc_ret_7d,16,106.0,13,60.4,14.5,0,0,0,0,1,1
volume_cv_50,19,104.6,10,69.2,14.5,0,0,0,0,1,1
fracdiff_logclose_dstat,11,112.8,19,43.2,15.0,0,0,0,0,0,1
parkinson_gk_ratio_20,9,116.0,22,38.2,15.5,0,0,0,0,0,1
obv_slope_50,18,104.8,14,51.2,16.0,0,0,0,0,0,1
volume_mom_ratio_20,24,85.2,8,71.8,16.0,0,0,0,0,0,1
mom_accel_20_100,17,105.2,18,47.2,17.5,0,0,0,0,0,1
btc_vol_14d,21,91.8,16,49.8,18.5,0,0,0,0,0,0
ret_autocorr_lag5_50,15,106.8,23,36.0,19.0,0,0,0,0,0,0
ret_skew_100,25,82.0,17,49.6,21.0,0,0,0,0,0,0
hurst_200,22,88.8,26,17.6,24.0,0,0,0,0,0,0
bb_width_pct_rank_100,26,80.2,25,18.4,25.5,0,0,0,0,0,0
btc_ret_7d,23,87.0,29,13.6,26.0,0,0,0,0,0,0
parkinson_vol_20,30,71.0,24,18.6,27.0,0,0,0,0,0,0
btc_ret_3d,28,74.8,28,13.6,28.0,0,0,0,0,0,0
fracdiff_logvolume_dstat,27,77.4,33,3.2,30.0,0,1,1,0,0,0
cusum_reset_count_200,34,37.6,27,14.2,30.5,0,0,0,0,0,0
hl_range_ratio_20,29,73.2,34,2.8,31.5,0,1,1,0,0,0
atr_pct_rank_500,32,47.2,31,12.0,31.5,0,0,0,0,0,0
mom_accel_5_20,31,69.6,32,11.0,31.5,0,0,0,0,0,0
atr_pct_rank_200,33,44.2,30,12.4,31.5,0,0,0,0,0,0
