symbol,feature,importance,rank,total_features
BCHUSDT,ret_kurt_200,672,1,14
BCHUSDT,max_dd_window_50,599,2,14
BCHUSDT,ret_skew_200,576,3,14
BCHUSDT,range_realized_vol_50,500,4,14
BCHUSDT,ret_skew_50,454,5,14
BCHUSDT,vwap_dev_20,438,6,14
BCHUSDT,ret_autocorr_lag1_50,434,7,14
BCHUSDT,ema_spread_atr_20,426,8,14
BCHUSDT,btc_ret_14d,407,9,14
BCHUSDT,ret_kurt_50,404,10,14
BCHUSDT,sym_vs_btc_ret_7d,359,11,14
BCHUSDT,hurst_100,318,12,14
BCHUSDT,hurst_diff_100_50,306,13,14
BCHUSDT,tbr_zscore_30,107,14,14
LDOUSDT,ret_skew_200,573,1,14
LDOUSDT,ema_spread_atr_20,536,2,14
LDOUSDT,ret_kurt_200,531,3,14
LDOUSDT,max_dd_window_50,519,4,14
LDOUSDT,ret_kurt_50,477,5,14
LDOUSDT,range_realized_vol_50,446,6,14
LDOUSDT,ret_skew_50,416,7,14
LDOUSDT,hurst_100,410,8,14
LDOUSDT,vwap_dev_20,402,9,14
LDOUSDT,ret_autocorr_lag1_50,400,10,14
LDOUSDT,hurst_diff_100_50,371,11,14
LDOUSDT,sym_vs_btc_ret_7d,349,12,14
LDOUSDT,btc_ret_14d,336,13,14
LDOUSDT,tbr_zscore_30,234,14,14
TRXUSDT,ret_skew_200,675,1,14
TRXUSDT,ret_kurt_200,629,2,14
TRXUSDT,max_dd_window_50,606,3,14
TRXUSDT,range_realized_vol_50,597,4,14
TRXUSDT,ema_spread_atr_20,472,5,14
TRXUSDT,ret_autocorr_lag1_50,444,6,14
TRXUSDT,ret_kurt_50,405,7,14
TRXUSDT,vwap_dev_20,387,8,14
TRXUSDT,ret_skew_50,374,9,14
TRXUSDT,hurst_100,338,10,14
TRXUSDT,sym_vs_btc_ret_7d,338,11,14
TRXUSDT,btc_ret_14d,327,12,14
TRXUSDT,hurst_diff_100_50,275,13,14
TRXUSDT,tbr_zscore_30,133,14,14
