symbol,candidate,against,ic_spearman,n_pairs
BCHUSDT,tbr_zscore_30,max_dd_window_50,-0.0553,2193
BCHUSDT,tbr_zscore_30,ema_spread_atr_20,-0.0943,2193
BCHUSDT,tbr_zscore_30,ret_kurt_50,0.0115,2193
BCHUSDT,tbr_zscore_30,ret_skew_200,-0.0186,2193
BCHUSDT,tbr_zscore_30,range_realized_vol_50,0.01,2193
BCHUSDT,tbr_zscore_30,hurst_diff_100_50,0.0403,2193
BCHUSDT,tbr_zscore_30,ret_kurt_200,0.0298,2193
BCHUSDT,tbr_zscore_30,hurst_100,-0.0086,2193
BCHUSDT,tbr_zscore_30,btc_ret_14d,-0.0587,2193
BCHUSDT,tbr_zscore_30,ret_skew_50,-0.041,2193
BCHUSDT,tbr_zscore_30,vwap_dev_20,0.1518,2193
BCHUSDT,tbr_zscore_30,ret_autocorr_lag1_50,0.0006,2193
BCHUSDT,tbr_zscore_30,sym_vs_btc_ret_7d,0.0492,2193
LDOUSDT,tbr_zscore_30,max_dd_window_50,-0.0187,2193
LDOUSDT,tbr_zscore_30,ema_spread_atr_20,-0.0612,2193
LDOUSDT,tbr_zscore_30,ret_kurt_50,0.0158,2193
LDOUSDT,tbr_zscore_30,ret_skew_200,0.0194,2193
LDOUSDT,tbr_zscore_30,range_realized_vol_50,0.0136,2193
LDOUSDT,tbr_zscore_30,hurst_diff_100_50,-0.0131,2193
LDOUSDT,tbr_zscore_30,ret_kurt_200,-0.0079,2193
LDOUSDT,tbr_zscore_30,hurst_100,0.0017,2193
LDOUSDT,tbr_zscore_30,btc_ret_14d,-0.0247,2193
LDOUSDT,tbr_zscore_30,ret_skew_50,-0.0067,2193
LDOUSDT,tbr_zscore_30,vwap_dev_20,0.1654,2193
LDOUSDT,tbr_zscore_30,ret_autocorr_lag1_50,0.0029,2193
LDOUSDT,tbr_zscore_30,sym_vs_btc_ret_7d,0.033,2193
TRXUSDT,tbr_zscore_30,max_dd_window_50,-0.0111,2193
TRXUSDT,tbr_zscore_30,ema_spread_atr_20,-0.0347,2193
TRXUSDT,tbr_zscore_30,ret_kurt_50,-0.0252,2193
TRXUSDT,tbr_zscore_30,ret_skew_200,-0.014,2193
TRXUSDT,tbr_zscore_30,range_realized_vol_50,-0.0175,2193
TRXUSDT,tbr_zscore_30,hurst_diff_100_50,0.0088,2193
TRXUSDT,tbr_zscore_30,ret_kurt_200,0.0003,2193
TRXUSDT,tbr_zscore_30,hurst_100,-0.023,2193
TRXUSDT,tbr_zscore_30,btc_ret_14d,-0.007,2193
TRXUSDT,tbr_zscore_30,ret_skew_50,-0.0275,2193
TRXUSDT,tbr_zscore_30,vwap_dev_20,0.1354,2193
TRXUSDT,tbr_zscore_30,ret_autocorr_lag1_50,-0.0022,2193
TRXUSDT,tbr_zscore_30,sym_vs_btc_ret_7d,0.0148,2193
