symbol,first_kline_dt,last_kline_dt,pre_is_months,has_24mo_pretrain,is_coverage_pct,is_n_klines,oos_n_klines,gap_count_is,gap_total_hours_is,gate1_pass
AVAXUSDT,2020-09-23,2026-02-28,30.23,True,100.0,2169,1026,0,0.0,True
ADAUSDT,2020-01-31,2026-04-23,37.97,True,100.0,2169,1186,0,0.0,True
ATOMUSDT,2020-02-07,2026-02-28,37.74,True,100.0,2169,1026,0,0.0,True
FILUSDT,2020-10-16,2026-02-28,29.47,True,100.0,2169,1026,0,0.0,True
ALGOUSDT,2020-06-16,2026-02-28,33.47,True,100.0,2169,1026,0,0.0,True
HBARUSDT,2021-03-17,2026-02-28,24.48,True,100.0,2169,1026,0,0.0,True
VETUSDT,2020-02-14,2026-02-28,37.51,True,100.0,2169,1026,0,0.0,True
POLUSDT,2024-09-13,2026-02-28,-17.46,False,26.51,575,1026,0,0.0,False
ARBUSDT,2023-03-23,2026-02-28,0.28,False,100.0,2169,1026,0,0.0,False
OPUSDT,2022-06-01,2026-04-23,9.98,False,100.0,2169,1186,0,0.0,False
