symbol,is_avg_daily_qvol_usd,is_median_daily_qvol_usd,is_p10_daily_qvol_usd,is_p90_daily_qvol_usd,is_min_daily_qvol_usd,weekend_share_pct,gate2_pass
AVAXUSDT,334606107.0,230707433.0,92907697.0,679771638.0,21610616.0,23.34,True
ADAUSDT,390594637.0,222527472.0,101410171.0,832087812.0,40107439.0,24.4,True
ATOMUSDT,105791212.0,76114833.0,39109760.0,213327990.0,20913902.0,22.6,True
FILUSDT,220595005.0,149539853.0,68341409.0,471284419.0,19679253.0,24.59,True
ALGOUSDT,60609931.0,32440322.0,12574369.0,126768513.0,5279824.0,24.58,True
HBARUSDT,126438500.0,30440716.0,12478503.0,314005911.0,5947109.0,20.64,True
VETUSDT,38333592.0,22183239.0,9506780.0,80042447.0,3853986.0,22.34,True
POLUSDT,57664586.0,36296761.0,18715407.0,131064681.0,11073670.0,25.14,True
ARBUSDT,290896360.0,182307380.0,66396766.0,580085045.0,25484598.0,23.02,True
OPUSDT,222483268.0,158664029.0,75553378.0,435742633.0,35645092.0,21.99,True
