rank,symbol,composite_score,score_complementarity,score_data_quality,score_liquidity,score_trade_rate,first_kline_dt,pre_is_months,has_24mo_pretrain,is_coverage_pct,is_n_klines,oos_n_klines,gap_count_is,gap_total_hours_is,gate1_pass,is_avg_daily_qvol_usd,is_median_daily_qvol_usd,is_p10_daily_qvol_usd,is_min_daily_qvol_usd,weekend_share_pct,gate2_pass,corr_BCHUSDT,corr_LDOUSDT,corr_TRXUSDT,mean_abs_corr_baseline,max_abs_corr_baseline,natr_21_is_pct,raw_trades_per_month_proxy,gate_retained_trades_per_month_proxy,cap_band
1,HBARUSDT,0.7561722037487867,0.5904,1.0,0.9002088149951466,0.36,2021-03-17,24.48,True,100.0,2169,1026,0,0.0,True,126438500.0,30440716.0,12478503.0,5947109.0,20.64,True,0.4517,0.4749,0.3021,0.4096,0.4749,4.2712,9.61,2.88,MID
2,AVAXUSDT,0.7401401073095057,0.5022,1.0,0.9471704292380232,0.35125,2020-09-23,30.23,True,100.0,2169,1026,0,0.0,True,334606107.0,230707433.0,92907697.0,21610616.0,23.34,True,0.5489,0.5819,0.3625,0.4978,0.5819,4.1688,9.38,2.81,LARGE
3,ADAUSDT,0.7378590632216313,0.504,1.0,0.9546362528865253,0.32,2020-01-31,37.97,True,100.0,2169,1186,0,0.0,True,390594637.0,222527472.0,101410171.0,40107439.0,24.4,True,0.5523,0.5553,0.3804,0.496,0.5553,3.7946,8.54,2.56,LARGE
4,FILUSDT,0.7242165465098069,0.4665,1.0,0.927066186039228,0.35,2020-10-16,29.47,True,100.0,2169,1026,0,0.0,True,220595005.0,149539853.0,68341409.0,19679253.0,24.59,True,0.6038,0.5843,0.4123,0.5335,0.6038,4.1467,9.33,2.8,LARGE
5,ALGOUSDT,0.7216442719332666,0.508,1.0,0.8647270877330664,0.35375,2020-06-16,33.47,True,100.0,2169,1026,0,0.0,True,60609931.0,32440322.0,12574369.0,5279824.0,24.58,True,0.5558,0.5601,0.3601,0.492,0.5601,4.187,9.42,2.83,MID
6,ATOMUSDT,0.7085638775740781,0.46950000000000003,1.0,0.8916055102963126,0.29875,2020-02-07,37.74,True,100.0,2169,1026,0,0.0,True,105791212.0,76114833.0,39109760.0,20913902.0,22.6,True,0.5801,0.6013,0.41,0.5305,0.6013,3.5362,7.96,2.39,LARGE
7,VETUSDT,0.6933849865602137,0.4416,1.0,0.8426199462408551,0.335,2020-02-14,37.51,True,100.0,2169,1026,0,0.0,True,38333592.0,22183239.0,9506780.0,3853986.0,22.34,True,0.6035,0.5576,0.5141,0.5584,0.6035,3.9742,8.94,2.68,MID
8,OPUSDT,0.5317793709762186,0.49970000000000003,0.3,0.9274774839048747,0.4,2022-06-01,9.98,False,100.0,2169,1186,0,0.0,False,222483268.0,158664029.0,75553378.0,35645092.0,21.99,True,0.4944,0.6772,0.3293,0.5003,0.6772,4.7385,10.66,3.2,LARGE
9,ARBUSDT,0.5176363413037093,0.4599,0.3,0.9404153652148372,0.36375,2023-03-23,0.28,False,100.0,2169,1026,0,0.0,False,290896360.0,182307380.0,66396766.0,25484598.0,23.02,True,0.5604,0.7023,0.3577,0.5401,0.7023,4.3165,9.71,2.91,LARGE
10,POLUSDT,0.41725731051055187,0.40459999999999996,0.07953,0.8623232420422078,0.37625,2024-09-13,-17.46,False,26.51,575,1026,0,0.0,False,57664586.0,36296761.0,18715407.0,11073670.0,25.14,True,0.6872,0.7216,0.3773,0.5954,0.7216,4.4611,10.04,3.01,MID
