symbol,feature,spearman_ic,abs_ic
BCHUSDT,max_dd_window_50,0.165297,0.165297
BCHUSDT,ema_spread_atr_20,0.176486,0.176486
BCHUSDT,ret_kurt_50,-0.017837,0.017837
BCHUSDT,ret_skew_200,0.073434,0.073434
BCHUSDT,range_realized_vol_50,-0.133108,0.133108
BCHUSDT,hurst_diff_100_50,0.015601,0.015601
BCHUSDT,ret_kurt_200,-0.005998,0.005998
BCHUSDT,hurst_100,-0.019388,0.019388
BCHUSDT,btc_ret_14d,0.177897,0.177897
BCHUSDT,ret_skew_50,0.136135,0.136135
BCHUSDT,vwap_dev_20,0.086048,0.086048
BCHUSDT,ret_autocorr_lag1_50,0.059548,0.059548
BCHUSDT,sym_vs_btc_ret_7d,0.082204,0.082204
LDOUSDT,max_dd_window_50,0.077544,0.077544
LDOUSDT,ema_spread_atr_20,0.192063,0.192063
LDOUSDT,ret_kurt_50,-0.008931,0.008931
LDOUSDT,ret_skew_200,-0.007735,0.007735
LDOUSDT,range_realized_vol_50,-0.151893,0.151893
LDOUSDT,hurst_diff_100_50,-0.078026,0.078026
LDOUSDT,ret_kurt_200,0.043874,0.043874
LDOUSDT,hurst_100,-0.064446,0.064446
LDOUSDT,btc_ret_14d,0.177897,0.177897
LDOUSDT,ret_skew_50,0.080584,0.080584
LDOUSDT,vwap_dev_20,0.07472,0.07472
LDOUSDT,ret_autocorr_lag1_50,0.06471,0.06471
LDOUSDT,sym_vs_btc_ret_7d,0.073146,0.073146
TRXUSDT,max_dd_window_50,0.107502,0.107502
TRXUSDT,ema_spread_atr_20,0.130239,0.130239
TRXUSDT,ret_kurt_50,-0.127472,0.127472
TRXUSDT,ret_skew_200,0.041379,0.041379
TRXUSDT,range_realized_vol_50,-0.11254,0.11254
TRXUSDT,hurst_diff_100_50,-0.054173,0.054173
TRXUSDT,ret_kurt_200,-0.014202,0.014202
TRXUSDT,hurst_100,-0.024492,0.024492
TRXUSDT,btc_ret_14d,0.177897,0.177897
TRXUSDT,ret_skew_50,0.114391,0.114391
TRXUSDT,vwap_dev_20,0.063383,0.063383
TRXUSDT,ret_autocorr_lag1_50,0.148446,0.148446
TRXUSDT,sym_vs_btc_ret_7d,-0.104503,0.104503
