candidate,symbol,n_valid,coverage_pct,mean,std,p01,p99,outlier_ratio_range_over_std
regime_momentum_signed_5d,BCHUSDT,2193,100.0,0.006306,0.106364,-0.249182,0.424792,9.7775
vol_adj_autocorr,BCHUSDT,2193,100.0,-1.2406,6.814341,-23.078285,15.122985,9.1023
cross_asset_divergence_norm,BCHUSDT,2193,100.0,3.804514,167.270231,-3.120243,1.277854,47.465
hurst_drift_50_200,BCHUSDT,2193,100.0,0.001756,0.0879,-0.268642,0.164729,7.3991
fracdiff_d05_close,BCHUSDT,2193,100.0,0.487361,0.050399,0.381652,0.623408,9.6481
ret_kurt_to_skew_ratio,BCHUSDT,2193,100.0,15.879817,205.300277,-4.188872,148.819257,34.2295
regime_momentum_signed_5d,LDOUSDT,2193,100.0,-0.005876,0.120372,-0.299249,0.291992,7.5818
vol_adj_autocorr,LDOUSDT,2193,100.0,-0.761564,4.679871,-13.478877,10.73078,7.3596
cross_asset_divergence_norm,LDOUSDT,2193,100.0,-0.088044,1.337394,-3.315702,1.398374,43.0397
hurst_drift_50_200,LDOUSDT,2193,100.0,0.010797,0.08347,-0.238849,0.159099,7.5173
fracdiff_d05_close,LDOUSDT,2193,100.0,0.05128,0.049248,-0.069223,0.17387,9.5462
ret_kurt_to_skew_ratio,LDOUSDT,2193,100.0,4.015292,27.032302,-16.977835,59.372971,42.2024
regime_momentum_signed_5d,TRXUSDT,2193,100.0,0.008719,0.061952,-0.1239,0.16213,17.1762
vol_adj_autocorr,TRXUSDT,2193,100.0,-0.097912,12.284679,-28.847469,32.631652,6.6626
cross_asset_divergence_norm,TRXUSDT,2193,100.0,-0.127855,5.384479,-1.727503,1.884328,48.6255
hurst_drift_50_200,TRXUSDT,2193,100.0,-0.001974,0.086582,-0.261852,0.156353,8.0209
fracdiff_d05_close,TRXUSDT,2193,100.0,-0.178791,0.041056,-0.244596,-0.077494,19.8006
ret_kurt_to_skew_ratio,TRXUSDT,2193,100.0,13.861472,164.198596,-2.065939,140.008396,43.5432
