candidate,symbol,n_valid,coverage_pct,mean,std,p01,p99,outlier_ratio_range_over_std
cross_asset_divergence_norm,BCHUSDT,2193,100.0,3.804514,167.270231,-3.120243,1.277854,47.465
ret_kurt_to_skew_ratio,BCHUSDT,2193,100.0,15.879817,205.300277,-4.188872,148.819257,34.2295
fracdiff_d05_close,BCHUSDT,2193,100.0,0.487361,0.050399,0.381652,0.623408,9.6481
hurst_drift_50_200,BCHUSDT,2193,100.0,-0.6507,0.05539,-0.765824,-0.497639,6.7973
cross_asset_divergence_norm,LDOUSDT,2193,100.0,-0.088044,1.337394,-3.315702,1.398374,43.0397
ret_kurt_to_skew_ratio,LDOUSDT,2193,100.0,4.015292,27.032302,-16.977835,59.372971,42.2024
fracdiff_d05_close,LDOUSDT,2193,100.0,0.05128,0.049248,-0.069223,0.17387,9.5462
hurst_drift_50_200,LDOUSDT,2193,100.0,-0.660741,0.05222,-0.781784,-0.528595,7.0232
cross_asset_divergence_norm,TRXUSDT,2193,100.0,-0.127855,5.384479,-1.727503,1.884328,48.6255
ret_kurt_to_skew_ratio,TRXUSDT,2193,100.0,13.861472,164.198596,-2.065939,140.008396,43.5432
fracdiff_d05_close,TRXUSDT,2193,100.0,-0.178791,0.041056,-0.244596,-0.077494,19.8006
hurst_drift_50_200,TRXUSDT,2193,100.0,-0.646781,0.055423,-0.749613,-0.493417,6.3463
