feature,rank_BCH,rank_LDO,rank_TRX,rank_ALGO,rank_min,rank_max,rank_range,rank_std,norm_BCH,norm_LDO,norm_TRX,norm_ALGO,norm_std,norm_mean
vwap_dev_20,12,2,4,5,2,12,10,3.7666,0.3006,0.8142,0.7668,0.7378,0.2063,0.6548
hurst_100,9,10,3,12,3,12,9,3.3541,0.4162,0.6448,0.8498,0.5122,0.1626,0.6058
ret_skew_50,8,11,7,2,2,11,9,3.2404,0.5029,0.5492,0.655,0.8841,0.1472,0.6478
sym_vs_btc_ret_7d,5,7,12,13,5,13,8,3.3448,0.6127,0.7022,0.5495,0.4817,0.0813,0.5865
max_dd_window_50,4,9,9,1,1,9,8,3.4187,0.6185,0.6667,0.6006,1.0,0.1626,0.7215
ret_kurt_200,7,4,11,7,4,11,7,2.4875,0.5723,0.7432,0.5591,0.7256,0.0847,0.65
ema_spread_atr_20,2,6,2,8,2,8,6,2.5981,0.9942,0.7077,0.9233,0.6768,0.136,0.8255
ret_autocorr_lag1_50,10,12,8,9,8,12,4,1.479,0.3642,0.5164,0.6134,0.6585,0.1128,0.5381
range_realized_vol_50,3,5,1,3,1,5,4,1.4142,0.7457,0.7158,1.0,0.8354,0.1106,0.8242
ret_kurt_50,1,1,5,4,1,5,4,1.7854,1.0,1.0,0.7093,0.7805,0.13,0.8724
hurst_diff_100_50,14,13,13,11,11,14,3,1.0897,0.1272,0.5082,0.4633,0.5854,0.1752,0.421
ret_skew_200,6,3,6,6,3,6,3,1.299,0.6012,0.7951,0.7093,0.7317,0.0699,0.7093
btc_ret_14d,11,8,10,10,8,11,3,1.0897,0.3353,0.6967,0.5911,0.6341,0.1375,0.5643
regime_momentum_signed_5d,13,14,14,14,13,14,1,0.433,0.2486,0.3033,0.393,0.3415,0.0528,0.3216
