threshold_label,dd_threshold,vol_z_threshold,set,direction,regime,n_trades,wins,win_rate_pct,net_pnl_pct_sum,weighted_pnl_sum
T1_default_20pct_1.5z,20.0,1.5,IS,LONG,HEALTHY,39,16,41.03,20.8732,6.3006
T1_default_20pct_1.5z,20.0,1.5,IS,LONG,STRESSED,3,2,66.67,3.894,1.04
T1_default_20pct_1.5z,20.0,1.5,IS,SHORT,HEALTHY,41,11,26.83,-25.2256,-7.7243
T1_default_20pct_1.5z,20.0,1.5,IS,SHORT,STRESSED,2,0,0.0,-6.8248,-5.4362
T1_default_20pct_1.5z,20.0,1.5,IS,ALL,FIRE_RATE_BCHUSDT,11,94,11.7,0.0,0.0
T1_default_20pct_1.5z,20.0,1.5,IS,ALL,FIRE_RATE_TRXUSDT,5,85,5.88,0.0,0.0
T1_default_20pct_1.5z,20.0,1.5,IS,ALL,FIRE_RATE_LDOUSDT,0,18,0.0,0.0,0.0
T1_default_20pct_1.5z,20.0,1.5,IS,ALL,FIRE_RATE_ALGOUSDT,4,53,7.55,0.0,0.0
T1_default_20pct_1.5z,20.0,1.5,OOS,LONG,HEALTHY,21,13,61.9,18.9307,14.0987
T1_default_20pct_1.5z,20.0,1.5,OOS,LONG,STRESSED,1,1,100.0,1.9231,0.9038
T1_default_20pct_1.5z,20.0,1.5,OOS,SHORT,HEALTHY,20,9,45.0,10.1858,9.0042
T1_default_20pct_1.5z,20.0,1.5,OOS,SHORT,STRESSED,4,1,25.0,-1.7954,-0.7759
T1_default_20pct_1.5z,20.0,1.5,OOS,ALL,FIRE_RATE_BCHUSDT,2,38,5.26,0.0,0.0
T1_default_20pct_1.5z,20.0,1.5,OOS,ALL,FIRE_RATE_TRXUSDT,5,46,10.87,0.0,0.0
T1_default_20pct_1.5z,20.0,1.5,OOS,ALL,FIRE_RATE_LDOUSDT,0,13,0.0,0.0,0.0
T1_default_20pct_1.5z,20.0,1.5,OOS,ALL,FIRE_RATE_ALGOUSDT,0,22,0.0,0.0,0.0
T2_relaxed_15pct_1.0z,15.0,1.0,IS,LONG,HEALTHY,26,11,42.31,13.2952,5.6979
T2_relaxed_15pct_1.0z,15.0,1.0,IS,LONG,STRESSED,16,7,43.75,11.472,1.6427
T2_relaxed_15pct_1.0z,15.0,1.0,IS,SHORT,HEALTHY,30,9,30.0,-13.2724,-1.9993
T2_relaxed_15pct_1.0z,15.0,1.0,IS,SHORT,STRESSED,13,2,15.38,-18.778,-11.1612
T2_relaxed_15pct_1.0z,15.0,1.0,IS,ALL,FIRE_RATE_BCHUSDT,31,94,32.98,0.0,0.0
T2_relaxed_15pct_1.0z,15.0,1.0,IS,ALL,FIRE_RATE_TRXUSDT,29,85,34.12,0.0,0.0
T2_relaxed_15pct_1.0z,15.0,1.0,IS,ALL,FIRE_RATE_LDOUSDT,1,18,5.56,0.0,0.0
T2_relaxed_15pct_1.0z,15.0,1.0,IS,ALL,FIRE_RATE_ALGOUSDT,17,53,32.08,0.0,0.0
T2_relaxed_15pct_1.0z,15.0,1.0,OOS,LONG,HEALTHY,13,9,69.23,11.9942,6.0122
T2_relaxed_15pct_1.0z,15.0,1.0,OOS,LONG,STRESSED,9,5,55.56,8.8596,8.9903
T2_relaxed_15pct_1.0z,15.0,1.0,OOS,SHORT,HEALTHY,12,5,41.67,5.0509,4.5908
T2_relaxed_15pct_1.0z,15.0,1.0,OOS,SHORT,STRESSED,12,5,41.67,3.3395,3.6375
T2_relaxed_15pct_1.0z,15.0,1.0,OOS,ALL,FIRE_RATE_BCHUSDT,17,38,44.74,0.0,0.0
T2_relaxed_15pct_1.0z,15.0,1.0,OOS,ALL,FIRE_RATE_TRXUSDT,21,46,45.65,0.0,0.0
T2_relaxed_15pct_1.0z,15.0,1.0,OOS,ALL,FIRE_RATE_LDOUSDT,10,13,76.92,0.0,0.0
T2_relaxed_15pct_1.0z,15.0,1.0,OOS,ALL,FIRE_RATE_ALGOUSDT,13,22,59.09,0.0,0.0
T3_more_relaxed_10pct_0.5z,10.0,0.5,IS,LONG,HEALTHY,6,2,33.33,2.1406,2.2042
T3_more_relaxed_10pct_0.5z,10.0,0.5,IS,LONG,STRESSED,36,16,44.44,22.6266,5.1364
T3_more_relaxed_10pct_0.5z,10.0,0.5,IS,SHORT,HEALTHY,10,4,40.0,-3.4506,3.06
T3_more_relaxed_10pct_0.5z,10.0,0.5,IS,SHORT,STRESSED,33,7,21.21,-28.5998,-16.2205
T3_more_relaxed_10pct_0.5z,10.0,0.5,IS,ALL,FIRE_RATE_BCHUSDT,70,94,74.47,0.0,0.0
T3_more_relaxed_10pct_0.5z,10.0,0.5,IS,ALL,FIRE_RATE_TRXUSDT,69,85,81.18,0.0,0.0
T3_more_relaxed_10pct_0.5z,10.0,0.5,IS,ALL,FIRE_RATE_LDOUSDT,13,18,72.22,0.0,0.0
T3_more_relaxed_10pct_0.5z,10.0,0.5,IS,ALL,FIRE_RATE_ALGOUSDT,44,53,83.02,0.0,0.0
T3_more_relaxed_10pct_0.5z,10.0,0.5,OOS,LONG,HEALTHY,5,4,80.0,5.196,3.1852
T3_more_relaxed_10pct_0.5z,10.0,0.5,OOS,LONG,STRESSED,17,10,58.82,15.6578,11.8173
T3_more_relaxed_10pct_0.5z,10.0,0.5,OOS,SHORT,HEALTHY,1,0,0.0,-1.2968,-1.1023
T3_more_relaxed_10pct_0.5z,10.0,0.5,OOS,SHORT,STRESSED,23,10,43.48,9.6872,9.3306
T3_more_relaxed_10pct_0.5z,10.0,0.5,OOS,ALL,FIRE_RATE_BCHUSDT,30,38,78.95,0.0,0.0
T3_more_relaxed_10pct_0.5z,10.0,0.5,OOS,ALL,FIRE_RATE_TRXUSDT,40,46,86.96,0.0,0.0
T3_more_relaxed_10pct_0.5z,10.0,0.5,OOS,ALL,FIRE_RATE_LDOUSDT,12,13,92.31,0.0,0.0
T3_more_relaxed_10pct_0.5z,10.0,0.5,OOS,ALL,FIRE_RATE_ALGOUSDT,19,22,86.36,0.0,0.0
T4_dd_only_10pct,10.0,999.0,IS,LONG,HEALTHY,29,13,44.83,14.3862,8.5631
T4_dd_only_10pct,10.0,999.0,IS,LONG,STRESSED,13,5,38.46,10.381,-1.2225
T4_dd_only_10pct,10.0,999.0,IS,SHORT,HEALTHY,29,6,20.69,-31.075,-12.3607
T4_dd_only_10pct,10.0,999.0,IS,SHORT,STRESSED,14,5,35.71,-0.9754,-0.7998
T4_dd_only_10pct,10.0,999.0,IS,ALL,FIRE_RATE_BCHUSDT,22,94,23.4,0.0,0.0
T4_dd_only_10pct,10.0,999.0,IS,ALL,FIRE_RATE_TRXUSDT,27,85,31.76,0.0,0.0
T4_dd_only_10pct,10.0,999.0,IS,ALL,FIRE_RATE_LDOUSDT,3,18,16.67,0.0,0.0
T4_dd_only_10pct,10.0,999.0,IS,ALL,FIRE_RATE_ALGOUSDT,16,53,30.19,0.0,0.0
T4_dd_only_10pct,10.0,999.0,OOS,LONG,HEALTHY,15,11,73.33,18.8805,13.3707
T4_dd_only_10pct,10.0,999.0,OOS,LONG,STRESSED,7,3,42.86,1.9733,1.6318
T4_dd_only_10pct,10.0,999.0,OOS,SHORT,HEALTHY,13,5,38.46,3.7119,4.4499
T4_dd_only_10pct,10.0,999.0,OOS,SHORT,STRESSED,11,5,45.45,4.6785,3.7784
T4_dd_only_10pct,10.0,999.0,OOS,ALL,FIRE_RATE_BCHUSDT,11,38,28.95,0.0,0.0
T4_dd_only_10pct,10.0,999.0,OOS,ALL,FIRE_RATE_TRXUSDT,18,46,39.13,0.0,0.0
T4_dd_only_10pct,10.0,999.0,OOS,ALL,FIRE_RATE_LDOUSDT,0,13,0.0,0.0,0.0
T4_dd_only_10pct,10.0,999.0,OOS,ALL,FIRE_RATE_ALGOUSDT,1,22,4.55,0.0,0.0
T5_vol_only_0.5z,999.0,0.5,IS,LONG,HEALTHY,16,6,37.5,9.9718,3.307
T5_vol_only_0.5z,999.0,0.5,IS,LONG,STRESSED,26,12,46.15,14.7954,4.0336
T5_vol_only_0.5z,999.0,0.5,IS,SHORT,HEALTHY,16,6,37.5,-8.3579,-1.2831
T5_vol_only_0.5z,999.0,0.5,IS,SHORT,STRESSED,27,5,18.52,-23.6925,-11.8774
T5_vol_only_0.5z,999.0,0.5,IS,ALL,FIRE_RATE_BCHUSDT,56,94,59.57,0.0,0.0
T5_vol_only_0.5z,999.0,0.5,IS,ALL,FIRE_RATE_TRXUSDT,53,85,62.35,0.0,0.0
T5_vol_only_0.5z,999.0,0.5,IS,ALL,FIRE_RATE_LDOUSDT,11,18,61.11,0.0,0.0
T5_vol_only_0.5z,999.0,0.5,IS,ALL,FIRE_RATE_ALGOUSDT,33,53,62.26,0.0,0.0
T5_vol_only_0.5z,999.0,0.5,OOS,LONG,HEALTHY,7,5,71.43,5.2984,3.0148
T5_vol_only_0.5z,999.0,0.5,OOS,LONG,STRESSED,15,9,60.0,15.5554,11.9877
T5_vol_only_0.5z,999.0,0.5,OOS,SHORT,HEALTHY,10,3,30.0,-2.4072,-2.1866
T5_vol_only_0.5z,999.0,0.5,OOS,SHORT,STRESSED,14,7,50.0,10.7976,10.4149
T5_vol_only_0.5z,999.0,0.5,OOS,ALL,FIRE_RATE_BCHUSDT,23,38,60.53,0.0,0.0
T5_vol_only_0.5z,999.0,0.5,OOS,ALL,FIRE_RATE_TRXUSDT,29,46,63.04,0.0,0.0
T5_vol_only_0.5z,999.0,0.5,OOS,ALL,FIRE_RATE_LDOUSDT,12,13,92.31,0.0,0.0
T5_vol_only_0.5z,999.0,0.5,OOS,ALL,FIRE_RATE_ALGOUSDT,19,22,86.36,0.0,0.0
