symbol,vol_tercile,exit_reason,n_trades,avg_net_pnl_pct,sum_net_pnl_pct,WR_pct
BCHUSDT,lo,timeout,1,-0.092,-0.092,0.0
BCHUSDT,lo,stop_loss,19,-3.052,-57.983,0.0
BCHUSDT,lo,take_profit,12,6.344,76.122,100.0
BCHUSDT,mid,timeout,2,2.896,5.792,100.0
BCHUSDT,mid,stop_loss,20,-3.694,-73.886,0.0
BCHUSDT,mid,take_profit,9,7.563,68.063,100.0
BCHUSDT,hi,timeout,6,2.03,12.18,83.3
BCHUSDT,hi,stop_loss,17,-5.087,-86.477,0.0
BCHUSDT,hi,take_profit,8,9.988,79.901,100.0
LDOUSDT,lo,stop_loss,4,-7.833,-31.333,0.0
LDOUSDT,lo,take_profit,2,8.154,16.308,100.0
LDOUSDT,mid,stop_loss,2,-8.861,-17.722,0.0
LDOUSDT,mid,take_profit,4,11.217,44.869,100.0
LDOUSDT,hi,stop_loss,2,-9.885,-19.77,0.0
LDOUSDT,hi,take_profit,4,15.55,62.199,100.0
TRXUSDT,lo,stop_loss,20,-1.397,-27.933,0.0
TRXUSDT,lo,take_profit,9,2.398,21.581,100.0
TRXUSDT,mid,stop_loss,19,-2.004,-38.068,0.0
TRXUSDT,mid,take_profit,9,3.905,35.144,100.0
TRXUSDT,hi,timeout,4,3.205,12.821,100.0
TRXUSDT,hi,stop_loss,17,-3.237,-55.032,0.0
TRXUSDT,hi,take_profit,7,6.315,44.202,100.0
ALGOUSDT,lo,stop_loss,13,-4.786,-62.216,0.0
ALGOUSDT,lo,take_profit,5,6.082,30.41,100.0
ALGOUSDT,mid,timeout,2,3.623,7.245,50.0
ALGOUSDT,mid,stop_loss,7,-6.783,-47.479,0.0
ALGOUSDT,mid,take_profit,8,8.164,65.313,100.0
ALGOUSDT,hi,timeout,3,-0.063,-0.19,66.7
ALGOUSDT,hi,stop_loss,10,-10.62,-106.198,0.0
ALGOUSDT,hi,take_profit,5,15.812,79.061,100.0
