symbol,threshold_wpnl,n_brake_fires,n_braked_trades,n_braked_pct,wpnl_orig,wpnl_modified,wpnl_delta,sharpe_proxy_orig,sharpe_proxy_modified,max_dd_observed_wpnl
BCHUSDT,3,20,13,23.6,53.53,44.22,-9.3,0.25,0.23,12.47
BCHUSDT,5,14,9,16.4,53.53,44.05,-9.47,0.25,0.223,12.47
BCHUSDT,10,3,2,3.6,53.53,46.96,-6.57,0.25,0.227,12.47
BCHUSDT,15,0,0,0.0,53.53,53.53,0.0,0.25,0.25,12.47
BCHUSDT,20,0,0,0.0,53.53,53.53,0.0,0.25,0.25,12.47
LDOUSDT,3,6,6,33.3,43.9,32.05,-11.85,0.346,0.308,12.71
LDOUSDT,5,6,5,27.8,43.9,30.51,-13.39,0.346,0.29,12.71
LDOUSDT,10,1,1,5.6,43.9,40.36,-3.53,0.346,0.322,12.71
LDOUSDT,15,0,0,0.0,43.9,43.9,0.0,0.346,0.346,12.71
LDOUSDT,20,0,0,0.0,43.9,43.9,0.0,0.346,0.346,12.71
TRXUSDT,3,36,38,44.7,-5.82,-6.46,-0.64,-0.03,-0.04,28.0
TRXUSDT,5,33,35,41.2,-5.82,-4.81,1.01,-0.03,-0.028,28.0
TRXUSDT,10,27,31,36.5,-5.82,-3.4,2.42,-0.03,-0.019,28.0
TRXUSDT,15,18,24,28.2,-5.82,-5.69,0.13,-0.03,-0.031,28.0
TRXUSDT,20,11,13,15.3,-5.82,-8.11,-2.29,-0.03,-0.043,28.0
ALGOUSDT,3,24,13,24.5,2.47,13.23,10.76,0.007,0.041,64.7
ALGOUSDT,5,24,10,18.9,2.47,6.77,4.31,0.007,0.021,64.7
ALGOUSDT,10,14,6,11.3,2.47,1.91,-0.56,0.007,0.006,64.7
ALGOUSDT,15,10,5,9.4,2.47,-0.23,-2.7,0.007,-0.001,64.7
ALGOUSDT,20,7,3,5.7,2.47,8.94,6.47,0.007,0.026,64.7
