symbol,direction,adx_bucket,n,WR_pct,sum_net_pnl_pct,sum_weighted_pnl
BCHUSDT,LONG,20-23,4,0.0,-13.07,-9.02
BCHUSDT,LONG,23-25,4,0.0,-16.8,-11.43
BCHUSDT,LONG,25-30,10,50.0,8.8,4.26
BCHUSDT,LONG,>=30,21,33.3,-4.0,-2.49
BCHUSDT,SHORT,20-23,12,50.0,9.55,12.69
BCHUSDT,SHORT,23-25,6,33.3,0.26,4.27
BCHUSDT,SHORT,25-30,14,21.4,-21.45,-0.39
BCHUSDT,SHORT,>=30,23,56.5,60.33,36.96
LDOUSDT,LONG,20-23,2,100.0,31.58,19.9
LDOUSDT,LONG,25-30,2,50.0,6.3,2.97
LDOUSDT,LONG,>=30,2,50.0,3.01,7.56
LDOUSDT,SHORT,20-23,5,80.0,35.66,24.83
LDOUSDT,SHORT,25-30,2,0.0,-16.75,-8.14
LDOUSDT,SHORT,>=30,5,40.0,-5.25,-3.23
TRXUSDT,LONG,20-23,7,57.1,9.8,8.19
TRXUSDT,LONG,23-25,5,20.0,3.54,1.08
TRXUSDT,LONG,25-30,12,50.0,5.84,0.61
TRXUSDT,LONG,>=30,18,38.9,5.59,-2.55
TRXUSDT,SHORT,20-23,13,30.8,-3.98,-0.65
TRXUSDT,SHORT,23-25,3,33.3,-0.02,1.04
TRXUSDT,SHORT,25-30,10,20.0,-17.03,-11.88
TRXUSDT,SHORT,>=30,17,23.5,-11.03,-1.68
ALGOUSDT,LONG,20-23,9,11.1,-49.74,-28.48
ALGOUSDT,LONG,23-25,5,40.0,-17.04,-12.7
ALGOUSDT,LONG,25-30,5,60.0,22.11,17.92
ALGOUSDT,LONG,>=30,7,42.9,-10.49,-14.27
ALGOUSDT,SHORT,20-23,5,80.0,26.11,17.95
ALGOUSDT,SHORT,23-25,3,33.3,-4.7,-2.77
ALGOUSDT,SHORT,25-30,6,33.3,-4.64,8.08
ALGOUSDT,SHORT,>=30,13,38.5,4.35,16.74
