symbol,adx_threshold,n_IS_blocked,IS_blocked_wpnl,IS_lift_estimate,n_OOS_blocked,OOS_blocked_wpnl,OOS_cost_estimate,net_estimate
BCHUSDT,21,5,-6.43,6.43,1,4.42,4.42,2.0
BCHUSDT,22,10,-0.12,0.12,2,6.85,6.85,-6.73
BCHUSDT,23,12,12.69,-12.69,3,8.43,8.43,-21.12
BCHUSDT,24,17,18.44,-18.44,6,13.51,13.51,-31.95
BCHUSDT,25,18,16.96,-16.96,7,19.57,19.57,-36.52
LDOUSDT,21,4,19.13,-19.13,2,5.72,5.72,-24.84
LDOUSDT,22,6,41.55,-41.55,3,-2.71,-2.71,-38.84
LDOUSDT,23,7,44.73,-44.73,3,-2.71,-2.71,-42.02
LDOUSDT,24,7,44.73,-44.73,5,14.58,14.58,-59.31
LDOUSDT,25,7,44.73,-44.73,7,16.34,16.34,-61.07
TRXUSDT,21,9,-4.77,4.77,2,-0.01,-0.01,4.77
TRXUSDT,22,16,-3.23,3.23,4,-1.97,-1.97,5.21
TRXUSDT,23,20,7.55,-7.55,6,-3.34,-3.34,-4.2
TRXUSDT,24,24,8.94,-8.94,7,-1.97,-1.97,-6.96
TRXUSDT,25,28,9.67,-9.67,9,0.68,0.68,-10.35
ALGOUSDT,21,5,-2.35,2.35,3,10.82,10.82,-8.48
ALGOUSDT,22,7,-0.86,0.86,5,7.53,7.53,-6.66
ALGOUSDT,23,14,-10.53,10.53,9,17.03,17.03,-6.5
ALGOUSDT,24,19,-13.24,13.24,9,17.03,17.03,-3.79
ALGOUSDT,25,22,-26.0,26.0,9,17.03,17.03,8.97
