symbol,candidate,existing_feature,abs_ic_pearson,is_source_primitive
BCHUSDT,fracdiff_d05_close,max_dd_window_50,0.1106,False
BCHUSDT,fracdiff_d05_close,ema_spread_atr_20,0.5635,True
BCHUSDT,fracdiff_d05_close,ret_kurt_50,0.0524,False
BCHUSDT,fracdiff_d05_close,ret_skew_200,0.1272,False
BCHUSDT,fracdiff_d05_close,range_realized_vol_50,0.1541,False
BCHUSDT,fracdiff_d05_close,hurst_diff_100_50,0.0439,False
BCHUSDT,fracdiff_d05_close,ret_kurt_200,0.01,False
BCHUSDT,fracdiff_d05_close,hurst_100,0.087,False
BCHUSDT,fracdiff_d05_close,btc_ret_14d,0.4485,False
BCHUSDT,fracdiff_d05_close,ret_skew_50,0.2287,False
BCHUSDT,fracdiff_d05_close,vwap_dev_20,0.6597,True
BCHUSDT,fracdiff_d05_close,ret_autocorr_lag1_50,0.0898,False
BCHUSDT,fracdiff_d05_close,sym_vs_btc_ret_7d,0.4799,False
BCHUSDT,fracdiff_d05_close,regime_momentum_signed_5d,0.6402,False
LDOUSDT,fracdiff_d05_close,max_dd_window_50,0.3157,False
LDOUSDT,fracdiff_d05_close,ema_spread_atr_20,0.5985,True
LDOUSDT,fracdiff_d05_close,ret_kurt_50,0.0524,False
LDOUSDT,fracdiff_d05_close,ret_skew_200,0.3084,False
LDOUSDT,fracdiff_d05_close,range_realized_vol_50,0.2207,False
LDOUSDT,fracdiff_d05_close,hurst_diff_100_50,0.0445,False
LDOUSDT,fracdiff_d05_close,ret_kurt_200,0.1147,False
LDOUSDT,fracdiff_d05_close,hurst_100,0.0035,False
LDOUSDT,fracdiff_d05_close,btc_ret_14d,0.3546,False
LDOUSDT,fracdiff_d05_close,ret_skew_50,0.3109,False
LDOUSDT,fracdiff_d05_close,vwap_dev_20,0.7381,True
LDOUSDT,fracdiff_d05_close,ret_autocorr_lag1_50,0.0665,False
LDOUSDT,fracdiff_d05_close,sym_vs_btc_ret_7d,0.5919,False
LDOUSDT,fracdiff_d05_close,regime_momentum_signed_5d,0.6721,False
TRXUSDT,fracdiff_d05_close,max_dd_window_50,0.2233,False
TRXUSDT,fracdiff_d05_close,ema_spread_atr_20,0.4009,True
TRXUSDT,fracdiff_d05_close,ret_kurt_50,0.0498,False
TRXUSDT,fracdiff_d05_close,ret_skew_200,0.3792,False
TRXUSDT,fracdiff_d05_close,range_realized_vol_50,0.1035,False
TRXUSDT,fracdiff_d05_close,hurst_diff_100_50,0.0161,False
TRXUSDT,fracdiff_d05_close,ret_kurt_200,0.2176,False
TRXUSDT,fracdiff_d05_close,hurst_100,0.0686,False
TRXUSDT,fracdiff_d05_close,btc_ret_14d,0.1612,False
TRXUSDT,fracdiff_d05_close,ret_skew_50,0.2733,False
TRXUSDT,fracdiff_d05_close,vwap_dev_20,0.5007,True
TRXUSDT,fracdiff_d05_close,ret_autocorr_lag1_50,0.0459,False
TRXUSDT,fracdiff_d05_close,sym_vs_btc_ret_7d,0.373,False
TRXUSDT,fracdiff_d05_close,regime_momentum_signed_5d,0.5238,False
ALGOUSDT,fracdiff_d05_close,max_dd_window_50,0.0579,False
ALGOUSDT,fracdiff_d05_close,ema_spread_atr_20,0.5224,True
ALGOUSDT,fracdiff_d05_close,ret_kurt_50,0.1487,False
ALGOUSDT,fracdiff_d05_close,ret_skew_200,0.0991,False
ALGOUSDT,fracdiff_d05_close,range_realized_vol_50,0.399,False
ALGOUSDT,fracdiff_d05_close,hurst_diff_100_50,0.003,False
ALGOUSDT,fracdiff_d05_close,ret_kurt_200,0.184,False
ALGOUSDT,fracdiff_d05_close,hurst_100,0.0121,False
ALGOUSDT,fracdiff_d05_close,btc_ret_14d,0.2805,False
ALGOUSDT,fracdiff_d05_close,ret_skew_50,0.142,False
ALGOUSDT,fracdiff_d05_close,vwap_dev_20,0.5881,True
ALGOUSDT,fracdiff_d05_close,ret_autocorr_lag1_50,0.0164,False
ALGOUSDT,fracdiff_d05_close,sym_vs_btc_ret_7d,0.4974,False
ALGOUSDT,fracdiff_d05_close,regime_momentum_signed_5d,0.583,False
