threshold,recovery,symbol,period,n_taken,n_skipped,wpnl_taken,wpnl_skipped,wpnl_total,wpnl_counterfactual_delta
5.0,2.5,BCHUSDT,IS,78,8,50.4606,-2.7694000000000005,47.6912,2.7694000000000005
5.0,2.5,BCHUSDT,OOS,31,5,22.504800000000003,2.0805999999999996,24.585400000000003,-2.0805999999999996
5.0,2.5,LDOUSDT,IS,9,0,5.6690000000000005,0.0,5.6690000000000005,-0.0
5.0,2.5,LDOUSDT,OOS,10,6,1.9040999999999997,-17.5146,-15.610500000000002,17.5146
5.0,2.5,TRXUSDT,IS,72,13,-4.826400000000003,-12.964500000000001,-17.790900000000004,12.964500000000001
5.0,2.5,TRXUSDT,OOS,44,0,15.6005,0.0,15.6005,-0.0
7.5,3.75,BCHUSDT,IS,82,4,53.6687,-5.9775,47.6912,5.9775
7.5,3.75,BCHUSDT,OOS,36,0,24.5854,0.0,24.5854,-0.0
7.5,3.75,LDOUSDT,IS,9,0,5.6690000000000005,0.0,5.6690000000000005,-0.0
7.5,3.75,LDOUSDT,OOS,11,5,-3.1047000000000002,-12.5058,-15.610500000000002,12.5058
7.5,3.75,TRXUSDT,IS,82,3,-11.7654,-6.0255,-17.7909,6.0255
7.5,3.75,TRXUSDT,OOS,44,0,15.6005,0.0,15.6005,-0.0
10.0,5.0,BCHUSDT,IS,84,2,52.07630000000001,-4.3851,47.69120000000001,4.3851
10.0,5.0,BCHUSDT,OOS,36,0,24.5854,0.0,24.5854,-0.0
10.0,5.0,LDOUSDT,IS,9,0,5.6690000000000005,0.0,5.6690000000000005,-0.0
10.0,5.0,LDOUSDT,OOS,11,5,-3.1047000000000002,-12.5058,-15.610500000000002,12.5058
10.0,5.0,TRXUSDT,IS,85,0,-17.790899999999997,0.0,-17.790899999999997,-0.0
10.0,5.0,TRXUSDT,OOS,44,0,15.6005,0.0,15.6005,-0.0
15.0,7.5,BCHUSDT,IS,86,0,47.69120000000001,0.0,47.69120000000001,-0.0
15.0,7.5,BCHUSDT,OOS,36,0,24.5854,0.0,24.5854,-0.0
15.0,7.5,LDOUSDT,IS,9,0,5.6690000000000005,0.0,5.6690000000000005,-0.0
15.0,7.5,LDOUSDT,OOS,13,3,0.6546999999999974,-16.2652,-15.610500000000002,16.2652
15.0,7.5,TRXUSDT,IS,85,0,-17.790899999999997,0.0,-17.790899999999997,-0.0
15.0,7.5,TRXUSDT,OOS,44,0,15.6005,0.0,15.6005,-0.0
