symbol,trade_idx,close_time,weighted_pnl,cumulative_wpnl,running_peak,drawdown_abs,drawdown_norm
BCHUSDT,0,1643615999999,-1.8825,-1.8825,-1.8825,0.0,0.0
BCHUSDT,1,1644508799999,0.0,-1.8825,-1.8825,0.0,0.0
BCHUSDT,2,1645142399999,3.8216,1.9391,1.9391,0.0,0.0
BCHUSDT,3,1645689599999,-2.2208,-0.28170000000000006,1.9391,2.2208,0.03778689403233188
BCHUSDT,4,1645862399999,-4.0732,-4.3549,1.9391,6.294,0.10709235907758322
BCHUSDT,5,1646812799999,3.2955,-1.0593999999999997,1.9391,2.9985,0.05101945324024997
BCHUSDT,6,1648425599999,-2.8207,-3.8800999999999997,1.9391,5.8191999999999995,0.09901364091901371
BCHUSDT,7,1648655999999,0.0,-3.8800999999999997,1.9391,5.8191999999999995,0.09901364091901371
BCHUSDT,8,1649260799999,7.2482,3.3681,3.3681,0.0,0.0
BCHUSDT,9,1649663999999,3.8515,7.2196,7.2196,0.0,0.0
BCHUSDT,10,1650585599999,2.3328,9.5524,9.5524,0.0,0.0
BCHUSDT,11,1652227199999,0.0,9.5524,9.5524,0.0,0.0
BCHUSDT,12,1658649599999,-1.5834,7.969,9.5524,1.5834000000000001,0.026941538189298585
BCHUSDT,13,1658966399999,-1.8838,6.0852,9.5524,3.4672,0.05899437994817232
BCHUSDT,14,1659311999999,0.0,6.0852,9.5524,3.4672,0.05899437994817232
BCHUSDT,15,1660060800000,0.2069,6.2921000000000005,9.5524,3.2603,0.05547397812212339
BCHUSDT,16,1661270399999,-1.8705,4.421600000000001,9.5524,5.1308,0.08730052048860248
BCHUSDT,17,1661529599999,3.2772,7.6988,9.5524,1.8536000000000001,0.03153898900321072
BCHUSDT,18,1661846399999,-1.7562,5.9426000000000005,9.5524,3.6098,0.061420717794448666
BCHUSDT,19,1662739199999,-2.0137,3.9289000000000005,9.5524,5.6235,0.09568380700234974
BCHUSDT,20,1663545599999,-2.9915,0.9374000000000007,9.5524,8.615,0.1465841552992341
BCHUSDT,21,1664351999999,3.0204,3.9578000000000007,9.5524,5.5946,0.0951920737361689
BCHUSDT,22,1667433599999,-0.9572,3.0006000000000004,9.5524,6.5518,0.11147882399181916
BCHUSDT,23,1667779199999,-1.6503,1.3503000000000003,9.5524,8.2021,0.13955866513985468
BCHUSDT,24,1667951999999,-2.331,-0.9806999999999997,9.5524,10.533100000000001,0.1792206112805993
BCHUSDT,25,1668412799999,-5.8027,-6.783399999999999,9.5524,16.3358,0.2779535048331084
BCHUSDT,26,1669161600000,0.0,-6.783399999999999,9.5524,16.3358,0.2779535048331084
BCHUSDT,27,1669622399999,-1.5924,-8.3758,9.5524,17.9282,0.3050481779495913
BCHUSDT,28,1673539199999,-0.6653,-9.0411,9.5524,18.5935,0.316368252066896
BCHUSDT,29,1674086399999,0.0,-9.0411,9.5524,18.5935,0.316368252066896
BCHUSDT,30,1674691199999,0.0,-9.0411,9.5524,18.5935,0.316368252066896
BCHUSDT,31,1675324799999,0.0,-9.0411,9.5524,18.5935,0.316368252066896
BCHUSDT,32,1676303999999,-2.1236,-11.1647,9.5524,20.717100000000002,0.3525012888856371
BCHUSDT,33,1676505599999,2.8162,-8.3485,9.5524,17.9009,0.30458366867046544
BCHUSDT,34,1676879999999,-2.2951,-10.6436,9.5524,20.195999999999998,0.3436347766016636
BCHUSDT,35,1678521599999,-1.6474,-12.290999999999999,9.5524,21.8434,0.371665274273162
BCHUSDT,36,1679702399999,-3.2165,-15.507499999999999,9.5524,25.0599,0.42639399574965486
BCHUSDT,37,1680537599999,2.3451,-13.162399999999998,9.5524,22.714799999999997,0.3864921382229881
BCHUSDT,38,1683158400000,1.0575,-12.104899999999997,9.5524,21.6573,0.368498784278828
BCHUSDT,39,1693468799999,-1.7251,-13.829999999999997,9.5524,23.382399999999997,0.39785134682168444
