feature,BCHUSDT_n_valid,BCHUSDT_skew,BCHUSDT_kurt,BCHUSDT_adf_p,BCHUSDT_spearman,BCHUSDT_spearman_p,LDOUSDT_n_valid,LDOUSDT_skew,LDOUSDT_kurt,LDOUSDT_adf_p,LDOUSDT_spearman,LDOUSDT_spearman_p,TRXUSDT_n_valid,TRXUSDT_skew,TRXUSDT_kurt,TRXUSDT_adf_p,TRXUSDT_spearman,TRXUSDT_spearman_p,max_abs_ic_with_base14,max_ic_partner
atr_pct_rank_1000,5528,0.12120321046559487,-1.4273745157342876,0.007737183891248524,0.01737393105081445,0.1971159789240084,2542,-0.004611449933647344,-1.2168514249862634,0.036015138448663324,-0.0456105792459324,0.021855514958637974,5470,-0.19439352047211064,-1.2971738249975717,7.679627978781085e-05,-0.029616237760480914,0.028715251377878788,0.7013289701617826,range_realized_vol_50(LDOUSDT)
atr_pct_rank_200,5688,0.2211243731615891,-1.3688774834722208,6.022501112031142e-11,-0.039113955629868746,0.003213770003071276,2702,0.24054350772486388,-1.3060211353172497,2.1768794940124434e-05,0.01899394948246391,0.3250140631261502,5630,0.018710072207633422,-1.4060698312709714,1.3752770202838813e-13,0.004887820497728847,0.7142298843765743,0.6124148637392572,ema_spread_atr_20(LDOUSDT)
atr_pct_rank_500,5628,0.18921357841183944,-1.3100774668125965,2.157251594668998e-05,-0.022979503959140044,0.0851660588948697,2642,0.09426127635708265,-1.5096321902607097,0.02705042039811476,0.008933755612042224,0.6471792604523398,5570,-0.09137893630547611,-1.3447082329884281,7.593832714629782e-07,-0.019599381910504275,0.14412794468822734,0.6365985925996647,range_realized_vol_50(LDOUSDT)
bb_width_pct_rank_100,5689,0.04630269018917512,-1.2485923660755818,9.830360379151604e-30,0.05988030995355448,6.373688928149276e-06,2703,0.004445501494924577,-1.2427698144741228,1.6689302847907122e-21,0.0418233625622044,0.03013502574606002,5631,0.0739891956496608,-1.2565882309153629,2.0905717373356796e-28,0.028219588515034255,0.03445333680955719,0.19882092979250504,sym_vs_btc_ret_7d(TRXUSDT)
btc_ret_3d,5718,-0.6066169393144096,5.066383100487889,1.3527917403935504e-21,0.006166602914913628,0.6415067421436296,2741,0.23236421330198084,3.2672870920288704,1.174969561818123e-11,-0.10057330522684295,1.4251100380660362e-07,5669,-0.6052286163709223,5.081340243004345,2.7236573630379362e-21,-0.01638949045295034,0.21787938224980097,0.6343352255651723,vwap_dev_20(BCHUSDT)
btc_ret_7d,5706,-0.6557443391808689,4.216220988486241,4.332385288943862e-17,-0.025048463168723677,0.05882415708012472,2741,0.35650940739460607,1.87648896570703,7.668950835461248e-10,-0.09037344999375863,2.2897758240346407e-06,5669,-0.6506488623383071,4.217934384322799,2.721375006629934e-16,-0.04141113698497512,0.0018427033541966074,0.7114463348176342,btc_ret_14d(TRXUSDT)
btc_vol_14d,5685,2.0140644239731373,7.546629043558804,7.1544883089967845e-09,0.01986780973358125,0.13469223064646374,2741,0.7406855223349941,0.5300145196668464,2.5315454367764097e-09,-0.08562170426714857,7.584957414565679e-06,5669,2.0165828799767325,7.550288087359757,7.232010230620414e-09,0.03180997439545853,0.016758370847447107,0.6861551941068899,range_realized_vol_50(BCHUSDT)
candle_efficiency_20,5708,0.11544179581427357,0.10535919497159263,4.5867511079936717e-20,-0.03652635262826627,0.005845937891110671,2722,-0.043473888872298035,-0.29456040930804406,6.53635345488952e-10,-0.14516842977945218,3.206663313576729e-14,5650,-0.0672657221096999,-0.12691998361786494,7.578029303079382e-21,-0.03300734547330874,0.013216712125274095,0.7288661454065042,vwap_dev_20(BCHUSDT)
close_pos_in_range_20,5718,0.07125500135962064,-1.100147583531812,2.2646412178885116e-27,-0.01599682434290923,0.22709957731267047,2732,0.08997672060909698,-1.2262404050039044,8.924422809589604e-19,-0.13268086383268127,3.8248704945324e-12,5660,-0.137550230057868,-1.1179215555477935,3.2245475058540267e-25,-0.03471156385976992,0.009101981760780321,0.9161922679996964,vwap_dev_20(LDOUSDT)
close_pos_in_range_50,5703,0.20892438530151042,-1.0244236370639903,3.856273594097057e-21,-0.030607595063688712,0.02097564969455495,2717,0.2592019169344802,-0.9916224994788863,1.934037032797185e-15,-0.16699573037606086,2.37327163888265e-18,5645,-0.15398737684742236,-1.0421366054170111,1.360395557013854e-18,-0.02897042708999816,0.02972609197456436,0.8091745146394854,ema_spread_atr_20(LDOUSDT)
