,hurst_100,hurst_200,hurst_diff_100_50,atr_pct_rank_200,atr_pct_rank_500,bb_width_pct_rank_100,cusum_reset_count_200,ret_skew_50,ret_skew_100,ret_skew_200,ret_kurt_50,ret_kurt_200,range_realized_vol_50,max_dd_window_50,parkinson_vol_20,parkinson_vol_50,garman_klass_vol_20,parkinson_gk_ratio_20,mom_accel_5_20,mom_accel_20_100,ema_spread_atr_20,ret_autocorr_lag1_50,ret_autocorr_lag5_50,vwap_dev_20,vwap_dev_50,volume_mom_ratio_20,volume_cv_50,obv_slope_50,hl_range_ratio_20,close_pos_in_range_20,candle_efficiency_20,vol_transition_slope_20,vol_return_divergence_30,kurt_ratio_50_200,fracdiff_logclose_dstat,fracdiff_logvolume_dstat,fracdiff_d05_close,btc_ret_3d,btc_ret_7d,btc_ret_14d,btc_vol_14d,sym_vs_btc_ret_7d,regime_momentum_signed_5d,cross_asset_divergence_norm,vol_normalized_ret_5d,hurst_drift_50_200,funding_rate_zscore_30,btc_funding_rate_zscore_30,tbr_zscore_30,taker_buy_imbalance_20,taker_buy_zscore_50,vol_regime_x_momentum,trend_efficiency_signed,rsi_14,rsi_28,stoch_k_14,macd_hist_norm,cci_20,williams_r_14,adx_14,ret_1d,ret_3d,ret_5d,ret_20d,bb_pctb_20,sym_vs_btc_ret_3d,sym_vs_btc_vol_14d,candle_hour_sin,candle_hour_cos,candle_dow_sin,candle_dow_cos
hurst_100,1.0,0.3839383256565503,0.48918866610749157,0.10124194804661735,0.07352394952296197,0.01896024412767862,0.010701562897079929,0.1547760663155658,0.013588274540607103,0.007550642846482024,0.08074502428117912,0.015690876808957713,0.09438278308349689,0.0966808814351119,0.09427878709455449,0.09438278308349689,0.09553088554259095,0.00015911855995838853,0.021982164563346198,0.03347210939853503,0.04080638708474639,0.07299980263253761,0.010646956862560435,0.044157550006734575,0.06369793645835531,0.02415566956973935,0.018724230782174438,0.06611849206475154,0.009864618373551928,0.05257048837431343,0.04282004445800495,0.02691040808903867,0.032200568418019056,0.11996406861522992,0.10546985891803565,0.01324299114196364,0.0911485293277967,0.028287077373000968,0.001321244854860665,0.008142193578433956,0.0060451254239735465,0.010321677734455708,0.028446099637225532,0.021351111756138047,0.03953780283591262,0.1226096244477212,0.017409518105478344,0.01723160705691425,0.01805342047902295,0.053096535734442854,0.01818497982929878,0.03224499275650439,0.03599253866441724,0.04828680068365075,0.049726898522598886,0.037157609991716335,0.009726332687516544,0.04734537456467178,0.037157609991716335,0.03300679593047119,0.016306389847683657,0.019221686000117068,0.028446099637225532,0.037847261507135806,0.044934440721495196,0.00018130476184927184,0.13581934481059194,0.0018044299836784917,0.0014323825643633389,0.019287423229735187,0.02807309711217858
hurst_200,0.3839383256565503,1.0,0.12323634076488217,0.0172372722441875,0.009666420633408185,0.031052887535779113,0.059109871471713545,0.11149024340521274,0.01883649884365565,0.033252086560353625,0.04748139565374004,0.06924394648165555,0.0377773905814264,0.08086239612788158,0.05783407501452764,0.0377773905814264,0.060234004851921596,0.01173781716753019,0.01598135672644615,0.01802294328368356,0.08274585827032005,0.02101056983476698,0.07320870584268135,0.03895655003444427,0.06914797155570464,0.01800486328462907,0.05799792862417171,0.14928584051886387,0.039709481094320674,0.05011506316140282,0.07071741955213492,0.0023378354321120474,0.008875345774510567,0.007228656528633658,0.05481250408784911,0.02380663028643455,0.013213513098026203,0.033143879915646705,0.060657644304963045,0.0759534668794347,0.0774136437184788,0.007414094461011025,0.031369552100240346,0.02267471386705673,0.0382717634748416,0.29476592685617686,0.0010203016367090014,0.01727414380744412,0.03320543163035135,0.04759561734251497,0.031256190170025205,0.0031354466690974455,0.04802195522608179,0.055725540484086934,0.07616882330654151,0.032843703293211665,0.004645672394315029,0.028522996147002898,0.032843703293211665,0.046647089738167745,0.00375907327769459,0.0204232118293262,0.031369552100240346,0.05624979926940188,0.024051126665088268,0.019326875313137006,0.06327774581477076,0.0008960378686559599,0.0012474948773601598,0.00949740883445123,0.026705629161920624
hurst_diff_100_50,0.48918866610749157,0.12323634076488217,1.0,0.03862154430317539,0.020115513244785818,0.12398643493649203,0.04787305700832324,0.0798690518094748,0.020340480449258652,0.025190025024389842,0.016547182285832407,0.0056584635864214625,0.02492851451908211,0.030139159904299398,0.006047445645714484,0.02492851451908211,0.004004274516972821,0.02529630229038344,0.027666803794446252,0.01855492263841304,0.029037959721756292,0.06299124369378169,0.06235144783931749,0.016787295549878612,0.010906769452876788,0.05054971130364885,0.028189977386400347,0.07478447221087621,0.004977021089053378,0.0021018891037159764,0.04958908262895755,0.1382803313977283,0.01171732741452751,0.006878758992544017,0.016534911989789403,0.005936906581495884,0.022075596877874106,0.02659963188990628,0.055391358336587475,0.0016185772001395423,0.06960953821333977,0.01405700606590418,0.028647038143960763,0.06046670481613155,0.02601688824283125,0.8397381975123921,0.00919683005872829,0.004801412485193641,0.04236552407042947,0.03175652318009673,0.029432633290270432,0.01091683173217413,0.035115908909142644,0.025873082480063894,0.025709510998960645,0.010524214225148492,0.004048316993100141,0.01697530581575246,0.010524214225148492,0.0030437581205568,0.003033129050489254,0.006430738032800052,0.028647038143960763,0.027224681485068042,0.013812608812507888,0.023541414671523216,0.03431233920494233,0.00017764554258139554,0.002364773157960016,0.014584636192446446,0.043819120997775705
atr_pct_rank_200,0.10124194804661735,0.0172372722441875,0.03862154430317539,1.0,0.819937690593428,0.5064020696525988,0.23407014704416257,0.2301446703257883,0.2512657607433231,0.24078914198081902,0.13233763680771554,0.02308743167918699,0.446261629110885,0.09821705552896128,0.6383543355397003,0.446261629110885,0.6406222977116912,0.012954206173355623,0.1143760779382945,0.39519165475308604,0.3907413792406646,0.19819393431560375,0.18175657894221475,0.02944863144936262,0.19783792716905618,0.35205886853188834,0.4567967772146001,0.23653072156051796,0.07508699669995735,0.07247935427462812,0.08896320100892043,0.39105179775428744,0.027303847395189793,0.1063930184267663,0.2253670146372277,0.13672345537346478,0.2472387129129551,0.0020906056396432933,0.07067059217137982,0.16675069045240015,0.15023776826114493,0.054799459543709225,0.08114391192141451,0.020814942537618893,0.08992136799352407,0.012273600474500568,0.10219144614870382,0.07544732441805692,0.009132015722334083,0.1626454460808003,0.017040719484562462,0.044538448701253106,0.1270903911740391,0.15589733426365218,0.32018426381090875,0.04229611420601252,0.11679187888014714,0.06465287932328395,0.04229611420601252,0.3641721880562387,0.011597954178071638,0.03732656823825061,0.08114391192141451,0.3921878222709696,0.05095353812215433,0.010966992003821558,0.5317703428283119,0.0037410027408634667,0.0010462962810858245,0.045679117880331466,0.039684069006670306
atr_pct_rank_500,0.07352394952296197,0.009666420633408185,0.020115513244785818,0.819937690593428,1.0,0.34508454978565845,0.4473064757427765,0.1861316926226427,0.21826979705590935,0.3620828520640779,0.12656116788043859,0.10875132186405675,0.5282595126111247,0.03940044137624039,0.6274838469185484,0.5282595126111247,0.6362221881585862,0.08229190210962778,0.07932657335798733,0.3484431351606589,0.2973829801532629,0.1763442260402479,0.16982821616440716,0.01452127011285392,0.12932670685497694,0.18702998218176128,0.438090242452014,0.16010835160419465,0.02187156409901392,0.04801340804048227,0.03624048892594842,0.25676220065932404,0.007053378672549066,0.05138377731199493,0.3132979322618508,0.09767078276939846,0.3003333580525678,0.008510239788404338,0.06533664704694529,0.14575652352550242,0.12834661635908237,0.0030184441803620403,0.0635853452395901,0.03955691450542113,0.07039021686996708,0.06250793708447874,0.07149251717070543,0.08356144006014991,0.008932584640226815,0.1317227738763684,0.016752318014583788,0.041748758064325826,0.08961203063010736,0.11301876127456024,0.24755727969978736,0.02874398683533056,0.08372536035523244,0.05039426426412143,0.02874398683533056,0.2351768608643148,0.002059423601849699,0.036810272123674374,0.0635853452395901,0.3047948502258886,0.038041485153612664,0.02357023970609293,0.6158151039171307,0.0024828244725087715,0.0006302914905759656,0.028803451701932093,0.032711741010803284
bb_width_pct_rank_100,0.01896024412767862,0.031052887535779113,0.12398643493649203,0.5064020696525988,0.34508454978565845,1.0,0.005249078495901889,0.022615964914470328,0.03300903649212384,0.009819309293750899,0.12407399710508517,0.0335131576878036,0.11044418885330341,0.0308104446155292,0.42788656011064063,0.11044418885330341,0.3992440717190975,0.25052857187151734,0.031731832239852265,0.07923442845334182,0.11796566761120841,0.1368403005005284,0.05787356274154839,0.0035603892169358223,0.08014164648806754,0.6039951722086974,0.19195692441030174,0.13562557569361108,0.08214736077192389,0.05626465763570858,0.07232261904837434,0.6251424991908423,0.03366887510272315,0.08745943962673582,0.036258886846455896,0.10199639409692013,0.04220725108455374,0.05872235533366514,0.07240205175307304,0.005651828060219926,0.04609373905815371,0.09525101437603065,0.03158256254126076,0.10614846012892575,0.033132565258447745,0.10782170502908668,0.10128272704945251,0.035952109553979164,0.06665374755815234,0.01080534516494543,0.08389112168293555,0.0918831497754298,0.04707929835317111,0.05901156408365208,0.09328877686603522,0.058259733822920504,0.013308039506396366,0.04747170036647197,0.058259733822920504,0.5074803279272879,0.029481798274548766,0.041774910187862495,0.03158256254126076,0.12363915021296314,0.05010330734513822,0.057534896296173914,0.2473390328347551,0.0002434940792523841,0.0007526374295701427,0.03960747968691914,0.02707640082520492
cusum_reset_count_200,0.010701562897079929,0.059109871471713545,0.04787305700832324,0.23407014704416257,0.4473064757427765,0.005249078495901889,1.0,0.07214082649586497,0.16933801672646648,0.40097618149331143,0.09521692162469741,0.08300747773101258,0.45478596452707076,0.372894270757926,0.36268099959528494,0.45478596452707076,0.3596202433878203,0.028727386326511097,0.03274265247107653,0.08071070719042696,0.09452430605289747,0.001914054854556024,0.0005545378570703638,0.07886517372019859,0.1110699335084493,0.08525695923780484,0.14310749563794495,0.028793864962615295,0.04314673605186081,0.09853810621828658,0.09025118461453562,0.0213346931082908,0.0262062225846976,0.1493669840333001,0.11972145452589311,0.010282166819821111,0.06645126703589202,0.047334643430864264,0.08366553714594772,0.10255234189100533,0.2201184760283399,0.09105753044835908,0.0822970717655702,0.020086537563394243,0.0680949420471666,0.039568526037286625,0.025942273207196914,0.07876551184049477,0.0010034961629933564,0.050752411636673114,0.0008245294690660672,0.04896011407675356,0.08965508147246284,0.09849794627095543,0.09099358660076388,0.08021839979752349,0.02554719526150532,0.06906731911033327,0.08021839979752349,0.023127722139858378,0.03355903571528444,0.0638694081076385,0.0822970717655702,0.06627289005603376,0.07136810103268483,0.06907741566006233,0.3683358584894393,0.0016703145304172147,0.0008748622796063584,0.001932762100449667,0.019202606589304585
ret_skew_50,0.1547760663155658,0.11149024340521274,0.0798690518094748,0.2301446703257883,0.1861316926226427,0.022615964914470328,0.07214082649586497,1.0,0.6532485919321018,0.4428936915850516,0.020145361381379946,0.05081290708529394,0.03770174919234376,0.3004584174626955,0.014302907025207062,0.03770174919234376,0.013430796470592891,0.03541149605147295,0.11249068446879518,0.16223266934927313,0.44355901362617395,0.05709228073978166,0.07811739652638106,0.14919341977347375,0.3460320281888806,0.03079928239948916,0.19605663538189713,0.14261635717261428,0.04274032695603868,0.11860354455947128,0.0018552426834565032,0.021430847920202042,0.017608561243839964,0.016901366089169083,0.10960407169420443,0.07508062034366532,0.1888181895176572,0.12319426198288345,0.20641926253908985,0.31778541688358086,0.1674766368845339,0.13932257256420336,0.18420891053512936,0.06221372270534657,0.20135966728529747,0.04069777592963018,0.09131657018519578,0.11960674074857411,0.04797211028069706,0.07355322835026429,0.06764458345247691,0.12532196293037404,0.2196135391482406,0.29451114257212885,0.41741708093829916,0.08546205784314392,0.025469449719567473,0.16108195998110514,0.08546205784314392,0.10425922385241973,0.050560591515144096,0.12937640536976136,0.18420891053512936,0.4413441682510953,0.14094389760612505,0.054526886672641675,0.15167446478631177,0.0008782875146810003,0.0004284225435396246,0.01798390369217188,0.00729696267784032
ret_skew_100,0.013588274540607103,0.01883649884365565,0.020340480449258652,0.2512657607433231,0.21826979705590935,0.03300903649212384,0.16933801672646648,0.6532485919321018,1.0,0.6796210379537934,0.009060365707636225,0.05641159428375803,0.06003807323615806,0.3786800966949373,0.01191720302164404,0.06003807323615806,0.009176735379750747,0.01784815220456076,0.056203655250672065,0.3357563612968635,0.3190409473875096,0.0013284000230904536,0.035208531392148155,0.0812016353372678,0.1897966148868243,0.007285345521202818,0.17315895302794285,0.04678981952766436,0.03180840213608236,0.060890580563806765,0.024438679601229547,0.0036742670626524264,0.015004260814227567,0.031635219583197025,0.029334129457826114,0.0632691523383209,0.12603320487328842,0.08499852971212751,0.15066283223546487,0.22753801546804855,0.26009555828022934,0.06438657835924226,0.11413800843243571,0.039607373559065094,0.12505362049775628,0.02902098931602753,0.10461281737954443,0.07250276371427943,0.025170830362514066,0.04250338180576118,0.03793907328180032,0.12094419513475421,0.12598254853494978,0.18071178510026933,0.3039398051253328,0.03604377536898663,0.022933117355587614,0.08664845948168974,0.03604377536898663,0.06691009733245884,0.023211072302251796,0.07869444499068556,0.11413800843243571,0.3040551976619633,0.07714668176489584,0.025588626348563924,0.14057193805026835,0.0012068820674654523,0.001825446402784844,0.0032689281485542942,0.002323141585131705
ret_skew_200,0.007550642846482024,0.033252086560353625,0.025190025024389842,0.24078914198081902,0.3620828520640779,0.009819309293750899,0.40097618149331143,0.4428936915850516,0.6796210379537934,1.0,0.01679371686788903,0.05136416240811429,0.06277061658893981,0.1850877991657386,0.06356912932195416,0.06277061658893981,0.06582496975929687,0.05198699968721775,0.030215755891302352,0.1718679432167684,0.15771918919020197,0.02490819494351771,0.0034614021488361918,0.010166613426918315,0.07121384883468526,0.05902412369671428,0.2339251313701884,0.025737071675420414,0.007429009395408416,0.01636594197273608,0.07023780452915172,0.007631976332630156,0.0034738672692344996,0.003355651517920415,0.04051312041811351,0.07032654654445449,0.03713822011989471,0.011879091233917177,0.05030048211646612,0.09808015268719716,0.2538650662367489,0.055776499567707236,0.04602846105821907,0.013483749786889538,0.052178913975493506,0.006342050246140717,0.09251652922537011,0.037271293959169075,0.01588208053938886,0.158868306783048,0.01950466303884182,0.12302454543616291,0.04572884332433304,0.06807292144287541,0.14156441162964822,0.026009945916738372,0.019731247725964227,0.02229961768176289,0.026009945916738372,0.05304104454826459,0.0056057291354370134,0.025895707504927604,0.04602846105821907,0.14183243529065181,0.016332968563101916,0.025649553111219334,0.25257249301356655,0.001514034192648153,0.00014526889693106926,0.0018980312186151018,0.0008911668478449815
