feature_a,feature_b,abs_ic,a_carveout,b_carveout,a_category,b_category,carveout_applies
range_realized_vol_50,parkinson_vol_50,1.0,False,False,tail_risk,vol_estimator,False
stoch_k_14,williams_r_14,1.0,False,False,technical,technical,False
regime_momentum_signed_5d,ret_5d,1.0,True,False,engineered,returns,True
parkinson_vol_20,garman_klass_vol_20,0.9928676174264018,False,False,vol_estimator,vol_estimator,False
tbr_zscore_30,taker_buy_zscore_50,0.982071738458458,False,False,microstructure,microstructure,False
regime_momentum_signed_5d,vol_normalized_ret_5d,0.9808428115122586,True,True,engineered,engineered,True
vol_normalized_ret_5d,ret_5d,0.9808428115122586,True,False,engineered,returns,True
cci_20,bb_pctb_20,0.963789833709961,False,False,technical,technical,False
vwap_dev_20,bb_pctb_20,0.9591977974486838,False,False,volume_micro,technical,False
vwap_dev_20,cci_20,0.9424102892828434,False,False,volume_micro,technical,False
vwap_dev_20,close_pos_in_range_20,0.9389531988570837,False,False,volume_micro,volume_micro,False
vwap_dev_50,rsi_28,0.9364031327199238,False,False,volume_micro,technical,False
ema_spread_atr_20,rsi_28,0.9313757443896169,False,False,momentum,technical,False
vwap_dev_50,rsi_14,0.930546448965468,False,False,volume_micro,technical,False
close_pos_in_range_20,bb_pctb_20,0.9263601787466829,False,False,volume_micro,technical,False
rsi_14,rsi_28,0.926206854562482,False,False,technical,technical,False
fracdiff_logclose_dstat,fracdiff_d05_close,0.9195509155710005,False,False,fracdiff,fracdiff,False
close_pos_in_range_20,stoch_k_14,0.9109490062542815,False,False,volume_micro,technical,False
close_pos_in_range_20,williams_r_14,0.9109490062542815,False,False,volume_micro,technical,False
rsi_14,bb_pctb_20,0.908233228378749,False,False,technical,technical,False
vwap_dev_20,rsi_14,0.9060495595420953,False,False,volume_micro,technical,False
rsi_14,cci_20,0.902726751550263,False,False,technical,technical,False
close_pos_in_range_20,cci_20,0.898692803410888,False,False,volume_micro,technical,False
vwap_dev_20,vol_normalized_ret_5d,0.8926658511226003,False,True,volume_micro,engineered,True
vwap_dev_20,williams_r_14,0.8887343401045008,False,False,volume_micro,technical,False
vwap_dev_20,stoch_k_14,0.8887343401045008,False,False,volume_micro,technical,False
stoch_k_14,bb_pctb_20,0.884569940747229,False,False,technical,technical,False
williams_r_14,bb_pctb_20,0.884569940747229,False,False,technical,technical,False
vol_normalized_ret_5d,cci_20,0.8748900697244046,True,False,engineered,technical,True
vwap_dev_20,regime_momentum_signed_5d,0.8739577325297664,False,True,volume_micro,engineered,True
vwap_dev_20,ret_5d,0.8739577325297664,False,False,volume_micro,returns,False
trend_efficiency_signed,rsi_14,0.869606703803495,True,False,engineered,technical,True
ema_spread_atr_20,vwap_dev_50,0.8680391551034728,False,False,momentum,volume_micro,False
vol_normalized_ret_5d,rsi_14,0.8676826676128736,True,False,engineered,technical,True
vwap_dev_20,ret_3d,0.8630746031120814,False,False,volume_micro,returns,False
vol_normalized_ret_5d,bb_pctb_20,0.8612600265261955,True,False,engineered,technical,True
close_pos_in_range_20,rsi_14,0.8588219674187104,False,False,volume_micro,technical,False
regime_momentum_signed_5d,cci_20,0.8583398338439314,True,False,engineered,technical,True
cci_20,ret_5d,0.8583398338439314,False,False,technical,returns,False
candle_efficiency_20,trend_efficiency_signed,0.8574851739166709,False,True,microstructure,engineered,True
ret_3d,bb_pctb_20,0.8538209963156375,False,False,returns,technical,False
regime_momentum_signed_5d,rsi_14,0.8483351558735671,True,False,engineered,technical,True
rsi_14,ret_5d,0.8483351558735671,False,False,technical,returns,False
ret_5d,bb_pctb_20,0.8465352695561693,False,False,returns,technical,False
regime_momentum_signed_5d,bb_pctb_20,0.8465352695561693,True,False,engineered,technical,True
vwap_dev_20,macd_hist_norm,0.844684480770276,False,False,volume_micro,technical,False
ema_spread_atr_20,ret_20d,0.840757439760835,False,False,momentum,returns,False
cci_20,ret_3d,0.8404822425697624,False,False,technical,returns,False
cci_20,williams_r_14,0.8400465753968741,False,False,technical,technical,False
stoch_k_14,cci_20,0.8400465753968741,False,False,technical,technical,False
hurst_diff_100_50,hurst_drift_50_200,0.8397381975123921,False,True,regime,engineered,True
vwap_dev_50,trend_efficiency_signed,0.8352820450817627,False,True,volume_micro,engineered,True
vol_normalized_ret_5d,trend_efficiency_signed,0.8304605696493804,True,True,engineered,engineered,True
close_pos_in_range_20,vol_normalized_ret_5d,0.8283426298093213,False,True,volume_micro,engineered,True
atr_pct_rank_200,atr_pct_rank_500,0.819937690593428,False,False,regime,regime,False
macd_hist_norm,cci_20,0.819068411678696,False,False,technical,technical,False
range_realized_vol_50,garman_klass_vol_20,0.8160004182409842,False,False,tail_risk,vol_estimator,False
parkinson_vol_50,garman_klass_vol_20,0.8160004182409842,False,False,vol_estimator,vol_estimator,False
trend_efficiency_signed,ret_5d,0.8147350836114393,True,False,engineered,returns,True
regime_momentum_signed_5d,trend_efficiency_signed,0.8147350836114393,True,True,engineered,engineered,True
williams_r_14,ret_3d,0.813697494162009,False,False,technical,returns,False
stoch_k_14,ret_3d,0.813697494162009,False,False,technical,returns,False
close_pos_in_range_20,ret_5d,0.8125896266614177,False,False,volume_micro,returns,False
close_pos_in_range_20,regime_momentum_signed_5d,0.8125896266614177,False,True,volume_micro,engineered,True
macd_hist_norm,ret_3d,0.8117856942259843,False,False,technical,returns,False
range_realized_vol_50,parkinson_vol_20,0.8114868385554929,False,False,tail_risk,vol_estimator,False
parkinson_vol_20,parkinson_vol_50,0.8114868385554929,False,False,vol_estimator,vol_estimator,False
trend_efficiency_signed,rsi_28,0.8025916198038221,True,False,engineered,technical,True
macd_hist_norm,bb_pctb_20,0.8020422370807729,False,False,technical,technical,False
rsi_28,ret_20d,0.7922420286966237,False,False,technical,returns,False
trend_efficiency_signed,cci_20,0.7920041743056733,True,False,engineered,technical,True
close_pos_in_range_20,ret_3d,0.7894127647562612,False,False,volume_micro,returns,False
rsi_14,ret_3d,0.7890921442242154,False,False,technical,returns,False
vwap_dev_20,trend_efficiency_signed,0.7871748724082709,False,True,volume_micro,engineered,True
rsi_14,stoch_k_14,0.7817096283609549,False,False,technical,technical,False
rsi_14,williams_r_14,0.7817096283609549,False,False,technical,technical,False
trend_efficiency_signed,bb_pctb_20,0.7771979254610911,True,False,engineered,technical,True
vwap_dev_50,vol_normalized_ret_5d,0.7755734253778309,False,True,volume_micro,engineered,True
candle_efficiency_20,rsi_14,0.7691974146979803,False,False,microstructure,technical,False
ret_kurt_50,kurt_ratio_50_200,0.7684902065662917,False,False,tail_risk,microstructure,False
close_pos_in_range_20,trend_efficiency_signed,0.7650963086790487,False,True,volume_micro,engineered,True
ema_spread_atr_20,rsi_14,0.7627851828136272,False,False,momentum,technical,False
macd_hist_norm,williams_r_14,0.7578375296078568,False,False,technical,technical,False
stoch_k_14,macd_hist_norm,0.7578375296078568,False,False,technical,technical,False
vol_normalized_ret_5d,rsi_28,0.7577701762632743,True,False,engineered,technical,True
vwap_dev_50,cci_20,0.757648490800752,False,False,volume_micro,technical,False
vwap_dev_50,regime_momentum_signed_5d,0.757040522912014,False,True,volume_micro,engineered,True
vwap_dev_50,ret_5d,0.757040522912014,False,False,volume_micro,returns,False
close_pos_in_range_20,macd_hist_norm,0.7556667574159807,False,False,volume_micro,technical,False
vwap_dev_20,vwap_dev_50,0.7533019709750771,False,False,volume_micro,volume_micro,False
vol_normalized_ret_5d,macd_hist_norm,0.7479196112544878,True,False,engineered,technical,True
rsi_28,cci_20,0.7468717999637556,False,False,technical,technical,False
btc_ret_3d,ret_3d,0.7463864483056554,False,False,cross_asset,returns,False
vwap_dev_50,bb_pctb_20,0.7431077653457109,False,False,volume_micro,technical,False
hl_range_ratio_20,fracdiff_logvolume_dstat,0.7392827883224945,False,False,volume_micro,fracdiff,False
regime_momentum_signed_5d,rsi_28,0.7380046946094102,True,False,engineered,technical,True
rsi_28,ret_5d,0.7380046946094102,False,False,technical,returns,False
candle_efficiency_20,vol_normalized_ret_5d,0.7357607148061588,False,True,microstructure,engineered,True
rsi_28,bb_pctb_20,0.7345002920716158,False,False,technical,technical,False
btc_ret_7d,trend_efficiency_signed,0.7310183482751905,False,True,cross_asset,engineered,True
vwap_dev_20,rsi_28,0.7284834893930219,False,False,volume_micro,technical,False
candle_efficiency_20,regime_momentum_signed_5d,0.7275049011607739,False,True,microstructure,engineered,True
candle_efficiency_20,ret_5d,0.7275049011607739,False,False,microstructure,returns,False
macd_hist_norm,ret_5d,0.7270590154722268,False,False,technical,returns,False
regime_momentum_signed_5d,macd_hist_norm,0.7270590154722268,True,False,engineered,technical,True
vwap_dev_20,candle_efficiency_20,0.725344483870593,False,False,volume_micro,microstructure,False
vol_normalized_ret_5d,ret_3d,0.7252288826346176,True,False,engineered,returns,True
ret_3d,ret_5d,0.7246278800264588,False,False,returns,returns,False
regime_momentum_signed_5d,ret_3d,0.7246278800264588,True,False,engineered,returns,True
ema_spread_atr_20,btc_ret_14d,0.723600180683594,False,False,momentum,cross_asset,False
vwap_dev_50,candle_efficiency_20,0.7208635106633126,False,False,volume_micro,microstructure,False
close_pos_in_range_20,candle_efficiency_20,0.7151193094793908,False,False,volume_micro,microstructure,False
candle_efficiency_20,bb_pctb_20,0.7142166956248204,False,False,microstructure,technical,False
ema_spread_atr_20,trend_efficiency_signed,0.7140367711871441,False,True,momentum,engineered,True
vol_normalized_ret_5d,williams_r_14,0.7140261705973916,True,False,engineered,technical,True
vol_normalized_ret_5d,stoch_k_14,0.7140261705973916,True,False,engineered,technical,True
candle_efficiency_20,cci_20,0.7090636454567254,False,False,microstructure,technical,False
vwap_dev_50,close_pos_in_range_20,0.7086941104444587,False,False,volume_micro,volume_micro,False
btc_ret_14d,rsi_28,0.7003269573356495,False,False,cross_asset,technical,False
