feature,in_baseline_v3,category,source,present_in_pq,compute_status,rank_gain,gain
ret_skew_100,False,tail_risk,Conrad-Dittmar-Ghysels 2013,True,ready,1,2536.431989490986
obv_slope_50,False,volume_micro,Granville 1963 OBV; rolling slope,True,ready,2,1934.883514344692
btc_vol_14d,False,cross_asset,Liu-Tsyvinski 2021; BTC vol broadcast,True,ready,3,1885.181397497654
max_dd_window_50,True,tail_risk,Carver 2015 vol targeting / drawdown stats,True,ready,4,1883.9053893089292
cusum_reset_count_200,False,regime,Page 1954 CUSUM; LdP AFML Ch.17,True,ready,5,1882.3067343235016
ret_skew_200,True,tail_risk,Conrad-Dittmar-Ghysels 2013,True,ready,6,1800.3303862214088
ret_autocorr_lag1_50,True,momentum,Lo-MacKinlay 1988 variance ratio; rolling AC,True,ready,7,1771.2668735310435
ret_autocorr_lag5_50,False,momentum,Lo-MacKinlay 1988,True,ready,8,1522.615826129913
btc_ret_14d,True,cross_asset,Liu-Tsyvinski 2021,True,ready,9,1484.0073627829552
fracdiff_logclose_dstat,False,fracdiff,LdP AFML Ch.5 fractional diff; FracdiffStat auto-d*,True,ready,10,1458.1439044475555
ret_skew_50,True,tail_risk,Conrad-Dittmar-Ghysels 2013 (skew premium),True,ready,11,1452.0626024603844
ret_kurt_200,True,tail_risk,Cont 2001,True,ready,12,1382.248575925827
taker_buy_imbalance_20,False,microstructure,Hasbrouck 1991 trade-direction inference; Easley-O'Hara 1992 PIN,False,easy,13,1363.8174208402634
volume_cv_50,False,volume_micro,Karpoff 1987 volume dispersion,True,ready,14,1312.170443713665
hurst_200,False,regime,Hurst 1951,True,ready,15,1281.0782659053802
parkinson_gk_ratio_20,False,vol_estimator,Sinclair 2013 Volatility Trading; ratio diagnostic,True,ready,17,1139.9356163144112
sym_vs_btc_vol_14d,False,cross_asset,Liu-Tsyvinski 2021; vol divergence,False,easy,18,1107.7064239680767
range_realized_vol_50,True,tail_risk,Parkinson 1980; Andersen-Bollerslev 1998,True,ready,19,953.4872166663408
adx_14,False,technical,Wilder 1978 ADX trend strength,False,medium,20,889.2026088237762
volume_mom_ratio_20,False,volume_micro,Lee-Swaminathan 2000 volume turnover,True,ready,22,782.6239395737648
bb_width_pct_rank_100,False,regime,Bollinger 1992; %B width as squeeze indicator,True,ready,23,774.3764803409576
vol_transition_slope_20,False,microstructure,v2 microstructure suite; Parkinson slope,True,ready,24,772.5553129911423
btc_ret_7d,False,cross_asset,Liu-Tsyvinski 2021,True,ready,25,757.7593539357185
atr_pct_rank_500,False,regime,Wilder 1978 ATR,True,ready,26,740.5364097356796
ret_kurt_50,True,tail_risk,Cont 2001 stylized facts on fat tails,True,ready,27,713.229942381382
ema_spread_atr_20,True,momentum,Appel 1979 EMA; Wilder ATR normalization (Carver),True,ready,29,692.4993276596069
hurst_100,True,regime,Hurst 1951; LdP AFML Ch.5,True,ready,30,621.8081095218658
btc_ret_3d,False,cross_asset,Liu-Tsyvinski 2021 cross-asset crypto factors,True,ready,31,593.2131098806858
sym_vs_btc_ret_7d,True,cross_asset,Asness 1995 cross-sectional momentum,True,ready,32,555.9259104728699
hurst_drift_50_200,False,engineered,iter-v3/053; Hurst differencing,True,ready,34,520.8973361551762
hurst_diff_100_50,True,regime,Cajueiro & Tabak 2005 RS literature,True,ready,35,509.1986103057861
trend_efficiency_signed,False,engineered,Kaufman 1995 ER; signed for direction,False,medium,36,487.3944588303566
mom_accel_20_100,False,momentum,Carver 2019,True,ready,39,425.7769614458084
vol_regime_x_momentum,False,engineered,Asness-Moskowitz 2013 momentum × vol regime,False,easy,40,406.13819766044617
btc_funding_rate_zscore_30,False,funding,BIS WP 1087 2025 cross-asset funding stress,True,ready,41,402.1584106683731
funding_rate_zscore_30,False,funding,Ackerer-Hugonnier-Jermann 2024 perp futures; BIS WP 1087 2025,True,ready,42,394.5593993663788
cross_asset_divergence_norm,False,engineered,iter-v3/027 composed; Asness 1995 relative strength,True,ready,44,373.5563875436783
mom_accel_5_20,False,momentum,Carver 2019 leveraged trading; speed/accel decomposition,True,ready,51,186.9311604499817
sym_vs_btc_ret_3d,False,cross_asset,Asness 1995,False,easy,52,179.82515144348145
vwap_dev_20,True,volume_micro,Bertsimas-Lo 1998 execution; VWAP deviation as flow,True,ready,53,154.77488136291504
candle_dow_sin,False,calendar,Day-of-week effect; Heston-Sadka 2008 weekly cycle,False,easy,57,117.05322998762132
fracdiff_logvolume_dstat,False,fracdiff,LdP AFML Ch.5,True,ready,58,114.57795441150664
ret_1d,False,returns,Cont 2001 stylized facts; basic momentum,False,easy,59,108.9360203742981
vol_normalized_ret_5d,False,engineered,iter-v3/048; Sinclair 2013 risk-norm return,True,ready,60,100.509370803833
tbr_zscore_30,False,microstructure,Brogaard et al. 2014 toxic flow; Hasbrouck 1991 trade direction,True,ready,61,95.64536714553832
regime_momentum_signed_5d,True,engineered,iter-v3/025 EXPLORATION; LdP composed-feature methodology,True,ready,63,86.72792100906372
vol_return_divergence_30,False,microstructure,Karpoff 1987; volume-return z-divergence,True,ready,67,46.07350027561188
candle_dow_cos,False,calendar,Heston-Sadka 2008,False,easy,69,32.74807071685791
