metric,value,source
monthly_sharpe_in_sample,0.8325,reports-v3/iteration_v3-060/comparison.csv:2
monthly_sharpe_out_of_sample,0.1403,reports-v3/iteration_v3-060/comparison.csv:2
n_trades_in_sample,159.0,reports-v3/iteration_v3-060/comparison.csv:7
n_trades_out_of_sample,102.0,reports-v3/iteration_v3-060/comparison.csv:7
weighted_pnl_total_in_sample,51.8906,reports-v3/iteration_v3-060/comparison.csv:10
weighted_pnl_total_out_of_sample,5.4989,reports-v3/iteration_v3-060/comparison.csv:10
BCH_OOS_weighted_pnl,1.9078,reports-v3/iteration_v3-060/comparison.csv:18
LDO_OOS_weighted_pnl,-19.7208,reports-v3/iteration_v3-060/comparison.csv:19
TRX_OOS_weighted_pnl,23.3119,reports-v3/iteration_v3-060/comparison.csv:20
frac_positive_paths_cpcv,0.6444,BASELINE_V3.md Headline Metrics
