path,K_candles,K_minutes,sample,n_orig_trades,n_resolved_within_K,n_truncated_to_timeout_at_K,pct_truncated,n_TP_within,n_SL_within,n_TIMEOUT_within,n_EOD_within
Path_A (timeout=7),7,3360,in_sample,159,114,45,28.30%,31,83,0,0
Path_A (timeout=7),7,3360,out_of_sample,102,69,33,32.35%,25,43,0,1
Path_B (timeout=14),14,6720,in_sample,159,140,19,11.95%,46,94,0,0
Path_B (timeout=14),14,6720,out_of_sample,102,92,10,9.80%,36,55,0,1
Path_C (timeout=42),42,20160,in_sample,159,159,0,0.00%,49,101,9,0
Path_C (timeout=42),42,20160,out_of_sample,102,102,0,0.00%,39,59,3,1
Path_D (timeout=63),63,30240,in_sample,159,159,0,0.00%,49,101,9,0
Path_D (timeout=63),63,30240,out_of_sample,102,102,0,0.00%,39,59,3,1
ANCHOR (timeout=21),21,10080,in_sample,159,159,0,0.00%,49,101,9,0
ANCHOR (timeout=21),21,10080,out_of_sample,102,102,0,0.00%,39,59,3,1
