feature,max_abs_corr,corr_portfolio_pooled,conditionally_regime_loaded,ceiling
btc_ret_14d,0.4803,0.3591,True,0.35
hurst_diff_100_50,0.4416,0.2798,True,0.35
max_dd_window_50,0.4339,-0.0757,True,0.35
range_realized_vol_50,0.3704,-0.1737,True,0.35
ret_skew_200,0.3319,-0.2362,False,0.35
ret_kurt_50,0.3132,-0.1372,False,0.35
ret_skew_50,0.2851,0.12,False,0.35
ret_autocorr_lag1_50,0.2749,-0.0116,False,0.35
sym_vs_btc_ret_7d,0.2651,0.1972,False,0.35
hurst_100,0.2118,-0.1349,False,0.35
regime_momentum_signed_5d,0.2092,0.0582,False,0.35
ret_kurt_200,0.1996,-0.0221,False,0.35
ema_spread_atr_20,0.1974,0.0772,False,0.35
vwap_dev_20,0.1538,-0.06,False,0.35
