pair,price_return_corr,strategy_monthly_pnl_corr,abs_gap
BCHUSDT|LDOUSDT,0.4779,-0.5921,-0.1142
BCHUSDT|TRXUSDT,0.5976,-0.2739,0.3237
BCHUSDT|ATOMUSDT,0.6167,0.0022,0.6145
BCHUSDT|ALGOUSDT,0.5937,-0.0405,0.5532
BCHUSDT|ETCUSDT,0.7461,0.0343,0.7118
BCHUSDT|XLMUSDT,0.639,0.2819,0.357
BCHUSDT|EOSUSDT,0.7534,0.1862,0.5672
BCHUSDT|VETUSDT,0.6816,-0.1268,0.5548
BCHUSDT|XTZUSDT,0.6767,0.0989,0.5778
BCHUSDT|AAVEUSDT,0.6062,0.0869,0.5193
BCHUSDT|UNIUSDT,0.6023,0.3288,0.2736
BCHUSDT|CRVUSDT,0.5605,-0.2559,0.3046
BCHUSDT|FTMUSDT,0.5307,0.0901,0.4407
BCHUSDT|RUNEUSDT,0.5713,-0.0373,0.5339
BCHUSDT|SANDUSDT,0.5464,-0.3299,0.2165
BCHUSDT|GALAUSDT,0.5337,0.4501,0.0836
BCHUSDT|MANAUSDT,0.5911,0.1013,0.4898
BCHUSDT|THETAUSDT,0.5939,0.1544,0.4395
LDOUSDT|TRXUSDT,0.3336,0.5248,-0.1911
LDOUSDT|ATOMUSDT,0.5999,-0.6014,-0.0014
LDOUSDT|ALGOUSDT,0.5663,0.6587,-0.0924
LDOUSDT|ETCUSDT,0.629,0.1424,0.4865
LDOUSDT|XLMUSDT,0.4733,-0.2281,0.2452
LDOUSDT|EOSUSDT,0.5562,0.3963,0.1599
LDOUSDT|VETUSDT,0.5648,0.2121,0.3527
LDOUSDT|XTZUSDT,0.5608,-0.4612,0.0997
LDOUSDT|AAVEUSDT,0.6152,-0.4229,0.1923
LDOUSDT|UNIUSDT,0.5862,0.5104,0.0757
LDOUSDT|CRVUSDT,0.5716,0.4062,0.1653
LDOUSDT|FTMUSDT,0.496,,
LDOUSDT|RUNEUSDT,0.5105,0.1296,0.3809
LDOUSDT|SANDUSDT,0.5902,0.4768,0.1134
LDOUSDT|GALAUSDT,0.5708,0.1532,0.4176
LDOUSDT|MANAUSDT,0.5861,0.2318,0.3543
LDOUSDT|THETAUSDT,0.5488,-0.2826,0.2661
TRXUSDT|ATOMUSDT,0.553,-0.4388,0.1141
TRXUSDT|ALGOUSDT,0.5192,-0.0095,0.5098
TRXUSDT|ETCUSDT,0.5945,0.0766,0.518
TRXUSDT|XLMUSDT,0.5848,0.0682,0.5166
TRXUSDT|EOSUSDT,0.6524,-0.1209,0.5315
TRXUSDT|VETUSDT,0.6333,0.0127,0.6206
TRXUSDT|XTZUSDT,0.6103,-0.0721,0.5382
TRXUSDT|AAVEUSDT,0.5214,-0.1559,0.3655
TRXUSDT|UNIUSDT,0.5214,0.1603,0.3611
TRXUSDT|CRVUSDT,0.4936,-0.2368,0.2568
TRXUSDT|FTMUSDT,0.4704,-0.2365,0.2339
TRXUSDT|RUNEUSDT,0.4777,0.0963,0.3814
TRXUSDT|SANDUSDT,0.4705,-0.0429,0.4276
TRXUSDT|GALAUSDT,0.4321,-0.2066,0.2255
TRXUSDT|MANAUSDT,0.5097,-0.1843,0.3254
TRXUSDT|THETAUSDT,0.5017,0.2182,0.2835
ATOMUSDT|ALGOUSDT,0.6788,-0.038,0.6408
ATOMUSDT|ETCUSDT,0.6373,0.2197,0.4176
ATOMUSDT|XLMUSDT,0.6262,0.1564,0.4697
ATOMUSDT|EOSUSDT,0.665,-0.0813,0.5837
ATOMUSDT|VETUSDT,0.6799,0.2579,0.422
ATOMUSDT|XTZUSDT,0.7035,0.2024,0.5011
ATOMUSDT|AAVEUSDT,0.6353,0.0372,0.598
ATOMUSDT|UNIUSDT,0.6312,0.0999,0.5313
ATOMUSDT|CRVUSDT,0.6292,-0.1891,0.4402
ATOMUSDT|FTMUSDT,0.5796,0.3917,0.1879
ATOMUSDT|RUNEUSDT,0.5956,0.1481,0.4475
ATOMUSDT|SANDUSDT,0.5815,-0.2063,0.3752
ATOMUSDT|GALAUSDT,0.6145,-0.6489,-0.0343
ATOMUSDT|MANAUSDT,0.6387,-0.2368,0.4019
ATOMUSDT|THETAUSDT,0.6213,0.0113,0.6099
ALGOUSDT|ETCUSDT,0.6063,0.2382,0.3681
ALGOUSDT|XLMUSDT,0.6472,0.2822,0.365
ALGOUSDT|EOSUSDT,0.6586,0.2771,0.3815
ALGOUSDT|VETUSDT,0.6926,0.068,0.6246
ALGOUSDT|XTZUSDT,0.6934,-0.1124,0.581
ALGOUSDT|AAVEUSDT,0.6343,-0.3451,0.2892
ALGOUSDT|UNIUSDT,0.6178,-0.2097,0.4081
ALGOUSDT|CRVUSDT,0.6305,0.1025,0.528
ALGOUSDT|FTMUSDT,0.5912,-0.1047,0.4865
ALGOUSDT|RUNEUSDT,0.5978,0.0288,0.569
ALGOUSDT|SANDUSDT,0.6026,0.4242,0.1783
ALGOUSDT|GALAUSDT,0.6238,0.1442,0.4795
ALGOUSDT|MANAUSDT,0.6614,0.3985,0.2628
ALGOUSDT|THETAUSDT,0.6498,0.148,0.5018
ETCUSDT|XLMUSDT,0.6337,0.3511,0.2826
ETCUSDT|EOSUSDT,0.7447,-0.0444,0.7003
ETCUSDT|VETUSDT,0.6781,0.3607,0.3174
ETCUSDT|XTZUSDT,0.68,0.6917,-0.0117
ETCUSDT|AAVEUSDT,0.6363,-0.0364,0.5999
ETCUSDT|UNIUSDT,0.6266,0.0063,0.6203
ETCUSDT|CRVUSDT,0.6056,0.0631,0.5425
ETCUSDT|FTMUSDT,0.5328,0.0048,0.528
ETCUSDT|RUNEUSDT,0.5839,0.0415,0.5424
ETCUSDT|SANDUSDT,0.5667,-0.1867,0.38
ETCUSDT|GALAUSDT,0.6054,0.0008,0.6046
ETCUSDT|MANAUSDT,0.6239,0.0888,0.5352
ETCUSDT|THETAUSDT,0.6152,0.2407,0.3745
XLMUSDT|EOSUSDT,0.6999,0.3549,0.345
XLMUSDT|VETUSDT,0.6832,0.0851,0.5981
XLMUSDT|XTZUSDT,0.6732,0.3433,0.3299
XLMUSDT|AAVEUSDT,0.5723,0.0233,0.549
XLMUSDT|UNIUSDT,0.5687,0.2741,0.2946
XLMUSDT|CRVUSDT,0.5575,-0.1372,0.4203
XLMUSDT|FTMUSDT,0.5307,0.183,0.3477
XLMUSDT|RUNEUSDT,0.5298,-0.1169,0.4129
XLMUSDT|SANDUSDT,0.5782,-0.2174,0.3608
XLMUSDT|GALAUSDT,0.5566,-0.0636,0.493
XLMUSDT|MANAUSDT,0.6403,0.1031,0.5373
XLMUSDT|THETAUSDT,0.5763,0.3456,0.2308
EOSUSDT|VETUSDT,0.7174,-0.1956,0.5218
EOSUSDT|XTZUSDT,0.741,-0.113,0.628
EOSUSDT|AAVEUSDT,0.6297,-0.1438,0.486
EOSUSDT|UNIUSDT,0.6224,0.0047,0.6177
EOSUSDT|CRVUSDT,0.6137,0.2016,0.412
EOSUSDT|FTMUSDT,0.5558,0.0585,0.4973
EOSUSDT|RUNEUSDT,0.5861,-0.1651,0.4211
EOSUSDT|SANDUSDT,0.5965,0.0911,0.5054
EOSUSDT|GALAUSDT,0.6145,0.2404,0.3741
EOSUSDT|MANAUSDT,0.6528,0.5506,0.1022
EOSUSDT|THETAUSDT,0.6273,0.1617,0.4657
VETUSDT|XTZUSDT,0.7235,0.1392,0.5843
VETUSDT|AAVEUSDT,0.6619,0.1394,0.5225
VETUSDT|UNIUSDT,0.6506,-0.0098,0.6408
VETUSDT|CRVUSDT,0.6205,0.1212,0.4992
VETUSDT|FTMUSDT,0.609,0.0633,0.5458
VETUSDT|RUNEUSDT,0.6492,0.122,0.5271
VETUSDT|SANDUSDT,0.6207,0.4021,0.2186
VETUSDT|GALAUSDT,0.6558,0.0939,0.5618
VETUSDT|MANAUSDT,0.6886,0.31,0.3786
VETUSDT|THETAUSDT,0.6619,0.2008,0.4611
XTZUSDT|AAVEUSDT,0.6445,0.0998,0.5447
XTZUSDT|UNIUSDT,0.6323,0.1302,0.5021
XTZUSDT|CRVUSDT,0.6368,-0.1594,0.4774
XTZUSDT|FTMUSDT,0.5795,0.129,0.4505
XTZUSDT|RUNEUSDT,0.6071,0.3584,0.2487
XTZUSDT|SANDUSDT,0.6107,-0.335,0.2758
XTZUSDT|GALAUSDT,0.6217,0.0324,0.5894
XTZUSDT|MANAUSDT,0.6659,-0.2097,0.4561
XTZUSDT|THETAUSDT,0.6617,0.0722,0.5895
AAVEUSDT|UNIUSDT,0.7487,0.2331,0.5156
AAVEUSDT|CRVUSDT,0.6706,0.0613,0.6093
AAVEUSDT|FTMUSDT,0.5818,-0.067,0.5148
