symbol,is_rows_total,is_rows_post_60d_burnin,is_first_date_ms,is_median_quote_vol_usd,is_min_quote_vol_usd,passes_screen
ADAUSDT,5636,5456,1580457600000,92831794.0,6775878.0,True
AVAXUSDT,4929,4749,1600819200000,78236950.0,7934551.0,True
FILUSDT,4845,4665,1602806400000,50591018.0,12658932.0,True
FTMUSDT,4911,4731,1600905600000,46600718.0,500255.0,True
BCHUSDT,5727,5547,1577836800000,43513686.0,13317162.0,True
GALAUSDT,3849,3669,1631923200000,42155517.0,11448466.0,True
EOSUSDT,5705,5525,1578470400000,35930024.0,7161222.0,True
CRVUSDT,4995,4815,1598918400000,32613746.0,9511584.0,True
AAVEUSDT,4860,4680,1602806400000,31982212.0,6446175.0,True
SANDUSDT,4542,4362,1611532800000,29524255.0,5908121.0,True
ATOMUSDT,5615,5435,1581062400000,28508539.0,2246945.0,True
LDOUSDT,2741,2561,1663833600000,25495991.0,3892966.0,True
AXSUSDT,4755,4575,1605830400000,23427057.0,3577627.0,True
TRXUSDT,5669,5489,1579075200000,21608292.0,3771731.0,True
RUNEUSDT,4986,4806,1599177600000,21459439.0,3111166.0,True
MANAUSDT,4395,4215,1615766400000,16384196.0,3970460.0,True
ICPUSDT,4161,3981,1620691200000,15843154.0,0.0,True
ALGOUSDT,5225,5045,1592294400000,14706250.0,3124202.0,True
GRTUSDT,4653,4473,1608336000000,14693182.0,4123807.0,True
THETAUSDT,5285,5105,1590566400000,13876824.0,3118793.0,True
VETUSDT,5579,5399,1581667200000,10704283.0,1804882.0,True
HBARUSDT,4389,4209,1615939200000,9328593.0,3115326.0,True
