kept_feature,anchor_feature,mean_xs_rank_corr
cand_semidev_50,range_realized_vol_50,0.8014
cand_semidev_50,ret_skew_50,-0.0024
cand_semidev_50,ret_skew_200,0.1539
cand_semidev_50,ret_kurt_50,0.0486
cand_semidev_50,ret_kurt_200,-0.1062
cand_semidev_50,max_dd_window_50,-0.5804
cand_sortino_mom_12,range_realized_vol_50,0.0533
cand_sortino_mom_12,ret_skew_50,0.1016
cand_sortino_mom_12,ret_skew_200,0.0469
cand_sortino_mom_12,ret_kurt_50,-0.0041
cand_sortino_mom_12,ret_kurt_200,-0.0048
cand_sortino_mom_12,max_dd_window_50,0.0872
cand_downbeta_50,range_realized_vol_50,0.1928
cand_downbeta_50,ret_skew_50,-0.0199
cand_downbeta_50,ret_skew_200,0.012
cand_downbeta_50,ret_kurt_50,0.0362
cand_downbeta_50,ret_kurt_200,-0.0204
cand_downbeta_50,max_dd_window_50,-0.183
