feature,is_rank_ic,sign
max_dd_window_50,0.02779,1.0
ema_spread_atr_20,-0.03345,-1.0
ret_kurt_50,-0.00379,-1.0
ret_skew_200,-0.0283,-1.0
range_realized_vol_50,-0.06069,-1.0
hurst_diff_100_50,-0.00241,-1.0
ret_kurt_200,-0.00484,-1.0
hurst_100,0.00256,1.0
ret_skew_50,-0.02042,-1.0
vwap_dev_20,-0.03034,-1.0
ret_autocorr_lag1_50,-0.00685,-1.0
sym_vs_btc_ret_7d,-0.03957,-1.0
regime_momentum_signed_5d,-0.04015,-1.0
cand_ivol_50,-0.05847,-1.0
cand_totalvol_50,-0.05815,-1.0
cand_semidev_50,-0.04643,-1.0
cand_downbeta_50,-0.00451,-1.0
cand_maxdd_50,0.02593,1.0
cand_sortino_mom_12,-0.04315,-1.0
cand_amihud_20,0.01636,1.0
cand_logdollarvol_20,-0.03923,-1.0
cand_hlrange_20,-0.06695,-1.0
