universe,symbol,feature,horizon_bars,ic,n_obs
core,BCHUSDT,f_rate,3,-0.03945,3535
core,BCHUSDT,f_rate,9,-0.06344,3535
core,BCHUSDT,f_rate,21,-0.0835,3535
core,BCHUSDT,f_zscore_30,3,-0.00873,3535
core,BCHUSDT,f_zscore_30,9,-0.00806,3535
core,BCHUSDT,f_zscore_30,21,-0.00182,3535
core,BCHUSDT,f_sign_persist_9,3,-0.04252,3535
core,BCHUSDT,f_sign_persist_9,9,-0.08725,3535
core,BCHUSDT,f_sign_persist_9,21,-0.09861,3535
core,BCHUSDT,f_mom_3,3,-0.00438,3535
core,BCHUSDT,f_mom_3,9,0.00503,3535
core,BCHUSDT,f_mom_3,21,-0.00773,3535
core,BCHUSDT,f_mom_9,3,0.01356,3535
core,BCHUSDT,f_mom_9,9,-0.00201,3535
core,BCHUSDT,f_mom_9,21,-0.00976,3535
core,BCHUSDT,f_accel_3,3,-0.0194,3535
core,BCHUSDT,f_accel_3,9,-0.00537,3535
core,BCHUSDT,f_accel_3,21,-0.00148,3535
core,BCHUSDT,f_extreme_persist_9,3,0.03183,3535
core,BCHUSDT,f_extreme_persist_9,9,0.03133,3535
core,BCHUSDT,f_extreme_persist_9,21,-0.0347,3535
core,BCHUSDT,b_level,3,-0.00905,3535
core,BCHUSDT,b_level,9,0.00414,3535
core,BCHUSDT,b_level,21,-0.00028,3535
core,BCHUSDT,b_zscore_30,3,0.00012,3535
core,BCHUSDT,b_zscore_30,9,0.01263,3535
core,BCHUSDT,b_zscore_30,21,0.01707,3535
core,BCHUSDT,b_momentum_3,3,0.01189,3535
core,BCHUSDT,b_momentum_3,9,0.01497,3535
core,BCHUSDT,b_momentum_3,21,5e-05,3535
core,BCHUSDT,fb_spread_z,3,-0.01018,3535
core,BCHUSDT,fb_spread_z,9,-0.00839,3535
core,BCHUSDT,fb_spread_z,21,-0.0069,3535
core,BCHUSDT,proxy_taker_imb,3,-0.00554,3535
core,BCHUSDT,proxy_taker_imb,9,0.01994,3535
core,BCHUSDT,proxy_taker_imb,21,0.02022,3535
core,BCHUSDT,proxy_vol_surge_z,3,0.02432,3535
core,BCHUSDT,proxy_vol_surge_z,9,0.06958,3535
core,BCHUSDT,proxy_vol_surge_z,21,0.05296,3535
core,LDOUSDT,f_rate,3,-0.00795,549
core,LDOUSDT,f_rate,9,0.03049,549
core,LDOUSDT,f_rate,21,0.19839,549
core,LDOUSDT,f_zscore_30,3,-0.00421,549
core,LDOUSDT,f_zscore_30,9,-0.02134,549
core,LDOUSDT,f_zscore_30,21,0.05122,549
core,LDOUSDT,f_sign_persist_9,3,-0.02206,549
core,LDOUSDT,f_sign_persist_9,9,0.12926,549
core,LDOUSDT,f_sign_persist_9,21,0.2137,549
core,LDOUSDT,f_mom_3,3,0.02256,549
core,LDOUSDT,f_mom_3,9,-0.0185,549
core,LDOUSDT,f_mom_3,21,-0.01366,549
core,LDOUSDT,f_mom_9,3,-0.02776,549
core,LDOUSDT,f_mom_9,9,-0.09609,549
