universe,symbol,feature,horizon_bars,regime_ic,stress_minus_calm_effsize,n_obs
core,BCHUSDT,f_rate,3,0.07684,0.1192,3535
core,BCHUSDT,f_zscore_30,3,-0.01106,-0.0134,3535
core,BCHUSDT,f_sign_persist_9,3,0.09175,0.2368,3535
core,BCHUSDT,f_mom_3,3,0.00506,0.0076,3535
core,BCHUSDT,f_mom_9,3,-0.00059,-0.0365,3535
core,BCHUSDT,f_accel_3,3,0.01439,0.0581,3535
core,BCHUSDT,f_extreme_persist_9,3,0.08622,0.0385,3535
core,BCHUSDT,b_level,3,0.02782,0.1195,3535
core,BCHUSDT,b_zscore_30,3,-0.00981,-0.0413,3535
core,BCHUSDT,b_momentum_3,3,-0.00159,-0.0162,3535
core,BCHUSDT,fb_spread_z,3,0.01321,0.0163,3535
core,BCHUSDT,proxy_taker_imb,3,0.0172,0.0323,3535
core,BCHUSDT,proxy_vol_surge_z,3,0.08909,0.2265,3535
core,BCHUSDT,f_rate,9,0.14003,0.2788,3535
core,BCHUSDT,f_zscore_30,9,-0.01436,-0.0449,3535
core,BCHUSDT,f_sign_persist_9,9,0.17238,0.438,3535
core,BCHUSDT,f_mom_3,9,0.00517,0.0199,3535
core,BCHUSDT,f_mom_9,9,-0.01304,-0.0107,3535
core,BCHUSDT,f_accel_3,9,0.01113,0.0075,3535
core,BCHUSDT,f_extreme_persist_9,9,0.09799,0.156,3535
core,BCHUSDT,b_level,9,0.0812,0.2645,3535
core,BCHUSDT,b_zscore_30,9,0.00291,-0.0145,3535
core,BCHUSDT,b_momentum_3,9,-0.01726,-0.0241,3535
core,BCHUSDT,fb_spread_z,9,-0.00781,-0.0332,3535
core,BCHUSDT,proxy_taker_imb,9,0.05038,0.1068,3535
core,BCHUSDT,proxy_vol_surge_z,9,0.08703,0.1983,3535
core,BCHUSDT,f_rate,21,0.2128,0.3975,3535
core,BCHUSDT,f_zscore_30,21,-0.04887,-0.0552,3535
core,BCHUSDT,f_sign_persist_9,21,0.25761,0.6396,3535
core,BCHUSDT,f_mom_3,21,0.00819,-0.0332,3535
core,BCHUSDT,f_mom_9,21,-0.01806,-0.0837,3535
core,BCHUSDT,f_accel_3,21,0.01174,-0.0007,3535
core,BCHUSDT,f_extreme_persist_9,21,-0.00202,0.1214,3535
core,BCHUSDT,b_level,21,0.13502,0.4162,3535
core,BCHUSDT,b_zscore_30,21,0.02472,0.0483,3535
core,BCHUSDT,b_momentum_3,21,0.00878,0.0144,3535
core,BCHUSDT,fb_spread_z,21,-0.04728,-0.0877,3535
core,BCHUSDT,proxy_taker_imb,21,0.0127,0.0221,3535
core,BCHUSDT,proxy_vol_surge_z,21,0.05697,0.1148,3535
core,LDOUSDT,f_rate,3,0.08981,0.1999,549
core,LDOUSDT,f_zscore_30,3,0.07385,0.0335,549
core,LDOUSDT,f_sign_persist_9,3,0.00679,-0.0872,549
core,LDOUSDT,f_mom_3,3,0.00218,-0.0618,549
core,LDOUSDT,f_mom_9,3,0.01947,-0.0895,549
core,LDOUSDT,f_accel_3,3,-0.01433,-0.1052,549
core,LDOUSDT,f_extreme_persist_9,3,0.06373,-0.3915,549
core,LDOUSDT,b_level,3,0.02643,0.1076,549
core,LDOUSDT,b_zscore_30,3,-0.02763,-0.0625,549
core,LDOUSDT,b_momentum_3,3,-0.02849,-0.0792,549
core,LDOUSDT,fb_spread_z,3,0.0576,0.0717,549
core,LDOUSDT,proxy_taker_imb,3,-0.07273,-0.1395,549
core,LDOUSDT,proxy_vol_surge_z,3,0.05212,0.0921,549
core,LDOUSDT,f_rate,9,0.05521,0.2724,549
core,LDOUSDT,f_zscore_30,9,0.04602,0.0474,549
core,LDOUSDT,f_sign_persist_9,9,-0.07095,-0.2017,549
core,LDOUSDT,f_mom_3,9,-0.01222,0.0365,549
core,LDOUSDT,f_mom_9,9,-0.01092,0.041,549
core,LDOUSDT,f_accel_3,9,-0.01008,0.0209,549
core,LDOUSDT,f_extreme_persist_9,9,0.25637,-0.4114,549
core,LDOUSDT,b_level,9,-0.00453,0.0475,549
core,LDOUSDT,b_zscore_30,9,-0.08765,-0.1972,549
core,LDOUSDT,b_momentum_3,9,-0.03557,-0.0641,549
core,LDOUSDT,fb_spread_z,9,0.07905,0.1702,549
core,LDOUSDT,proxy_taker_imb,9,0.01899,0.0002,549
core,LDOUSDT,proxy_vol_surge_z,9,-0.00805,0.0672,549
core,LDOUSDT,f_rate,21,0.25604,0.5573,549
core,LDOUSDT,f_zscore_30,21,0.0028,-0.0742,549
core,LDOUSDT,f_sign_persist_9,21,0.1519,0.3053,549
core,LDOUSDT,f_mom_3,21,0.00657,-0.0154,549
core,LDOUSDT,f_mom_9,21,0.04085,0.0245,549
core,LDOUSDT,f_accel_3,21,-0.0142,-0.0152,549
core,LDOUSDT,f_extreme_persist_9,21,0.10173,-0.2787,549
core,LDOUSDT,b_level,21,0.18336,0.4897,549
core,LDOUSDT,b_zscore_30,21,-0.06153,-0.1908,549
core,LDOUSDT,b_momentum_3,21,0.00238,-0.0217,549
core,LDOUSDT,fb_spread_z,21,0.04448,0.0497,549
core,LDOUSDT,proxy_taker_imb,21,0.02148,0.0164,549
core,LDOUSDT,proxy_vol_surge_z,21,0.06122,0.0975,549
core,TRXUSDT,f_rate,3,0.00682,-0.1647,3477
core,TRXUSDT,f_zscore_30,3,-0.02193,-0.061,3477
core,TRXUSDT,f_sign_persist_9,3,0.04904,0.1056,3477
core,TRXUSDT,f_mom_3,3,-0.02481,-0.0251,3477
core,TRXUSDT,f_mom_9,3,0.01042,0.0046,3477
core,TRXUSDT,f_accel_3,3,-0.02761,-0.0134,3477
core,TRXUSDT,f_extreme_persist_9,3,0.02171,-0.0597,3477
core,TRXUSDT,b_level,3,-0.05483,-0.1226,3477
core,TRXUSDT,b_zscore_30,3,-0.00866,-0.0445,3477
core,TRXUSDT,b_momentum_3,3,-0.00533,-0.0252,3477
core,TRXUSDT,fb_spread_z,3,0.0036,-0.0284,3477
core,TRXUSDT,proxy_taker_imb,3,0.00177,0.0043,3477
core,TRXUSDT,proxy_vol_surge_z,3,0.10851,0.2827,3477
core,TRXUSDT,f_rate,9,0.00679,-0.1885,3477
core,TRXUSDT,f_zscore_30,9,-0.07009,-0.1202,3477
core,TRXUSDT,f_sign_persist_9,9,0.04111,0.0803,3477
core,TRXUSDT,f_mom_3,9,0.00825,0.0104,3477
core,TRXUSDT,f_mom_9,9,-0.01822,-0.0365,3477
core,TRXUSDT,f_accel_3,9,0.01135,0.0189,3477
core,TRXUSDT,f_extreme_persist_9,9,0.04532,-0.1448,3477
core,TRXUSDT,b_level,9,-0.04392,-0.1056,3477
core,TRXUSDT,b_zscore_30,9,0.00033,-0.0129,3477
core,TRXUSDT,b_momentum_3,9,0.01844,0.0126,3477
core,TRXUSDT,fb_spread_z,9,-0.05472,-0.1125,3477
core,TRXUSDT,proxy_taker_imb,9,-0.02726,-0.0435,3477
