symbol,feature,horizon_bars,ic,n_obs
BCHUSDT,of_taker_imb,3,-0.003105777505618345,2193
BCHUSDT,of_taker_imb,9,0.021243710214535225,2193
BCHUSDT,of_taker_imb,21,0.014179604932435736,2193
BCHUSDT,of_taker_imb_ma3,3,0.001630099205569927,2193
BCHUSDT,of_taker_imb_ma3,9,0.025514895109658264,2193
BCHUSDT,of_taker_imb_ma3,21,0.009743853381472716,2193
BCHUSDT,of_taker_imb_ma9,3,0.008724881857152676,2193
BCHUSDT,of_taker_imb_ma9,9,0.00924892004013899,2193
BCHUSDT,of_taker_imb_ma9,21,-0.023999235708740605,2193
BCHUSDT,of_taker_imb_z30,3,0.015638209505444325,2193
BCHUSDT,of_taker_imb_z30,9,0.051631256792715255,2193
BCHUSDT,of_taker_imb_z30,21,0.04103139761032595,2193
BCHUSDT,of_taker_imb_mom3,3,-0.0011695307963925368,2193
BCHUSDT,of_taker_imb_mom3,9,0.006623171868074077,2193
BCHUSDT,of_taker_imb_mom3,21,0.008055319118452848,2193
BCHUSDT,of_oi_logdelta_1,3,0.03728082940953297,2191
BCHUSDT,of_oi_logdelta_1,9,0.0556853431498475,2191
BCHUSDT,of_oi_logdelta_1,21,0.04675918190928511,2191
BCHUSDT,of_oi_logdelta_3,3,0.0412246192155352,2191
BCHUSDT,of_oi_logdelta_3,9,0.10074251360806412,2191
BCHUSDT,of_oi_logdelta_3,21,0.07184840849552653,2191
BCHUSDT,of_oi_logdelta_9,3,0.06589782182152518,2191
BCHUSDT,of_oi_logdelta_9,9,0.14540477148086195,2191
BCHUSDT,of_oi_logdelta_9,21,0.09551398237629455,2191
BCHUSDT,of_oi_logdelta_z30,3,0.020811324965240383,2191
BCHUSDT,of_oi_logdelta_z30,9,0.032949482322420426,2191
BCHUSDT,of_oi_logdelta_z30,21,0.017318400519601165,2191
BCHUSDT,of_retail_lsr,3,0.016140532979166296,2192
BCHUSDT,of_retail_lsr,9,0.001976405500892237,2192
BCHUSDT,of_retail_lsr,21,0.06033369422530806,2192
BCHUSDT,of_retail_lsr_z30,3,-0.027833803773502037,2192
BCHUSDT,of_retail_lsr_z30,9,-0.07254020296234823,2192
BCHUSDT,of_retail_lsr_z30,21,-0.018786820844832307,2192
BCHUSDT,of_top_acct_lsr,3,0.015042663727968128,2192
BCHUSDT,of_top_acct_lsr,9,0.0011488349460842995,2192
BCHUSDT,of_top_acct_lsr,21,0.044669477356191464,2192
BCHUSDT,of_top_acct_lsr_z30,3,-0.0223332758714001,2192
BCHUSDT,of_top_acct_lsr_z30,9,-0.060396453407010636,2192
BCHUSDT,of_top_acct_lsr_z30,21,-0.012183097236838206,2192
BCHUSDT,of_top_pos_lsr,3,-0.018426916417501805,2192
BCHUSDT,of_top_pos_lsr,9,-0.020932098368570268,2192
BCHUSDT,of_top_pos_lsr,21,-0.032682699243613486,2192
BCHUSDT,of_top_pos_lsr_z30,3,0.009934402646357246,2192
BCHUSDT,of_top_pos_lsr_z30,9,0.005409680129862229,2192
BCHUSDT,of_top_pos_lsr_z30,21,0.01812681319209279,2192
BCHUSDT,of_taker_lsr,3,0.0014135234521861913,2192
BCHUSDT,of_taker_lsr,9,0.024246082357519568,2192
BCHUSDT,of_taker_lsr,21,0.05029824095594538,2192
BCHUSDT,of_taker_lsr_z30,3,-0.0027911605881342136,2192
BCHUSDT,of_taker_lsr_z30,9,0.011498615064153275,2192
BCHUSDT,of_taker_lsr_z30,21,0.02993227181055259,2192
BCHUSDT,of_retail_top_divergence,3,0.042427932413723876,2192
BCHUSDT,of_retail_top_divergence,9,0.043638417705799036,2192
BCHUSDT,of_retail_top_divergence,21,0.10954085422316005,2192
BCHUSDT,of_retail_top_divergence_z30,3,-0.024767483998245788,2192
BCHUSDT,of_retail_top_divergence_z30,9,-0.07078902548169753,2192
BCHUSDT,of_retail_top_divergence_z30,21,-0.004335042366771508,2192
LDOUSDT,of_taker_imb,3,-0.02256144042550978,2193
LDOUSDT,of_taker_imb,9,-0.025819001400666636,2193
LDOUSDT,of_taker_imb,21,-0.04778287450258707,2193
LDOUSDT,of_taker_imb_ma3,3,-0.024966988135462748,2193
LDOUSDT,of_taker_imb_ma3,9,-0.023094751717709697,2193
LDOUSDT,of_taker_imb_ma3,21,-0.06631945094560115,2193
LDOUSDT,of_taker_imb_ma9,3,-0.026696619688292487,2193
LDOUSDT,of_taker_imb_ma9,9,-0.056472349138107,2193
LDOUSDT,of_taker_imb_ma9,21,-0.09992821380394663,2193
LDOUSDT,of_taker_imb_z30,3,-0.020269844395284054,2193
LDOUSDT,of_taker_imb_z30,9,-0.011040144051143634,2193
LDOUSDT,of_taker_imb_z30,21,-0.021181809987831392,2193
LDOUSDT,of_taker_imb_mom3,3,-0.012443776927770326,2193
LDOUSDT,of_taker_imb_mom3,9,-0.005577732820265604,2193
LDOUSDT,of_taker_imb_mom3,21,0.006436221868722003,2193
LDOUSDT,of_oi_logdelta_1,3,-0.006435497481744295,2191
LDOUSDT,of_oi_logdelta_1,9,-0.037456652554735397,2191
LDOUSDT,of_oi_logdelta_1,21,-0.015149797210816857,2191
LDOUSDT,of_oi_logdelta_3,3,-0.043793634100761536,2191
LDOUSDT,of_oi_logdelta_3,9,-0.039388084240412104,2191
LDOUSDT,of_oi_logdelta_3,21,-0.012127212088275201,2191
LDOUSDT,of_oi_logdelta_9,3,-0.01029175608226489,2191
LDOUSDT,of_oi_logdelta_9,9,-0.013877505448907415,2191
LDOUSDT,of_oi_logdelta_9,21,-0.027212836688493645,2191
LDOUSDT,of_oi_logdelta_z30,3,-0.005726412753521544,2191
LDOUSDT,of_oi_logdelta_z30,9,-0.03169843216499893,2191
LDOUSDT,of_oi_logdelta_z30,21,0.006601260802320401,2191
LDOUSDT,of_retail_lsr,3,0.05584187980318863,2192
LDOUSDT,of_retail_lsr,9,0.08781047018345378,2192
LDOUSDT,of_retail_lsr,21,0.13562127517130526,2192
LDOUSDT,of_retail_lsr_z30,3,0.021747578070733513,2192
LDOUSDT,of_retail_lsr_z30,9,0.05719525547103448,2192
LDOUSDT,of_retail_lsr_z30,21,0.11064155081311666,2192
LDOUSDT,of_top_acct_lsr,3,0.05104253935213639,2192
LDOUSDT,of_top_acct_lsr,9,0.07288845187624397,2192
LDOUSDT,of_top_acct_lsr,21,0.11288908445641761,2192
LDOUSDT,of_top_acct_lsr_z30,3,0.021428176527560624,2192
LDOUSDT,of_top_acct_lsr_z30,9,0.043039820236502456,2192
LDOUSDT,of_top_acct_lsr_z30,21,0.10905094229335767,2192
LDOUSDT,of_top_pos_lsr,3,-0.0005817224581280396,2192
LDOUSDT,of_top_pos_lsr,9,-0.009792928675996446,2192
LDOUSDT,of_top_pos_lsr,21,-0.02225201398668171,2192
LDOUSDT,of_top_pos_lsr_z30,3,-0.0010260202759816187,2192
LDOUSDT,of_top_pos_lsr_z30,9,0.012068325285244657,2192
LDOUSDT,of_top_pos_lsr_z30,21,0.044024655630944286,2192
LDOUSDT,of_taker_lsr,3,0.02557131819511489,2192
LDOUSDT,of_taker_lsr,9,0.005091182096503444,2192
LDOUSDT,of_taker_lsr,21,0.03784057074332149,2192
LDOUSDT,of_taker_lsr_z30,3,-0.0007007385131989248,2192
LDOUSDT,of_taker_lsr_z30,9,-0.016717914396553634,2192
LDOUSDT,of_taker_lsr_z30,21,-0.0041049373316093376,2192
LDOUSDT,of_retail_top_divergence,3,0.05255534975179366,2192
LDOUSDT,of_retail_top_divergence,9,0.09116528415689001,2192
LDOUSDT,of_retail_top_divergence,21,0.1475057971683456,2192
LDOUSDT,of_retail_top_divergence_z30,3,0.01980349725702396,2192
LDOUSDT,of_retail_top_divergence_z30,9,0.0551399187603169,2192
LDOUSDT,of_retail_top_divergence_z30,21,0.09576295907993426,2192
TRXUSDT,of_taker_imb,3,-0.004822957621415281,2193
TRXUSDT,of_taker_imb,9,-0.010067972417052167,2193
TRXUSDT,of_taker_imb,21,0.007226774660627516,2193
TRXUSDT,of_taker_imb_ma3,3,0.021238238896916367,2193
TRXUSDT,of_taker_imb_ma3,9,-0.011420638169246676,2193
TRXUSDT,of_taker_imb_ma3,21,0.013618529079714798,2193
TRXUSDT,of_taker_imb_ma9,3,-0.015914055898827273,2193
TRXUSDT,of_taker_imb_ma9,9,-0.044811687793422844,2193
TRXUSDT,of_taker_imb_ma9,21,0.01590773971557268,2193
TRXUSDT,of_taker_imb_z30,3,-0.008062329800579845,2193
TRXUSDT,of_taker_imb_z30,9,-0.017114997635652836,2193
TRXUSDT,of_taker_imb_z30,21,-0.018606514085929542,2193
TRXUSDT,of_taker_imb_mom3,3,-0.020875760680930156,2193
TRXUSDT,of_taker_imb_mom3,9,0.006271958436194497,2193
TRXUSDT,of_taker_imb_mom3,21,0.010695595276531807,2193
TRXUSDT,of_oi_logdelta_1,3,-0.025403242850860777,2191
TRXUSDT,of_oi_logdelta_1,9,-0.040235598199717795,2191
TRXUSDT,of_oi_logdelta_1,21,-0.016414406030989325,2191
TRXUSDT,of_oi_logdelta_3,3,-0.03332725888932909,2191
TRXUSDT,of_oi_logdelta_3,9,-0.06772014493773128,2191
TRXUSDT,of_oi_logdelta_3,21,-0.020007606730200897,2191
TRXUSDT,of_oi_logdelta_9,3,-0.09687097005594605,2191
TRXUSDT,of_oi_logdelta_9,9,-0.09654268715544656,2191
TRXUSDT,of_oi_logdelta_9,21,-0.06382433529348581,2191
TRXUSDT,of_oi_logdelta_z30,3,-0.005617528825459022,2191
TRXUSDT,of_oi_logdelta_z30,9,-0.02513229337299391,2191
TRXUSDT,of_oi_logdelta_z30,21,-0.014023218859658768,2191
TRXUSDT,of_retail_lsr,3,-0.0003409382377563118,2192
